06/04/2022 15:07:10: File Created!
06/04/2022 15:07:10:854, robot_pos_w_timestamp, 1649253943054, 612.92, 280.94, 203.72, 2.36, -0.03, 3.07, tool_force, -1.05, 0.91, 5.94, actual_rep, 1, curr_step, 1, track_size, 99, robot_vel, 38.85, joints_pos, 24.71, 57.44, -1.2, -66.97, 5.16, 52.49, 65.91, tool_torque, -0.09, 0.181, 0.125, tool_momentum, -0.09, 0.179, 0.125, robot_mode, normal, 
06/04/2022 15:07:11:023, robot_pos_w_timestamp, 1649253943190, 613.52, 279.47, 202.57, 2.36, -0.03, 3.07, tool_force, 1.5, 1.86, 5.71, actual_rep, 1, curr_step, 2, track_size, 99, robot_vel, 19.43, joints_pos, 24.62, 57.54, -1.28, -66.96, 5.16, 52.44, 65.84, tool_torque, 0.196, -0.264, 0.236, tool_momentum, 0.204, -0.265, 0.236, robot_mode, normal, 
06/04/2022 15:07:11:257, robot_pos_w_timestamp, 1649253943373, 615.4, 272.44, 201.88, 2.35, -0.02, 3.08, tool_force, 0.39, 1.81, 6.07, actual_rep, 1, curr_step, 2, track_size, 99, robot_vel, 45.26, joints_pos, 24.21, 57.51, -1.51, -67.14, 4.85, 52.53, 65.84, tool_torque, 0.0090, 0.063, 0.129, tool_momentum, -0.0070, 0.082, 0.129, robot_mode, normal, 
06/04/2022 15:07:11:331, robot_pos_w_timestamp, 1649253943492, 616.16, 267.83, 201.45, 2.35, -0.02, 3.08, tool_force, -0.71, 1.28, 5.6, actual_rep, 1, curr_step, 3, track_size, 99, robot_vel, 45.54, joints_pos, 23.92, 57.44, -1.57, -67.34, 4.47, 52.53, 65.97, tool_torque, -0.087, 0.289, -0.011, tool_momentum, -0.081, 0.285, -0.011, robot_mode, normal, 
06/04/2022 15:07:11:460, robot_pos_w_timestamp, 1649253943660, 617.17, 261.23, 200.76, 2.34, -0.01, 3.09, tool_force, -0.38, 1.84, 6.17, actual_rep, 1, curr_step, 4, track_size, 99, robot_vel, 37.96, joints_pos, 23.46, 57.37, -1.58, -67.6, 3.97, 52.6, 66.05, tool_torque, 0.048, 0.0090, 0.162, tool_momentum, 0.058, -0.015, 0.162, robot_mode, normal, 
06/04/2022 15:07:11:761, robot_pos_w_timestamp, 1649253943948, 618.81, 250.32, 199.7, 2.34, -0.01, 3.1, tool_force, -0.44, 2.02, 5.76, actual_rep, 1, curr_step, 5, track_size, 99, robot_vel, 38.45, joints_pos, 22.62, 57.22, -1.56, -68.09, 3.4, 52.61, 65.88, tool_torque, 0.166, 0.011, 0.28, tool_momentum, 0.164, 0.012, 0.28, robot_mode, normal, 
06/04/2022 15:07:11:911, robot_pos_w_timestamp, 1649253944111, 619.32, 244.08, 199.07, 2.33, 0.0, 3.1, tool_force, -0.09, 2.42, 5.83, actual_rep, 1, curr_step, 5, track_size, 99, robot_vel, 37.25, joints_pos, 22.17, 57.04, -1.56, -68.56, 3.06, 52.28, 65.86, tool_torque, 0.272, 0.0090, 0.296, tool_momentum, 0.275, 0.0, 0.297, robot_mode, normal, 
06/04/2022 15:07:12:050, robot_pos_w_timestamp, 1649253944252, 619.64, 238.65, 198.73, 2.33, 0.0, 3.1, tool_force, 0.02, 2.38, 5.63, actual_rep, 1, curr_step, 6, track_size, 99, robot_vel, 37.98, joints_pos, 21.76, 56.89, -1.56, -68.91, 2.86, 52.21, 65.82, tool_torque, 0.268, -0.041, 0.318, tool_momentum, 0.265, -0.041, 0.318, robot_mode, normal, 
06/04/2022 15:07:12:209, robot_pos_w_timestamp, 1649253944403, 620.01, 232.79, 198.27, 2.32, 0.0, 3.11, tool_force, -0.12, 2.21, 5.74, actual_rep, 1, curr_step, 7, track_size, 99, robot_vel, 40.12, joints_pos, 21.28, 56.77, -1.56, -69.25, 2.66, 52.21, 65.75, tool_torque, 0.269, -0.057, 0.332, tool_momentum, 0.27, -0.058, 0.332, robot_mode, normal, 
06/04/2022 15:07:12:365, robot_pos_w_timestamp, 1649253944556, 620.03, 226.92, 198.04, 2.32, 0.0, 3.11, tool_force, -0.15, 2.16, 6.13, actual_rep, 1, curr_step, 7, track_size, 99, robot_vel, 38.93, joints_pos, 20.86, 56.61, -1.56, -69.6, 2.51, 52.24, 65.68, tool_torque, 0.176, -0.05, 0.329, tool_momentum, 0.176, -0.047, 0.329, robot_mode, normal, 
06/04/2022 15:07:12:547, robot_pos_w_timestamp, 1649253944706, 620.16, 221.1, 197.79, 2.31, 0.0, 3.12, tool_force, 0.24, 2.13, 5.99, actual_rep, 1, curr_step, 8, track_size, 99, robot_vel, 39.18, joints_pos, 20.4, 56.47, -1.56, -69.93, 2.35, 52.31, 65.6, tool_torque, 0.134, -0.148, 0.346, tool_momentum, 0.127, -0.128, 0.346, robot_mode, normal, 
