29/04/2022 15:39:18: File Created!
29/04/2022 15:39:18:809, robot_pos_w_timestamp, 1651243056316, 612.45, 280.65, 202.84, 2.36, -0.03, 3.07, tool_force, -1.05, 0.86, 7.17, actual_rep, 1, curr_step, 1, track_size, 99, robot_vel, 2.29, joints_pos, 22.17, 57.48, 3.4, -67.12, 0.28, 52.2, 68.61, tool_torque, 0.088, 0.287, 0.087, robot_mode, normal, 
29/04/2022 15:39:18:954, robot_pos_w_timestamp, 1651243056464, 612.46, 280.66, 202.85, 2.36, -0.03, 3.07, tool_force, -1.11, 0.87, 7.28, actual_rep, 1, curr_step, 1, track_size, 99, robot_vel, 2.29, joints_pos, 22.17, 57.48, 3.4, -67.12, 0.28, 52.2, 68.61, tool_torque, 0.113, 0.297, 0.092, robot_mode, normal, 
29/04/2022 15:39:19:143, robot_pos_w_timestamp, 1651243056604, 613.45, 277.99, 201.2, 2.36, -0.03, 3.07, tool_force, 0.6, 2.66, 8.43, actual_rep, 1, curr_step, 2, track_size, 99, robot_vel, 34.73, joints_pos, 21.94, 57.61, 3.23, -67.11, 0.27, 52.21, 68.5, tool_torque, 0.08, 0.285, 0.208, robot_mode, normal, 
29/04/2022 15:39:19:251, robot_pos_w_timestamp, 1651243056756, 615.11, 272.27, 201.22, 2.35, -0.02, 3.08, tool_force, 0.4, 1.43, 7.67, actual_rep, 1, curr_step, 3, track_size, 99, robot_vel, 38.0, joints_pos, 21.64, 57.57, 3.15, -67.21, -0.11, 52.36, 68.61, tool_torque, 0.038, -0.057, 0.133, robot_mode, normal, 
29/04/2022 15:39:19:401, robot_pos_w_timestamp, 1651243056906, 616.21, 266.32, 200.85, 2.35, -0.02, 3.08, tool_force, -0.32, 1.47, 7.79, actual_rep, 1, curr_step, 3, track_size, 99, robot_vel, 38.85, joints_pos, 21.27, 57.47, 3.06, -67.44, -0.59, 52.42, 68.8, tool_torque, 0.024, 0.217, 0.0060, robot_mode, normal, 
29/04/2022 15:39:19:556, robot_pos_w_timestamp, 1651243057058, 617.18, 260.38, 200.24, 2.34, -0.01, 3.09, tool_force, -0.11, 1.56, 7.56, actual_rep, 1, curr_step, 4, track_size, 99, robot_vel, 37.87, joints_pos, 20.83, 57.41, 3.05, -67.66, -1.0, 52.5, 68.83, tool_torque, 0.075, -0.021, 0.197, robot_mode, normal, 
29/04/2022 15:39:19:736, robot_pos_w_timestamp, 1651243057206, 618.03, 254.76, 199.72, 2.34, -0.01, 3.1, tool_force, 0.09, 1.65, 7.72, actual_rep, 1, curr_step, 5, track_size, 99, robot_vel, 41.24, joints_pos, 20.38, 57.36, 3.08, -67.86, -1.29, 52.64, 68.69, tool_torque, 0.097, -0.093, 0.351, robot_mode, normal, 
29/04/2022 15:39:19:851, robot_pos_w_timestamp, 1651243057354, 618.76, 249.18, 199.21, 2.34, -0.01, 3.1, tool_force, 0.54, 2.45, 7.21, actual_rep, 1, curr_step, 5, track_size, 99, robot_vel, 37.12, joints_pos, 19.94, 57.22, 3.09, -68.22, -1.62, 52.44, 68.69, tool_torque, 0.38, -0.089, 0.338, robot_mode, normal, 
29/04/2022 15:39:20:040, robot_pos_w_timestamp, 1651243057506, 619.36, 243.23, 198.72, 2.33, 0.0, 3.1, tool_force, -0.03, 1.93, 7.47, actual_rep, 1, curr_step, 6, track_size, 99, robot_vel, 40.03, joints_pos, 19.48, 57.07, 3.09, -68.62, -1.94, 52.21, 68.67, tool_torque, 0.347, -0.088, 0.329, robot_mode, normal, 
29/04/2022 15:39:20:151, robot_pos_w_timestamp, 1651243057653, 618.81, 237.85, 196.69, 2.33, 0.0, 3.1, tool_force, 4.04, 1.33, 17.04, actual_rep, 1, curr_step, 6, track_size, 99, robot_vel, 39.17, joints_pos, 19.09, 56.99, 3.09, -69.15, -2.2, 51.92, 68.71, tool_torque, 0.422, -0.432, 0.262, robot_mode, normal, 
29/04/2022 15:39:20:312, robot_pos_w_timestamp, 1651243057812, 619.63, 231.65, 196.12, 2.32, 0.0, 3.11, tool_force, 2.58, 1.61, 16.29, actual_rep, 1, curr_step, 7, track_size, 99, robot_vel, 39.7, joints_pos, 18.61, 56.92, 3.07, -69.37, -2.36, 52.02, 68.65, tool_torque, 0.318, -0.229, 0.349, robot_mode, normal, 
29/04/2022 15:39:20:453, robot_pos_w_timestamp, 1651243057953, 619.7, 226.3, 195.66, 2.32, 0.0, 3.11, tool_force, 2.27, 2.04, 17.98, actual_rep, 1, curr_step, 7, track_size, 99, robot_vel, 39.87, joints_pos, 18.15, 56.8, 3.1, -69.69, -2.52, 52.07, 68.59, tool_torque, 0.4, -0.187, 0.387, robot_mode, normal, 
29/04/2022 15:39:20:604, robot_pos_w_timestamp, 1651243058103, 619.85, 220.5, 195.26, 2.31, 0.0, 3.12, tool_force, 3.39, 1.85, 18.28, actual_rep, 1, curr_step, 8, track_size, 99, robot_vel, 35.5, joints_pos, 17.68, 56.68, 3.13, -70.0, -2.69, 52.12, 68.52, tool_torque, 0.397, -0.421, 0.416, robot_mode, normal, 
29/04/2022 15:39:20:773, robot_pos_w_timestamp, 1651243058263, 619.68, 214.14, 195.15, 2.31, 0.0, 3.12, tool_force, 2.13, 2.01, 19.24, actual_rep, 1, curr_step, 8, track_size, 99, robot_vel, 40.06, joints_pos, 17.23, 56.48, 3.09, -70.44, -3.01, 52.12, 68.56, tool_torque, 0.43, -0.082, 0.264, robot_mode, normal, 
29/04/2022 15:39:20:905, robot_pos_w_timestamp, 1651243058403, 619.55, 208.91, 194.98, 2.3, 0.01, 3.13, tool_force, 2.3, 2.12, 19.49, actual_rep, 1, curr_step, 9, track_size, 99, robot_vel, 38.58, joints_pos, 16.87, 56.31, 3.06, -70.8, -3.33, 52.1, 68.62, tool_torque, 0.499, 0.011, 0.173, robot_mode, normal, 
29/04/2022 15:39:21:056, robot_pos_w_timestamp, 1651243058552, 618.97, 203.25, 195.06, 2.3, 0.01, 3.13, tool_force, 3.32, 2.72, 20.3, actual_rep, 1, curr_step, 9, track_size, 99, robot_vel, 35.99, joints_pos, 16.38, 56.1, 3.12, -71.22, -3.46, 52.18, 68.4, tool_torque, 0.478, -0.342, 0.375, robot_mode, normal, 
29/04/2022 15:39:21:212, robot_pos_w_timestamp, 1651243058705, 618.45, 197.28, 195.16, 2.3, 0.0, 3.14, tool_force, 2.8, 2.47, 20.22, actual_rep, 1, curr_step, 10, track_size, 99, robot_vel, 38.3, joints_pos, 15.82, 55.9, 3.2, -71.61, -3.47, 52.34, 67.98, tool_torque, 0.462, -0.375, 0.419, robot_mode, normal, 
29/04/2022 15:39:21:399, robot_pos_w_timestamp, 1651243058853, 617.83, 191.59, 195.37, 2.3, 0.0, -3.14, tool_force, 2.49, 2.95, 20.54, actual_rep, 1, curr_step, 10, track_size, 99, robot_vel, 39.04, joints_pos, 15.33, 55.67, 3.24, -72.05, -3.49, 52.35, 67.55, tool_torque, 0.59, -0.256, 0.431, robot_mode, normal, 
