30/03/2022 11:18:50: File Created!
30/03/2022 11:18:50:916, robot_pos_w_timestamp, 1648631846132, 554.8, 304.84, 198.45, 2.2, 0.08, 3.03, tool_force, -0.09, 0.36, 0.41, actual_rep, 1, curr_step, 1, track_size, 65, robot_vel, 0.98, joints_pos, 43.84, 54.46, -22.96, -78.88, 21.65, 43.8, 69.58, tool_torque, 0.202, -0.291, 0.355, tool_momentum, 0.202, -0.29, 0.355, robot_mode, normal, 
30/03/2022 11:18:51:029, robot_pos_w_timestamp, 1648631846265, 554.82, 304.85, 198.47, 2.2, 0.08, 3.03, tool_force, -0.03, 0.32, 0.47, actual_rep, 1, curr_step, 1, track_size, 65, robot_vel, 0.98, joints_pos, 43.84, 54.46, -22.96, -78.87, 21.65, 43.8, 69.58, tool_torque, 0.226, -0.299, 0.342, tool_momentum, 0.23, -0.298, 0.341, robot_mode, normal, 
30/03/2022 11:18:51:203, robot_pos_w_timestamp, 1648631846421, 555.45, 303.41, 196.46, 2.2, 0.08, 3.03, tool_force, 2.09, 1.23, 0.97, actual_rep, 1, curr_step, 2, track_size, 65, robot_vel, 23.1, joints_pos, 43.79, 54.66, -23.09, -78.92, 21.65, 43.54, 69.6, tool_torque, 0.462, -0.645, 0.359, tool_momentum, 0.452, -0.631, 0.359, robot_mode, normal, 
30/03/2022 11:18:51:305, robot_pos_w_timestamp, 1648631846565, 558.39, 297.84, 199.85, 2.19, 0.09, 3.03, tool_force, 0.85, -0.03, -0.18, actual_rep, 1, curr_step, 3, track_size, 65, robot_vel, 47.11, joints_pos, 43.7, 54.45, -23.72, -78.98, 21.72, 43.82, 69.63, tool_torque, -0.012, -0.419, 0.238, tool_momentum, -0.011, -0.411, 0.238, robot_mode, normal, 
30/03/2022 11:18:51:460, robot_pos_w_timestamp, 1648631846716, 560.14, 291.74, 200.93, 2.18, 0.09, 3.03, tool_force, 0.99, 0.56, 0.7, actual_rep, 1, curr_step, 3, track_size, 65, robot_vel, 44.33, joints_pos, 43.62, 54.32, -24.29, -79.3, 21.74, 43.68, 69.78, tool_torque, 0.231, -0.374, 0.118, tool_momentum, 0.202, -0.347, 0.118, robot_mode, normal, 
30/03/2022 11:18:51:616, robot_pos_w_timestamp, 1648631846865, 562.34, 285.89, 202.55, 2.17, 0.1, 3.03, tool_force, 0.6, 0.29, 0.63, actual_rep, 1, curr_step, 4, track_size, 65, robot_vel, 42.51, joints_pos, 43.53, 54.22, -24.91, -79.48, 21.79, 43.72, 69.92, tool_torque, 0.102, -0.447, 0.104, tool_momentum, 0.103, -0.459, 0.106, robot_mode, normal, 
30/03/2022 11:18:51:761, robot_pos_w_timestamp, 1648631847014, 564.35, 280.13, 203.81, 2.16, 0.11, 3.03, tool_force, 0.17, 0.05, 0.46, actual_rep, 1, curr_step, 4, track_size, 65, robot_vel, 41.91, joints_pos, 43.45, 54.15, -25.5, -79.68, 21.85, 43.72, 70.1, tool_torque, 0.092, -0.5, 0.106, tool_momentum, 0.091, -0.505, 0.105, robot_mode, normal, 
30/03/2022 11:18:51:907, robot_pos_w_timestamp, 1648631847163, 566.31, 274.39, 205.23, 2.14, 0.11, 3.03, tool_force, 1.29, 0.01, 0.0, actual_rep, 1, curr_step, 4, track_size, 65, robot_vel, 41.52, joints_pos, 43.37, 54.07, -26.09, -79.87, 21.9, 43.74, 70.26, tool_torque, 0.059, -0.534, 0.081, tool_momentum, 0.055, -0.526, 0.081, robot_mode, normal, 
30/03/2022 11:18:52:064, robot_pos_w_timestamp, 1648631847312, 567.98, 268.73, 206.54, 2.13, 0.12, 3.03, tool_force, 2.05, -0.18, -0.63, actual_rep, 1, curr_step, 5, track_size, 65, robot_vel, 40.21, joints_pos, 43.3, 53.98, -26.67, -80.09, 21.95, 43.76, 70.47, tool_torque, 0.065, -0.549, 0.107, tool_momentum, 0.065, -0.541, 0.108, robot_mode, normal, 
30/03/2022 11:18:52:211, robot_pos_w_timestamp, 1648631847463, 569.77, 262.81, 207.52, 2.12, 0.12, 3.03, tool_force, 1.23, 0.21, 0.67, actual_rep, 1, curr_step, 5, track_size, 65, robot_vel, 43.2, joints_pos, 43.19, 53.94, -27.21, -80.29, 22.01, 43.75, 70.6, tool_torque, 0.089, -0.528, 0.082, tool_momentum, 0.09, -0.522, 0.082, robot_mode, normal, 
30/03/2022 11:18:52:362, robot_pos_w_timestamp, 1648631847611, 571.46, 257.02, 208.72, 2.11, 0.13, 3.03, tool_force, 0.99, -0.57, -0.13, actual_rep, 1, curr_step, 6, track_size, 65, robot_vel, 41.59, joints_pos, 43.06, 53.86, -27.75, -80.49, 22.04, 43.78, 70.78, tool_torque, 0.025, -0.567, 0.126, tool_momentum, 0.024, -0.57, 0.126, robot_mode, normal, 
30/03/2022 11:18:52:557, robot_pos_w_timestamp, 1648631847759, 573.1, 251.03, 209.88, 2.1, 0.14, 3.03, tool_force, 0.65, -0.13, 0.04, actual_rep, 1, curr_step, 6, track_size, 65, robot_vel, 46.14, joints_pos, 42.92, 53.79, -28.24, -80.7, 22.09, 43.76, 70.9, tool_torque, 0.074, -0.478, 0.069, tool_momentum, 0.077, -0.477, 0.069, robot_mode, normal, 
30/03/2022 11:18:52:667, robot_pos_w_timestamp, 1648631847908, 574.93, 245.1, 211.05, 2.08, 0.14, 3.03, tool_force, 0.24, 0.39, 0.28, actual_rep, 1, curr_step, 6, track_size, 65, robot_vel, 40.45, joints_pos, 42.74, 53.72, -28.72, -80.87, 22.11, 43.76, 71.06, tool_torque, 0.069, -0.572, 0.041, tool_momentum, 0.066, -0.555, 0.037, robot_mode, normal, 
30/03/2022 11:18:52:812, robot_pos_w_timestamp, 1648631848058, 576.49, 239.41, 212.21, 2.07, 0.15, 3.03, tool_force, -0.12, 0.38, 0.2, actual_rep, 1, curr_step, 7, track_size, 65, robot_vel, 42.73, joints_pos, 42.56, 53.65, -29.15, -81.05, 22.11, 43.77, 71.24, tool_torque, 0.031, -0.538, 0.022, tool_momentum, 0.03, -0.531, 0.022, robot_mode, normal, 
30/03/2022 11:18:52:968, robot_pos_w_timestamp, 1648631848207, 577.93, 233.46, 213.51, 2.06, 0.15, 3.03, tool_force, 0.27, 0.52, 0.05, actual_rep, 1, curr_step, 7, track_size, 65, robot_vel, 37.01, joints_pos, 42.4, 53.56, -29.63, -81.26, 22.11, 43.77, 71.43, tool_torque, 0.026, -0.594, 0.029, tool_momentum, 0.025, -0.597, 0.029, robot_mode, normal, 
30/03/2022 11:18:53:114, robot_pos_w_timestamp, 1648631848356, 579.4, 227.74, 214.69, 2.05, 0.16, 3.03, tool_force, -0.05, 0.87, 1.05, actual_rep, 1, curr_step, 8, track_size, 65, robot_vel, 40.34, joints_pos, 42.24, 53.49, -30.09, -81.44, 22.12, 43.78, 71.61, tool_torque, 0.044, -0.522, -0.012, tool_momentum, 0.011, -0.465, -0.013, robot_mode, impedance, 
30/03/2022 11:18:53:268, robot_pos_w_timestamp, 1648631848504, 581.37, 221.4, 214.61, 2.04, 0.16, 3.02, tool_force, -1.44, 1.77, 0.48, actual_rep, 1, curr_step, 8, track_size, 65, robot_vel, 46.47, joints_pos, 42.01, 53.59, -30.55, -81.55, 22.12, 43.64, 71.72, tool_torque, 0.194, -0.503, -0.09, tool_momentum, 0.19, -0.493, -0.094, robot_mode, impedance, 
30/03/2022 11:18:53:416, robot_pos_w_timestamp, 1648631848654, 585.93, 214.15, 215.92, 2.02, 0.17, 3.02, tool_force, -5.3, 4.2, 1.32, actual_rep, 1, curr_step, 8, track_size, 65, robot_vel, 61.8, joints_pos, 41.63, 53.77, -31.14, -81.3, 22.12, 43.6, 71.71, tool_torque, 0.071, -0.486, -0.302, tool_momentum, 0.071, -0.478, -0.305, robot_mode, impedance, 
