05/04/2022 16:31:37: File Created!
05/04/2022 16:31:37:303, robot_pos_w_timestamp, 1649172605464, 612.89, 280.93, 203.72, 2.36, -0.03, 3.07, tool_force, -1.51, 0.63, 5.92, actual_rep, 1, curr_step, 1, track_size, 99, robot_vel, 39.98, joints_pos, 26.63, 57.52, -4.69, -66.97, 8.84, 52.7, 63.89, tool_torque, -0.168, 0.306, -0.0090, tool_momentum, -0.169, 0.307, -0.0090, robot_mode, normal, 
05/04/2022 16:31:37:511, robot_pos_w_timestamp, 1649172605606, 613.38, 279.61, 202.67, 2.36, -0.03, 3.07, tool_force, 1.07, 1.11, 5.53, actual_rep, 1, curr_step, 2, track_size, 99, robot_vel, 24.53, joints_pos, 26.56, 57.65, -4.89, -66.98, 8.9, 52.68, 63.68, tool_torque, -0.041, 0.198, 0.212, tool_momentum, -0.031, 0.173, 0.218, robot_mode, normal, 
05/04/2022 16:31:37:608, robot_pos_w_timestamp, 1649172605767, 615.17, 273.24, 201.86, 2.35, -0.03, 3.08, tool_force, -0.61, 1.85, 5.99, actual_rep, 1, curr_step, 3, track_size, 99, robot_vel, 42.88, joints_pos, 26.18, 57.61, -4.97, -67.12, 8.71, 52.68, 63.64, tool_torque, 0.078, 0.047, 0.221, tool_momentum, 0.088, 0.038, 0.221, robot_mode, normal, 
05/04/2022 16:31:37:779, robot_pos_w_timestamp, 1649172605905, 616.02, 268.05, 201.43, 2.35, -0.02, 3.08, tool_force, -0.27, 1.65, 6.05, actual_rep, 1, curr_step, 3, track_size, 99, robot_vel, 38.01, joints_pos, 25.92, 57.53, -5.12, -67.36, 8.22, 52.68, 63.92, tool_torque, 0.0040, 0.06, 0.027, tool_momentum, 0.0030, 0.053, 0.027, robot_mode, normal, 
05/04/2022 16:31:37:884, robot_pos_w_timestamp, 1649172606054, 616.94, 262.3, 200.85, 2.34, -0.01, 3.09, tool_force, 0.43, 1.69, 5.95, actual_rep, 1, curr_step, 4, track_size, 99, robot_vel, 35.21, joints_pos, 25.55, 57.48, -5.18, -67.57, 7.81, 52.77, 64.02, tool_torque, 0.0090, -0.042, 0.102, tool_momentum, 0.0050, -0.025, 0.102, robot_mode, normal, 
05/04/2022 16:31:38:082, robot_pos_w_timestamp, 1649172606204, 617.86, 256.46, 200.25, 2.34, -0.01, 3.09, tool_force, -0.17, 1.97, 6.15, actual_rep, 1, curr_step, 4, track_size, 99, robot_vel, 40.52, joints_pos, 25.08, 57.42, -5.14, -67.79, 7.48, 52.86, 63.87, tool_torque, 0.129, -0.215, 0.321, tool_momentum, 0.133, -0.229, 0.321, robot_mode, normal, 
05/04/2022 16:31:38:189, robot_pos_w_timestamp, 1649172606352, 618.77, 250.75, 199.69, 2.34, -0.01, 3.1, tool_force, -0.34, 1.98, 5.74, actual_rep, 1, curr_step, 5, track_size, 99, robot_vel, 40.74, joints_pos, 24.66, 57.33, -5.13, -68.06, 7.16, 52.77, 63.8, tool_torque, 0.208, -0.116, 0.342, tool_momentum, 0.198, -0.114, 0.342, robot_mode, normal, 
05/04/2022 16:31:38:347, robot_pos_w_timestamp, 1649172606507, 619.23, 244.75, 199.21, 2.33, 0.0, 3.1, tool_force, -0.31, 2.31, 5.87, actual_rep, 1, curr_step, 6, track_size, 99, robot_vel, 37.67, joints_pos, 24.23, 57.15, -5.13, -68.5, 6.84, 52.49, 63.78, tool_torque, 0.305, -0.089, 0.353, tool_momentum, 0.329, -0.136, 0.362, robot_mode, normal, 
05/04/2022 16:31:38:493, robot_pos_w_timestamp, 1649172606653, 619.6, 239.01, 198.81, 2.33, 0.0, 3.1, tool_force, -0.15, 2.31, 5.85, actual_rep, 1, curr_step, 6, track_size, 99, robot_vel, 39.88, joints_pos, 23.8, 57.01, -5.13, -68.87, 6.62, 52.42, 63.73, tool_torque, 0.311, -0.155, 0.382, tool_momentum, 0.31, -0.152, 0.382, robot_mode, normal, 
05/04/2022 16:31:38:677, robot_pos_w_timestamp, 1649172606804, 619.95, 233.22, 198.32, 2.32, 0.0, 3.11, tool_force, -0.05, 2.37, 5.89, actual_rep, 1, curr_step, 7, track_size, 99, robot_vel, 38.72, joints_pos, 23.35, 56.88, -5.11, -69.19, 6.41, 52.39, 63.66, tool_torque, 0.32, -0.155, 0.396, tool_momentum, 0.322, -0.163, 0.396, robot_mode, normal, 
05/04/2022 16:31:38:797, robot_pos_w_timestamp, 1649172606954, 620.06, 227.4, 198.07, 2.32, 0.0, 3.11, tool_force, -0.02, 2.07, 5.99, actual_rep, 1, curr_step, 7, track_size, 99, robot_vel, 41.05, joints_pos, 22.91, 56.72, -5.11, -69.56, 6.24, 52.39, 63.58, tool_torque, 0.256, -0.221, 0.414, tool_momentum, 0.252, -0.21, 0.414, robot_mode, normal, 
