30/03/2022 16:02:27: File Created!
30/03/2022 16:02:27:065, robot_pos_w_timestamp, 1648648861923, 536.36, 302.61, 176.25, 2.32, 0.03, 3.04, tool_force, -0.06, -0.44, 0.05, actual_rep, 1, curr_step, 1, track_size, 80, robot_vel, 0.0, joints_pos, 61.45, 67.06, -53.65, -81.95, 61.7, 55.84, 40.95, tool_torque, 0.108, -0.361, 0.137, tool_momentum, 0.108, -0.361, 0.137, robot_mode, normal, 
30/03/2022 16:02:27:174, robot_pos_w_timestamp, 1648648862060, 536.37, 302.61, 176.26, 2.32, 0.03, 3.04, tool_force, -0.1, -0.57, 0.1, actual_rep, 1, curr_step, 1, track_size, 80, robot_vel, 0.0, joints_pos, 61.45, 67.06, -53.65, -81.95, 61.7, 55.84, 40.95, tool_torque, 0.075, -0.338, 0.094, tool_momentum, 0.075, -0.338, 0.094, robot_mode, normal, 
30/03/2022 16:02:27:370, robot_pos_w_timestamp, 1648648862215, 536.8, 301.91, 176.52, 2.32, 0.03, 3.04, tool_force, 0.81, -0.2, 0.16, actual_rep, 1, curr_step, 2, track_size, 80, robot_vel, 3.03, joints_pos, 61.43, 67.06, -53.71, -81.96, 61.62, 55.78, 40.91, tool_torque, 0.212, -0.52, 0.224, tool_momentum, 0.219, -0.531, 0.226, robot_mode, normal, 
30/03/2022 16:02:27:483, robot_pos_w_timestamp, 1648648862360, 538.2, 296.31, 177.76, 2.32, 0.04, 3.05, tool_force, 1.05, 0.45, 0.25, actual_rep, 1, curr_step, 4, track_size, 80, robot_vel, 40.22, joints_pos, 61.24, 67.0, -54.04, -82.28, 61.45, 55.77, 40.23, tool_torque, 0.324, -0.571, 0.334, tool_momentum, 0.319, -0.572, 0.334, robot_mode, normal, 
30/03/2022 16:02:27:629, robot_pos_w_timestamp, 1648648862510, 539.33, 290.49, 178.81, 2.32, 0.05, 3.05, tool_force, 0.76, 0.06, -0.2, actual_rep, 1, curr_step, 4, track_size, 80, robot_vel, 38.91, joints_pos, 61.09, 66.93, -54.38, -82.67, 61.32, 55.67, 39.59, tool_torque, 0.286, -0.47, 0.366, tool_momentum, 0.286, -0.473, 0.366, robot_mode, normal, 
30/03/2022 16:02:27:781, robot_pos_w_timestamp, 1648648862657, 540.26, 284.76, 179.81, 2.32, 0.05, 3.05, tool_force, 0.84, 0.32, 0.3, actual_rep, 1, curr_step, 5, track_size, 80, robot_vel, 43.63, joints_pos, 60.98, 66.91, -54.78, -83.06, 61.28, 55.66, 39.03, tool_torque, 0.341, -0.471, 0.35, tool_momentum, 0.343, -0.473, 0.351, robot_mode, normal, 
30/03/2022 16:02:27:964, robot_pos_w_timestamp, 1648648862811, 541.11, 278.84, 180.82, 2.32, 0.06, 3.05, tool_force, 1.93, -0.12, -0.62, actual_rep, 1, curr_step, 6, track_size, 80, robot_vel, 40.81, joints_pos, 60.87, 66.91, -55.22, -83.48, 61.29, 55.65, 38.55, tool_torque, 0.32, -0.627, 0.397, tool_momentum, 0.318, -0.619, 0.398, robot_mode, normal, 
30/03/2022 16:02:28:084, robot_pos_w_timestamp, 1648648862957, 541.76, 273.22, 181.88, 2.32, 0.07, 3.06, tool_force, 1.28, 0.27, -0.07, actual_rep, 1, curr_step, 6, track_size, 80, robot_vel, 39.37, joints_pos, 60.76, 66.88, -55.62, -83.9, 61.29, 55.67, 38.09, tool_torque, 0.304, -0.594, 0.352, tool_momentum, 0.304, -0.6, 0.352, robot_mode, normal, 
30/03/2022 16:02:28:253, robot_pos_w_timestamp, 1648648863107, 542.52, 267.37, 182.99, 2.31, 0.07, 3.06, tool_force, 1.81, 0.25, -0.32, actual_rep, 1, curr_step, 7, track_size, 80, robot_vel, 37.36, joints_pos, 60.62, 66.85, -56.01, -84.3, 61.33, 55.69, 37.71, tool_torque, 0.315, -0.652, 0.391, tool_momentum, 0.309, -0.641, 0.39, robot_mode, normal, 
30/03/2022 16:02:28:387, robot_pos_w_timestamp, 1648648863255, 543.32, 261.5, 183.88, 2.31, 0.08, 3.06, tool_force, 1.23, 0.67, -0.23, actual_rep, 1, curr_step, 8, track_size, 80, robot_vel, 43.07, joints_pos, 60.46, 66.84, -56.38, -84.69, 61.36, 55.68, 37.33, tool_torque, 0.381, -0.673, 0.355, tool_momentum, 0.379, -0.689, 0.354, robot_mode, normal, 
30/03/2022 16:02:28:578, robot_pos_w_timestamp, 1648648863405, 543.87, 255.58, 185.09, 2.31, 0.08, 3.06, tool_force, 1.13, 0.2, -0.4, actual_rep, 1, curr_step, 8, track_size, 80, robot_vel, 41.29, joints_pos, 60.31, 66.79, -56.77, -85.11, 61.38, 55.71, 36.98, tool_torque, 0.322, -0.682, 0.353, tool_momentum, 0.322, -0.677, 0.352, robot_mode, normal, 
