30/03/2022 12:05:20: File Created!
30/03/2022 12:05:20:608, robot_pos_w_timestamp, 1648634635194, 536.67, 303.05, 194.84, 2.29, 0.04, 3.08, tool_force, -0.3, 0.47, 6.05, actual_rep, 1, curr_step, 1, track_size, 95, robot_vel, 48.25, joints_pos, 60.02, 63.73, -50.79, -81.07, 53.77, 56.43, 46.8, tool_torque, -0.083, -0.28, 0.125, tool_momentum, -0.084, -0.281, 0.125, robot_mode, normal, 
30/03/2022 12:05:20:724, robot_pos_w_timestamp, 1648634635337, 536.58, 302.81, 193.81, 2.29, 0.04, 3.08, tool_force, -0.22, 0.12, 5.69, actual_rep, 1, curr_step, 1, track_size, 95, robot_vel, 48.25, joints_pos, 60.02, 63.85, -50.79, -81.06, 53.77, 56.42, 46.8, tool_torque, -0.09, -0.278, 0.123, tool_momentum, -0.084, -0.289, 0.123, robot_mode, normal, 
30/03/2022 12:05:20:871, robot_pos_w_timestamp, 1648634635486, 537.46, 303.18, 193.45, 2.3, 0.04, 3.08, tool_force, 1.04, 0.24, 5.5, actual_rep, 1, curr_step, 2, track_size, 95, robot_vel, 9.18, joints_pos, 59.97, 63.98, -50.84, -80.9, 53.93, 56.4, 46.35, tool_torque, 0.029, -0.505, 0.333, tool_momentum, 0.026, -0.501, 0.334, robot_mode, normal, 
30/03/2022 12:05:21:065, robot_pos_w_timestamp, 1648634635637, 540.44, 302.04, 194.39, 2.3, 0.05, 3.07, tool_force, 1.33, 0.15, 4.8, actual_rep, 1, curr_step, 4, track_size, 95, robot_vel, 34.47, joints_pos, 59.85, 64.09, -51.11, -80.75, 54.28, 55.97, 45.61, tool_torque, 0.183, -0.473, 0.399, tool_momentum, 0.177, -0.45, 0.398, robot_mode, normal, 
30/03/2022 12:05:21:176, robot_pos_w_timestamp, 1648634635786, 544.72, 296.59, 195.17, 2.31, 0.06, 3.06, tool_force, -0.04, 1.14, 5.57, actual_rep, 1, curr_step, 6, track_size, 95, robot_vel, 52.9, joints_pos, 59.55, 64.18, -51.51, -80.88, 54.54, 55.27, 44.74, tool_torque, 0.343, -0.376, 0.414, tool_momentum, 0.35, -0.395, 0.417, robot_mode, normal, 
30/03/2022 12:05:21:325, robot_pos_w_timestamp, 1648634635936, 547.94, 290.95, 195.48, 2.31, 0.06, 3.06, tool_force, 0.79, 0.68, 5.69, actual_rep, 1, curr_step, 6, track_size, 95, robot_vel, 48.66, joints_pos, 58.99, 64.2, -51.6, -80.87, 54.67, 55.32, 44.03, tool_torque, 0.175, -0.554, 0.428, tool_momentum, 0.18, -0.571, 0.428, robot_mode, normal, 
30/03/2022 12:05:21:502, robot_pos_w_timestamp, 1648634636108, 551.22, 284.19, 195.37, 2.3, 0.07, 3.07, tool_force, 1.15, 0.37, 5.95, actual_rep, 1, curr_step, 8, track_size, 95, robot_vel, 46.12, joints_pos, 58.36, 64.25, -51.64, -80.84, 54.3, 55.35, 43.79, tool_torque, 0.016, -0.45, 0.295, tool_momentum, 0.016, -0.465, 0.295, robot_mode, normal, 
30/03/2022 12:05:21:637, robot_pos_w_timestamp, 1648634636245, 553.47, 279.28, 195.49, 2.3, 0.07, 3.07, tool_force, 2.03, 0.53, 5.63, actual_rep, 1, curr_step, 8, track_size, 95, robot_vel, 37.59, joints_pos, 57.93, 64.25, -51.67, -80.83, 54.04, 55.35, 43.69, tool_torque, 0.103, -0.683, 0.379, tool_momentum, 0.101, -0.655, 0.38, robot_mode, normal, 
30/03/2022 12:05:21:786, robot_pos_w_timestamp, 1648634636397, 556.13, 273.24, 195.33, 2.3, 0.07, 3.07, tool_force, 1.41, 1.25, 5.8, actual_rep, 1, curr_step, 9, track_size, 95, robot_vel, 45.81, joints_pos, 57.35, 64.25, -51.67, -80.89, 53.94, 55.28, 43.3, tool_torque, 0.263, -0.57, 0.437, tool_momentum, 0.266, -0.574, 0.437, robot_mode, normal, 
30/03/2022 12:05:21:944, robot_pos_w_timestamp, 1648634636545, 558.24, 267.86, 195.03, 2.29, 0.08, 3.07, tool_force, 1.82, 1.6, 6.05, actual_rep, 1, curr_step, 10, track_size, 95, robot_vel, 36.77, joints_pos, 56.92, 64.25, -51.67, -81.0, 53.73, 55.07, 43.19, tool_torque, 0.383, -0.476, 0.467, tool_momentum, 0.386, -0.485, 0.467, robot_mode, normal, 
30/03/2022 12:05:22:090, robot_pos_w_timestamp, 1648634636699, 560.24, 261.76, 194.7, 2.29, 0.08, 3.07, tool_force, 1.05, 1.06, 6.26, actual_rep, 1, curr_step, 10, track_size, 95, robot_vel, 40.2, joints_pos, 56.41, 64.24, -51.68, -81.12, 53.55, 55.02, 42.8, tool_torque, 0.287, -0.465, 0.471, tool_momentum, 0.288, -0.471, 0.471, robot_mode, normal, 
