30/03/2022 10:41:04: File Created!
30/03/2022 10:41:04:720, robot_pos_w_timestamp, 1648629579094, 548.52, 323.32, 199.95, 2.25, 0.01, 3.04, tool_force, -0.31, -0.13, 0.13, actual_rep, 1, curr_step, 1, track_size, 84, robot_vel, 0.02, joints_pos, 41.42, 53.99, -17.6, -77.44, 19.88, 45.67, 69.21, tool_torque, 0.191, -0.106, 0.116, tool_momentum, 0.191, -0.106, 0.116, robot_mode, normal, 
30/03/2022 10:41:04:866, robot_pos_w_timestamp, 1648629579217, 548.53, 323.32, 199.96, 2.25, 0.01, 3.04, tool_force, -0.3, -0.21, 0.13, actual_rep, 1, curr_step, 1, track_size, 84, robot_vel, 0.02, joints_pos, 41.42, 53.99, -17.6, -77.44, 19.88, 45.67, 69.21, tool_torque, 0.16, -0.107, 0.106, tool_momentum, 0.161, -0.106, 0.106, robot_mode, normal, 
30/03/2022 10:41:04:979, robot_pos_w_timestamp, 1648629579366, 548.75, 323.06, 200.08, 2.25, 0.01, 3.04, tool_force, -0.88, -0.25, 0.3, actual_rep, 1, curr_step, 2, track_size, 84, robot_vel, 0.66, joints_pos, 41.41, 53.98, -17.64, -77.43, 19.87, 45.66, 69.22, tool_torque, 0.196, 0.064, 0.054, tool_momentum, 0.206, 0.04, 0.056, robot_mode, normal, 
30/03/2022 10:41:05:128, robot_pos_w_timestamp, 1648629579514, 552.1, 317.53, 201.01, 2.24, 0.02, 3.04, tool_force, 1.01, 0.35, 0.49, actual_rep, 1, curr_step, 3, track_size, 84, robot_vel, 43.5, joints_pos, 41.21, 53.96, -18.11, -77.45, 19.69, 45.64, 69.09, tool_torque, 0.246, -0.357, 0.304, tool_momentum, 0.237, -0.346, 0.304, robot_mode, normal, 
30/03/2022 10:41:05:289, robot_pos_w_timestamp, 1648629579664, 555.59, 311.79, 202.21, 2.24, 0.03, 3.04, tool_force, 1.01, 0.23, 0.15, actual_rep, 1, curr_step, 4, track_size, 84, robot_vel, 44.18, joints_pos, 40.93, 53.92, -18.52, -77.46, 19.53, 45.63, 69.04, tool_torque, 0.318, -0.331, 0.319, tool_momentum, 0.318, -0.341, 0.32, robot_mode, normal, 
30/03/2022 10:41:05:429, robot_pos_w_timestamp, 1648629579814, 559.03, 306.06, 203.46, 2.23, 0.04, 3.04, tool_force, 1.01, 0.37, 0.07, actual_rep, 1, curr_step, 5, track_size, 84, robot_vel, 43.17, joints_pos, 40.72, 53.88, -19.02, -77.46, 19.44, 45.62, 69.04, tool_torque, 0.362, -0.315, 0.312, tool_momentum, 0.374, -0.368, 0.312, robot_mode, normal, 
30/03/2022 10:41:05:581, robot_pos_w_timestamp, 1648629579962, 562.48, 300.31, 204.91, 2.22, 0.05, 3.04, tool_force, 1.34, 0.29, 0.09, actual_rep, 1, curr_step, 6, track_size, 84, robot_vel, 43.74, joints_pos, 40.54, 53.85, -19.58, -77.46, 19.45, 45.62, 69.04, tool_torque, 0.343, -0.378, 0.323, tool_momentum, 0.345, -0.372, 0.323, robot_mode, normal, 
30/03/2022 10:41:05:730, robot_pos_w_timestamp, 1648629580111, 565.89, 294.54, 206.62, 2.21, 0.05, 3.04, tool_force, 1.75, 0.22, 0.02, actual_rep, 1, curr_step, 6, track_size, 84, robot_vel, 45.81, joints_pos, 40.34, 53.78, -20.11, -77.47, 19.49, 45.62, 69.04, tool_torque, 0.313, -0.456, 0.363, tool_momentum, 0.309, -0.45, 0.362, robot_mode, normal, 
30/03/2022 10:41:05:882, robot_pos_w_timestamp, 1648629580262, 569.09, 288.75, 208.43, 2.2, 0.06, 3.04, tool_force, 1.42, 0.3, -0.3, actual_rep, 1, curr_step, 7, track_size, 84, robot_vel, 44.21, joints_pos, 40.13, 53.69, -20.62, -77.5, 19.49, 45.63, 69.04, tool_torque, 0.246, -0.468, 0.347, tool_momentum, 0.244, -0.48, 0.35, robot_mode, normal, 
30/03/2022 10:41:06:033, robot_pos_w_timestamp, 1648629580411, 572.07, 282.85, 210.15, 2.19, 0.07, 3.04, tool_force, 1.17, -0.07, 0.2, actual_rep, 1, curr_step, 7, track_size, 84, robot_vel, 43.82, joints_pos, 39.85, 53.6, -21.05, -77.54, 19.5, 45.69, 69.03, tool_torque, 0.087, -0.547, 0.414, tool_momentum, 0.086, -0.553, 0.414, robot_mode, normal, 
30/03/2022 10:41:06:183, robot_pos_w_timestamp, 1648629580560, 574.51, 277.11, 211.87, 2.18, 0.07, 3.04, tool_force, 1.96, -0.47, 0.35, actual_rep, 1, curr_step, 8, track_size, 84, robot_vel, 44.59, joints_pos, 39.59, 53.49, -21.45, -77.58, 19.5, 45.93, 69.02, tool_torque, 0.013, -0.574, 0.38, tool_momentum, 0.015, -0.571, 0.38, robot_mode, normal, 
