06/04/2022 14:11:19: File Created!
06/04/2022 14:11:19:466, robot_pos_w_timestamp, 1649250589688, 612.88, 280.94, 203.71, 2.36, -0.03, 3.07, tool_force, -0.98, 0.92, 5.8, actual_rep, 1, curr_step, 1, track_size, 99, robot_vel, 38.61, joints_pos, 45.04, 64.27, -40.48, -66.97, 45.85, 60.78, 45.38, tool_torque, 0.044, -0.143, 0.187, tool_momentum, 0.044, -0.143, 0.187, robot_mode, normal, 
06/04/2022 14:11:19:574, robot_pos_w_timestamp, 1649250589821, 613.19, 279.95, 202.58, 2.36, -0.03, 3.07, tool_force, 0.51, 1.09, 6.03, actual_rep, 1, curr_step, 1, track_size, 99, robot_vel, 14.38, joints_pos, 44.98, 64.39, -40.52, -66.97, 45.85, 60.66, 45.35, tool_torque, 0.158, -0.305, 0.235, tool_momentum, 0.165, -0.313, 0.235, robot_mode, normal, 
06/04/2022 14:11:19:742, robot_pos_w_timestamp, 1649250589971, 614.75, 274.18, 202.21, 2.36, -0.03, 3.07, tool_force, 0.07, 1.32, 5.84, actual_rep, 1, curr_step, 2, track_size, 99, robot_vel, 37.6, joints_pos, 44.7, 64.45, -40.83, -67.16, 45.99, 60.75, 44.98, tool_torque, 0.098, -0.279, 0.29, tool_momentum, 0.096, -0.275, 0.29, robot_mode, normal, 
06/04/2022 14:11:19:890, robot_pos_w_timestamp, 1649250590123, 615.78, 268.95, 201.62, 2.35, -0.02, 3.08, tool_force, 0.64, 1.17, 5.76, actual_rep, 1, curr_step, 3, track_size, 99, robot_vel, 35.6, joints_pos, 44.6, 64.54, -41.21, -67.36, 45.69, 60.74, 45.09, tool_torque, 0.048, -0.355, 0.198, tool_momentum, 0.043, -0.347, 0.198, robot_mode, normal, 
06/04/2022 14:11:20:014, robot_pos_w_timestamp, 1649250590272, 616.71, 263.23, 201.0, 2.34, -0.01, 3.09, tool_force, 0.18, 1.2, 5.99, actual_rep, 1, curr_step, 4, track_size, 99, robot_vel, 39.34, joints_pos, 44.37, 64.58, -41.44, -67.59, 45.42, 60.74, 45.07, tool_torque, 0.068, -0.357, 0.218, tool_momentum, 0.071, -0.36, 0.22, robot_mode, normal, 
06/04/2022 14:11:20:185, robot_pos_w_timestamp, 1649250590429, 617.69, 256.48, 200.27, 2.34, -0.01, 3.09, tool_force, 0.1, 1.55, 6.11, actual_rep, 1, curr_step, 4, track_size, 99, robot_vel, 40.0, joints_pos, 43.92, 64.57, -41.48, -67.81, 45.13, 60.84, 44.74, tool_torque, 0.11, -0.378, 0.339, tool_momentum, 0.104, -0.381, 0.339, robot_mode, normal, 
06/04/2022 14:11:20:371, robot_pos_w_timestamp, 1649250590582, 618.63, 251.34, 199.8, 2.34, -0.01, 3.1, tool_force, 0.56, 1.97, 5.68, actual_rep, 1, curr_step, 5, track_size, 99, robot_vel, 36.33, joints_pos, 43.6, 64.5, -41.47, -68.05, 44.89, 60.72, 44.55, tool_torque, 0.273, -0.401, 0.371, tool_momentum, 0.273, -0.392, 0.37, robot_mode, normal, 
06/04/2022 14:11:20:491, robot_pos_w_timestamp, 1649250590730, 619.1, 245.62, 199.29, 2.33, 0.0, 3.1, tool_force, 0.14, 2.26, 5.83, actual_rep, 1, curr_step, 5, track_size, 99, robot_vel, 39.09, joints_pos, 43.26, 64.36, -41.47, -68.5, 44.66, 60.39, 44.31, tool_torque, 0.407, -0.35, 0.402, tool_momentum, 0.403, -0.347, 0.402, robot_mode, normal, 
06/04/2022 14:11:20:626, robot_pos_w_timestamp, 1649250590879, 619.49, 239.83, 198.85, 2.33, 0.0, 3.1, tool_force, 1.01, 2.16, 5.66, actual_rep, 1, curr_step, 6, track_size, 99, robot_vel, 37.56, joints_pos, 42.96, 64.25, -41.47, -68.84, 44.48, 60.29, 44.14, tool_torque, 0.406, -0.432, 0.412, tool_momentum, 0.385, -0.422, 0.411, robot_mode, normal, 
06/04/2022 14:11:20:778, robot_pos_w_timestamp, 1649250591034, 619.88, 233.96, 198.4, 2.32, 0.0, 3.11, tool_force, 0.43, 2.4, 5.9, actual_rep, 1, curr_step, 6, track_size, 99, robot_vel, 38.52, joints_pos, 42.6, 64.15, -41.47, -69.17, 44.27, 60.23, 43.96, tool_torque, 0.431, -0.397, 0.409, tool_momentum, 0.432, -0.401, 0.409, robot_mode, normal, 
06/04/2022 14:11:20:939, robot_pos_w_timestamp, 1649250591189, 620.04, 227.97, 198.12, 2.32, 0.0, 3.11, tool_force, 0.34, 2.26, 6.08, actual_rep, 1, curr_step, 7, track_size, 99, robot_vel, 37.76, joints_pos, 42.24, 64.03, -41.47, -69.53, 44.06, 60.23, 43.78, tool_torque, 0.376, -0.434, 0.399, tool_momentum, 0.373, -0.44, 0.399, robot_mode, normal, 
06/04/2022 14:11:21:081, robot_pos_w_timestamp, 1649250591338, 620.11, 222.2, 197.88, 2.31, 0.0, 3.12, tool_force, -0.2, 2.28, 5.9, actual_rep, 1, curr_step, 7, track_size, 99, robot_vel, 42.53, joints_pos, 41.9, 63.9, -41.48, -69.87, 43.86, 60.23, 43.6, tool_torque, 0.359, -0.305, 0.386, tool_momentum, 0.363, -0.31, 0.387, robot_mode, normal, 
06/04/2022 14:11:21:276, robot_pos_w_timestamp, 1649250591494, 620.12, 216.23, 197.85, 2.31, 0.0, 3.12, tool_force, 0.4, 2.15, 5.54, actual_rep, 1, curr_step, 8, track_size, 99, robot_vel, 36.95, joints_pos, 41.58, 63.75, -41.5, -70.24, 43.52, 60.18, 43.5, tool_torque, 0.364, -0.322, 0.378, tool_momentum, 0.37, -0.324, 0.379, robot_mode, normal, 
06/04/2022 14:11:21:395, robot_pos_w_timestamp, 1649250591650, 619.87, 210.24, 197.78, 2.3, 0.01, 3.13, tool_force, 0.15, 2.35, 6.09, actual_rep, 1, curr_step, 8, track_size, 99, robot_vel, 35.93, joints_pos, 41.3, 63.58, -41.52, -70.7, 43.14, 60.01, 43.42, tool_torque, 0.428, -0.366, 0.402, tool_momentum, 0.433, -0.376, 0.402, robot_mode, normal, 
