30/03/2022 10:43:23: File Created!
30/03/2022 10:43:23:374, robot_pos_w_timestamp, 1648629717651, 571.31, 339.04, 192.96, 2.29, 0.02, 3.07, tool_force, -0.37, -0.02, 0.26, actual_rep, 1, curr_step, 1, track_size, 67, robot_vel, 44.03, joints_pos, 41.12, 58.29, -18.28, -69.99, 19.69, 50.38, 68.29, tool_torque, -0.0040, -0.077, 0.091, tool_momentum, -0.0040, -0.077, 0.091, robot_mode, normal, 
30/03/2022 10:43:23:526, robot_pos_w_timestamp, 1648629717793, 571.32, 339.04, 192.98, 2.29, 0.02, 3.07, tool_force, -0.39, -0.18, 0.3, actual_rep, 1, curr_step, 1, track_size, 67, robot_vel, 44.03, joints_pos, 41.12, 58.29, -18.28, -69.99, 19.69, 50.38, 68.29, tool_torque, -0.034, -0.061, 0.063, tool_momentum, -0.032, -0.064, 0.063, robot_mode, normal, 
30/03/2022 10:43:23:675, robot_pos_w_timestamp, 1648629717946, 571.75, 338.44, 193.17, 2.29, 0.02, 3.07, tool_force, 0.03, 0.01, 0.73, actual_rep, 1, curr_step, 2, track_size, 67, robot_vel, 6.38, joints_pos, 41.1, 58.28, -18.35, -69.98, 19.68, 50.37, 68.31, tool_torque, 0.031, -0.139, 0.045, tool_momentum, 0.032, -0.152, 0.045, robot_mode, normal, 
30/03/2022 10:43:23:827, robot_pos_w_timestamp, 1648629718093, 574.52, 332.89, 194.58, 2.29, 0.03, 3.07, tool_force, 0.82, 0.46, 0.34, actual_rep, 1, curr_step, 3, track_size, 67, robot_vel, 44.44, joints_pos, 40.87, 58.16, -18.74, -70.11, 19.56, 50.41, 68.12, tool_torque, 0.06, -0.341, 0.328, tool_momentum, 0.063, -0.354, 0.328, robot_mode, normal, 
30/03/2022 10:43:23:974, robot_pos_w_timestamp, 1648629718244, 577.09, 327.17, 196.01, 2.28, 0.03, 3.07, tool_force, 1.12, 1.09, 0.4, actual_rep, 1, curr_step, 4, track_size, 67, robot_vel, 48.31, joints_pos, 40.61, 58.0, -19.06, -70.29, 19.37, 50.37, 68.0, tool_torque, 0.284, -0.386, 0.46, tool_momentum, 0.287, -0.386, 0.46, robot_mode, normal, 
30/03/2022 10:43:24:127, robot_pos_w_timestamp, 1648629718391, 579.64, 321.51, 197.37, 2.28, 0.04, 3.07, tool_force, 1.01, 0.87, -0.09, actual_rep, 1, curr_step, 4, track_size, 67, robot_vel, 43.55, joints_pos, 40.37, 57.86, -19.44, -70.46, 19.28, 50.37, 67.87, tool_torque, 0.282, -0.436, 0.5, tool_momentum, 0.293, -0.439, 0.5, robot_mode, normal, 
30/03/2022 10:43:24:277, robot_pos_w_timestamp, 1648629718543, 582.1, 315.69, 198.72, 2.27, 0.05, 3.07, tool_force, 0.87, 1.11, 0.36, actual_rep, 1, curr_step, 5, track_size, 67, robot_vel, 45.77, joints_pos, 40.13, 57.72, -19.84, -70.64, 19.25, 50.37, 67.77, tool_torque, 0.301, -0.393, 0.495, tool_momentum, 0.309, -0.4, 0.494, robot_mode, normal, 
30/03/2022 10:43:24:430, robot_pos_w_timestamp, 1648629718691, 584.45, 309.92, 200.08, 2.26, 0.05, 3.07, tool_force, 0.97, 1.26, 0.54, actual_rep, 1, curr_step, 6, track_size, 67, robot_vel, 39.38, joints_pos, 39.9, 57.58, -20.25, -70.83, 19.24, 50.37, 67.7, tool_torque, 0.306, -0.322, 0.477, tool_momentum, 0.31, -0.322, 0.477, robot_mode, normal, 
30/03/2022 10:43:24:577, robot_pos_w_timestamp, 1648629718842, 586.57, 304.17, 201.35, 2.25, 0.06, 3.07, tool_force, 1.41, 1.12, 0.0, actual_rep, 1, curr_step, 6, track_size, 67, robot_vel, 41.31, joints_pos, 39.69, 57.44, -20.64, -71.03, 19.24, 50.37, 67.67, tool_torque, 0.296, -0.434, 0.478, tool_momentum, 0.294, -0.435, 0.478, robot_mode, normal, 
30/03/2022 10:43:24:730, robot_pos_w_timestamp, 1648629718992, 588.67, 298.22, 202.68, 2.25, 0.06, 3.08, tool_force, 1.25, 1.23, 0.16, actual_rep, 1, curr_step, 7, track_size, 67, robot_vel, 43.83, joints_pos, 39.47, 57.29, -21.05, -71.25, 19.24, 50.37, 67.64, tool_torque, 0.316, -0.471, 0.485, tool_momentum, 0.316, -0.478, 0.485, robot_mode, normal, 
30/03/2022 10:43:24:880, robot_pos_w_timestamp, 1648629719142, 590.52, 292.57, 204.04, 2.24, 0.07, 3.08, tool_force, 1.79, 1.24, -0.86, actual_rep, 1, curr_step, 7, track_size, 67, robot_vel, 41.56, joints_pos, 39.25, 57.13, -21.43, -71.48, 19.27, 50.37, 67.63, tool_torque, 0.341, -0.518, 0.487, tool_momentum, 0.349, -0.522, 0.487, robot_mode, normal, 
