05/04/2022 16:10:40: File Created!
05/04/2022 16:10:40:903, robot_pos_w_timestamp, 1649171348747, 612.9, 280.94, 203.72, 2.36, -0.03, 3.07, tool_force, -0.82, -0.09, -0.12, actual_rep, 1, curr_step, 1, track_size, 99, robot_vel, 40.79, joints_pos, 23.22, 57.44, 1.51, -66.97, 2.29, 52.42, 67.49, tool_torque, 0.04, 0.187, 0.274, tool_momentum, 0.04, 0.19, 0.274, robot_mode, normal, 
05/04/2022 16:10:41:117, robot_pos_w_timestamp, 1649171348913, 613.78, 278.76, 202.46, 2.36, -0.03, 3.07, tool_force, 1.12, 1.21, 0.44, actual_rep, 1, curr_step, 2, track_size, 99, robot_vel, 20.02, joints_pos, 23.08, 57.56, 1.4, -66.94, 2.29, 52.4, 67.42, tool_torque, 0.231, 0.171, 0.326, tool_momentum, 0.088, 0.147, 0.327, robot_mode, normal, 
05/04/2022 16:10:41:159, robot_pos_w_timestamp, 1649171349036, 614.99, 273.99, 201.91, 2.35, -0.03, 3.08, tool_force, -0.4, 0.58, 0.25, actual_rep, 1, curr_step, 3, track_size, 99, robot_vel, 14.88, joints_pos, 22.78, 57.53, 1.28, -67.1, 2.07, 52.42, 67.38, tool_torque, 0.071, 0.119, 0.243, tool_momentum, 0.059, 0.138, 0.237, robot_mode, normal, 
05/04/2022 16:10:41:340, robot_pos_w_timestamp, 1649171349186, 616.02, 268.18, 201.48, 2.35, -0.02, 3.08, tool_force, -0.29, 0.48, 0.09, actual_rep, 1, curr_step, 3, track_size, 99, robot_vel, 67.33, joints_pos, 22.44, 57.44, 1.18, -67.34, 1.59, 52.46, 67.6, tool_torque, -0.038, 0.246, 0.0090, tool_momentum, -0.061, 0.284, 0.01, robot_mode, normal, 
05/04/2022 16:10:41:462, robot_pos_w_timestamp, 1649171349338, 616.97, 262.41, 200.87, 2.34, -0.01, 3.09, tool_force, 0.1, 0.89, 0.22, actual_rep, 1, curr_step, 4, track_size, 99, robot_vel, 37.53, joints_pos, 22.05, 57.38, 1.12, -67.56, 1.14, 52.55, 67.73, tool_torque, 0.022, 0.06, 0.099, tool_momentum, 0.021, 0.054, 0.098, robot_mode, normal, 
05/04/2022 16:10:41:620, robot_pos_w_timestamp, 1649171349500, 617.94, 256.09, 200.2, 2.34, -0.01, 3.09, tool_force, -0.05, 0.61, 0.19, actual_rep, 1, curr_step, 4, track_size, 99, robot_vel, 42.12, joints_pos, 21.56, 57.32, 1.14, -67.79, 0.83, 52.65, 67.57, tool_torque, 0.045, -0.087, 0.348, tool_momentum, 0.058, -0.097, 0.348, robot_mode, normal, 
05/04/2022 16:10:41:763, robot_pos_w_timestamp, 1649171349639, 618.72, 250.85, 199.74, 2.34, -0.01, 3.1, tool_force, -0.19, 0.81, 0.04, actual_rep, 1, curr_step, 5, track_size, 99, robot_vel, 37.88, joints_pos, 21.13, 57.22, 1.17, -68.06, 0.52, 52.56, 67.53, tool_torque, 0.151, 0.0020, 0.357, tool_momentum, 0.163, -0.016, 0.36, robot_mode, normal, 
05/04/2022 16:10:41:910, robot_pos_w_timestamp, 1649171349789, 619.15, 245.12, 199.19, 2.33, 0.0, 3.1, tool_force, 0.09, 1.35, 0.44, actual_rep, 1, curr_step, 6, track_size, 99, robot_vel, 41.43, joints_pos, 20.71, 57.06, 1.17, -68.49, 0.22, 52.32, 67.52, tool_torque, 0.317, -0.059, 0.38, tool_momentum, 0.317, -0.069, 0.38, robot_mode, normal, 
05/04/2022 16:10:42:063, robot_pos_w_timestamp, 1649171349942, 619.53, 239.2, 198.78, 2.33, 0.0, 3.1, tool_force, 0.22, 1.07, 0.18, actual_rep, 1, curr_step, 6, track_size, 99, robot_vel, 39.81, joints_pos, 20.25, 56.9, 1.17, -68.87, -0.01, 52.23, 67.49, tool_torque, 0.263, -0.09, 0.418, tool_momentum, 0.273, -0.112, 0.417, robot_mode, normal, 
05/04/2022 16:10:42:210, robot_pos_w_timestamp, 1649171350091, 619.93, 233.5, 198.34, 2.32, 0.0, 3.11, tool_force, 0.29, 1.48, 0.46, actual_rep, 1, curr_step, 7, track_size, 99, robot_vel, 40.06, joints_pos, 19.8, 56.79, 1.17, -69.18, -0.21, 52.23, 67.44, tool_torque, 0.284, -0.063, 0.403, tool_momentum, 0.284, -0.077, 0.405, robot_mode, normal, 
05/04/2022 16:10:42:360, robot_pos_w_timestamp, 1649171350243, 620.06, 227.66, 198.06, 2.32, 0.0, 3.11, tool_force, 0.14, 1.15, 0.24, actual_rep, 1, curr_step, 7, track_size, 99, robot_vel, 38.02, joints_pos, 19.34, 56.63, 1.18, -69.54, -0.37, 52.23, 67.37, tool_torque, 0.225, -0.121, 0.412, tool_momentum, 0.225, -0.124, 0.412, robot_mode, normal, 
05/04/2022 16:10:42:512, robot_pos_w_timestamp, 1649171350393, 620.13, 221.9, 197.84, 2.31, 0.0, 3.12, tool_force, 0.53, 1.06, 0.12, actual_rep, 1, curr_step, 8, track_size, 99, robot_vel, 42.3, joints_pos, 18.88, 56.48, 1.19, -69.89, -0.53, 52.28, 67.28, tool_torque, 0.172, -0.19, 0.415, tool_momentum, 0.174, -0.187, 0.414, robot_mode, normal, 
05/04/2022 16:10:42:665, robot_pos_w_timestamp, 1649171350544, 620.06, 216.0, 197.83, 2.31, 0.0, 3.12, tool_force, 0.14, 1.15, 0.44, actual_rep, 1, curr_step, 8, track_size, 99, robot_vel, 38.64, joints_pos, 18.45, 56.29, 1.18, -70.27, -0.83, 52.3, 67.29, tool_torque, 0.17, -0.064, 0.285, tool_momentum, 0.169, -0.056, 0.282, robot_mode, normal, 
05/04/2022 16:10:42:824, robot_pos_w_timestamp, 1649171350696, 619.86, 209.84, 197.75, 2.3, 0.01, 3.13, tool_force, -0.26, 0.88, 0.05, actual_rep, 1, curr_step, 9, track_size, 99, robot_vel, 40.53, joints_pos, 18.01, 56.07, 1.16, -70.73, -1.18, 52.24, 67.35, tool_torque, 0.115, 0.174, 0.152, tool_momentum, 0.114, 0.164, 0.152, robot_mode, normal, 
05/04/2022 16:10:42:968, robot_pos_w_timestamp, 1649171350844, 619.33, 204.48, 197.8, 2.3, 0.01, 3.13, tool_force, 0.46, 1.06, 0.44, actual_rep, 1, curr_step, 9, track_size, 99, robot_vel, 35.3, joints_pos, 17.59, 55.87, 1.18, -71.13, -1.32, 52.32, 67.17, tool_torque, 0.153, -0.183, 0.391, tool_momentum, 0.161, -0.199, 0.391, robot_mode, normal, 
05/04/2022 16:10:43:118, robot_pos_w_timestamp, 1649171350998, 618.92, 198.6, 197.96, 2.3, 0.0, 3.14, tool_force, 0.1, 0.93, 0.26, actual_rep, 1, curr_step, 10, track_size, 99, robot_vel, 39.2, joints_pos, 17.06, 55.68, 1.25, -71.49, -1.33, 52.47, 66.79, tool_torque, 0.153, -0.225, 0.494, tool_momentum, 0.155, -0.237, 0.497, robot_mode, normal, 
