26/04/2022 13:37:29: File Created!
26/04/2022 13:37:29:080, robot_pos_w_timestamp, 1650976547889, 603.17, 290.03, 234.98, 2.44, -0.01, 3.06, tool_force, -0.16, -0.17, 0.44, actual_rep, 1, curr_step, 1, track_size, 77, robot_vel, 0.01, joints_pos, 43.0, 58.34, -32.89, -68.56, -144.03, -58.88, -133.79, tool_torque, 0.486, -0.191, 0.204, tool_momentum, 0.483, -0.19, 0.204, robot_mode, normal, 
26/04/2022 13:37:29:168, robot_pos_w_timestamp, 1650976548009, 603.19, 290.04, 235.02, 2.44, -0.01, 3.06, tool_force, -0.24, -0.34, 0.39, actual_rep, 1, curr_step, 1, track_size, 77, robot_vel, 0.01, joints_pos, 43.0, 58.34, -32.89, -68.56, -144.03, -58.88, -133.79, tool_torque, 0.46, -0.157, 0.159, tool_momentum, 0.463, -0.159, 0.159, robot_mode, normal, 
26/04/2022 13:37:29:305, robot_pos_w_timestamp, 1650976548156, 603.49, 289.62, 234.99, 2.44, -0.01, 3.06, tool_force, 0.37, 0.19, 0.3, actual_rep, 1, curr_step, 3, track_size, 77, robot_vel, 5.86, joints_pos, 42.98, 58.35, -32.92, -68.56, -144.06, -58.83, -133.82, tool_torque, 0.631, -0.216, 0.25, tool_momentum, 0.633, -0.211, 0.25, robot_mode, normal, 
26/04/2022 13:37:29:456, robot_pos_w_timestamp, 1650976548307, 605.46, 283.95, 235.33, 2.44, -0.01, 3.06, tool_force, 0.36, 0.61, 0.43, actual_rep, 1, curr_step, 4, track_size, 77, robot_vel, 38.71, joints_pos, 42.67, 58.33, -33.17, -68.67, -144.21, -58.86, -134.52, tool_torque, 0.682, -0.252, 0.445, tool_momentum, 0.682, -0.248, 0.445, robot_mode, normal, 
26/04/2022 13:37:29:612, robot_pos_w_timestamp, 1650976548456, 607.16, 278.27, 235.58, 2.44, 0.0, 3.07, tool_force, 0.44, 0.47, 0.07, actual_rep, 1, curr_step, 5, track_size, 77, robot_vel, 37.52, joints_pos, 42.38, 58.28, -33.4, -68.86, -144.4, -58.8, -135.05, tool_torque, 0.726, -0.138, 0.46, tool_momentum, 0.746, -0.192, 0.463, robot_mode, normal, 
26/04/2022 13:37:29:758, robot_pos_w_timestamp, 1650976548605, 608.74, 272.42, 235.81, 2.44, 0.0, 3.07, tool_force, 0.26, 0.91, 0.34, actual_rep, 1, curr_step, 5, track_size, 77, robot_vel, 41.99, joints_pos, 42.14, 58.25, -33.73, -69.07, -144.42, -58.79, -135.54, tool_torque, 0.793, -0.109, 0.457, tool_momentum, 0.802, -0.123, 0.461, robot_mode, normal, 
26/04/2022 13:37:29:913, robot_pos_w_timestamp, 1650976548753, 610.18, 266.71, 236.09, 2.44, 0.01, 3.07, tool_force, 0.33, 0.76, 0.4, actual_rep, 1, curr_step, 6, track_size, 77, robot_vel, 40.64, joints_pos, 41.93, 58.23, -34.12, -69.28, -144.44, -58.79, -135.95, tool_torque, 0.703, -0.136, 0.462, tool_momentum, 0.7, -0.137, 0.462, robot_mode, normal, 
26/04/2022 13:37:30:062, robot_pos_w_timestamp, 1650976548903, 611.5, 260.88, 236.51, 2.44, 0.01, 3.08, tool_force, 0.8, 0.62, -0.11, actual_rep, 1, curr_step, 7, track_size, 77, robot_vel, 39.92, joints_pos, 41.73, 58.18, -34.47, -69.52, -144.44, -58.79, -136.34, tool_torque, 0.727, -0.209, 0.464, tool_momentum, 0.725, -0.212, 0.464, robot_mode, normal, 
26/04/2022 13:37:30:212, robot_pos_w_timestamp, 1650976549051, 612.74, 255.02, 237.2, 2.44, 0.02, 3.08, tool_force, 0.93, 0.87, 0.32, actual_rep, 1, curr_step, 7, track_size, 77, robot_vel, 38.84, joints_pos, 41.52, 58.1, -34.85, -69.77, -144.42, -58.79, -136.63, tool_torque, 0.807, -0.32, 0.483, tool_momentum, 0.814, -0.324, 0.483, robot_mode, normal, 
26/04/2022 13:37:30:362, robot_pos_w_timestamp, 1650976549200, 613.84, 249.39, 237.89, 2.43, 0.02, 3.08, tool_force, 1.2, 1.11, 0.41, actual_rep, 1, curr_step, 8, track_size, 77, robot_vel, 39.36, joints_pos, 41.34, 58.03, -35.24, -70.03, -144.37, -58.79, -136.88, tool_torque, 0.808, -0.296, 0.485, tool_momentum, 0.791, -0.294, 0.485, robot_mode, normal, 
26/04/2022 13:37:30:510, robot_pos_w_timestamp, 1650976549349, 614.82, 243.5, 238.83, 2.43, 0.02, 3.08, tool_force, 0.4, 0.67, 0.35, actual_rep, 1, curr_step, 8, track_size, 77, robot_vel, 44.13, joints_pos, 41.14, 57.91, -35.62, -70.33, -144.31, -58.79, -137.13, tool_torque, 0.76, -0.24, 0.45, tool_momentum, 0.76, -0.242, 0.45, robot_mode, normal, 
