08/06/2022 15:18:12: File Created!
08/06/2022 15:18:12:952, robot_pos, 1654697766960, 599.69, -167.01, 324.53, 2.36, 0.03, 3.09, circuit_pos, 599.59, -167.21, 324.59, 2.36, 0.03, 3.09, tool_force, -1.3, 0.77, 8.24, actual_rep, 1, curr_step, 1, track_size, 143, robot_vel, 0.0, joints_pos, -5.26, 42.39, -16.99, -77.05, 15.33, 59.81, 19.53, tool_torque, 0.118, -0.071, 0.101, joint_torque, 0.16, 5.0, 0.41, -2.26, 0.09, -0.2, 0.03, robot_mode, normal, 
08/06/2022 15:18:13:114, robot_pos, 1654697767104, 599.79, -167.04, 323.27, 2.36, 0.03, 3.09, circuit_pos, 599.59, -167.21, 324.59, 2.36, 0.03, 3.09, tool_force, -0.74, 0.37, 7.58, actual_rep, 1, curr_step, 1, track_size, 143, robot_vel, 0.0, joints_pos, -5.26, 42.52, -16.99, -77.03, 15.33, 59.75, 19.53, tool_torque, 0.184, 0.126, 0.109, joint_torque, 0.18, 5.9, 0.51, -2.54, 0.09, -0.07, 0.02, robot_mode, normal, 
08/06/2022 15:18:13:257, robot_pos, 1654697767253, 600.1, -167.1, 322.99, 2.36, 0.03, 3.09, circuit_pos, 599.59, -167.21, 324.59, 2.36, 0.03, 3.09, tool_force, -2.17, 2.15, -20.84, actual_rep, 1, curr_step, 1, track_size, 143, robot_vel, 0.0, joints_pos, -5.26, 42.57, -16.99, -76.99, 15.33, 59.73, 19.53, tool_torque, -0.112, -0.171, 0.094, joint_torque, 0.12, -13.16, -1.74, 8.16, 0.36, -0.51, 0.02, robot_mode, normal, 
08/06/2022 15:18:13:411, robot_pos, 1654697767404, 600.03, -167.31, 323.21, 2.36, 0.03, 3.09, circuit_pos, 600.19, -167.61, 326.23, 2.37, 0.04, 3.1, tool_force, -1.62, 2.61, -21.6, actual_rep, 1, curr_step, 3, track_size, 143, robot_vel, 1.48, joints_pos, -5.28, 42.53, -16.99, -77.01, 15.33, 59.7, 19.53, tool_torque, 0.011, -0.23, 0.139, joint_torque, 0.59, -13.68, -1.63, 8.49, 0.41, -0.51, 0.03, robot_mode, normal, 
08/06/2022 15:18:13:557, robot_pos, 1654697767550, 600.73, -167.83, 325.47, 2.37, 0.04, 3.1, circuit_pos, 601.36, -167.67, 331.84, 2.37, 0.04, 3.11, tool_force, -3.13, 2.19, -21.69, actual_rep, 1, curr_step, 5, track_size, 143, robot_vel, 7.58, joints_pos, -5.23, 42.42, -17.0, -76.81, 14.73, 59.71, 19.46, tool_torque, -0.31, 0.198, 0.0060, joint_torque, 0.24, -12.83, -1.28, 7.56, 0.5, 0.0, -0.06, robot_mode, normal, 
08/06/2022 15:18:13:712, robot_pos, 1654697767700, 601.51, -167.66, 331.37, 2.37, 0.04, 3.11, circuit_pos, 603.46, -167.34, 343.89, 2.38, 0.06, 3.14, tool_force, -4.79, 1.24, -20.25, actual_rep, 1, curr_step, 8, track_size, 143, robot_vel, 37.72, joints_pos, -5.07, 42.14, -17.0, -76.32, 13.66, 60.49, 19.83, tool_torque, -0.46, -0.269, -0.117, joint_torque, -0.21, -13.12, -1.66, 8.76, 0.33, -0.88, -0.15, robot_mode, normal, 
08/06/2022 15:18:13:867, robot_pos, 1654697767850, 602.67, -167.7, 337.03, 2.38, 0.05, 3.13, circuit_pos, 605.71, -164.8, 355.32, 2.4, 0.08, -3.1, tool_force, -2.03, 0.65, -20.96, actual_rep, 1, curr_step, 11, track_size, 143, robot_vel, 41.11, joints_pos, -4.86, 41.86, -17.0, -75.87, 12.26, 60.97, 20.52, tool_torque, -0.613, -0.162, -0.189, joint_torque, 0.39, -13.54, -1.18, 8.52, 0.44, -0.71, -0.22, robot_mode, normal, 
08/06/2022 15:18:14:020, robot_pos, 1654697768002, 603.72, -166.74, 343.04, 2.39, 0.06, -3.14, circuit_pos, 607.17, -161.73, 364.27, 2.4, 0.09, -3.07, tool_force, -2.68, 0.3, -20.05, actual_rep, 1, curr_step, 13, track_size, 143, robot_vel, 37.53, joints_pos, -4.48, 41.59, -17.07, -75.4, 10.73, 61.59, 21.3, tool_torque, -0.584, 0.048, -0.231, joint_torque, 0.14, -13.0, -1.11, 8.32, 0.33, -0.64, -0.21, robot_mode, normal, 
08/06/2022 15:18:14:171, robot_pos, 1654697768153, 604.79, -165.35, 348.83, 2.39, 0.07, -3.12, circuit_pos, 607.17, -161.73, 364.27, 2.4, 0.09, -3.07, tool_force, -3.37, -0.11, -21.06, actual_rep, 1, curr_step, 13, track_size, 143, robot_vel, 40.82, joints_pos, -4.07, 41.35, -17.16, -74.92, 9.26, 62.27, 22.19, tool_torque, -0.595, -0.313, -0.262, joint_torque, -0.08, -13.63, -1.49, 8.85, 0.0, -0.91, -0.22, robot_mode, normal, 
08/06/2022 15:18:14:348, robot_pos, 1654697768324, 605.98, -163.83, 355.52, 2.39, 0.08, -3.09, circuit_pos, 607.17, -161.73, 364.27, 2.4, 0.09, -3.07, tool_force, -4.52, -1.53, -20.39, actual_rep, 1, curr_step, 13, track_size, 143, robot_vel, 40.47, joints_pos, -3.64, 41.07, -17.19, -74.35, 7.46, 63.08, 23.2, tool_torque, -0.329, -0.267, -0.261, joint_torque, -0.77, -13.2, -2.09, 8.66, -0.3, -0.8, -0.22, robot_mode, normal, 
08/06/2022 15:18:14:497, robot_pos, 1654697768474, 607.03, -162.43, 361.27, 2.4, 0.09, -3.07, circuit_pos, 608.07, -159.76, 369.0, 2.4, 0.09, -3.05, tool_force, -2.98, -1.34, -20.88, actual_rep, 1, curr_step, 14, track_size, 143, robot_vel, 39.38, joints_pos, -3.29, 40.85, -17.19, -73.85, 5.99, 63.82, 24.01, tool_torque, -0.181, -0.089, -0.263, joint_torque, -0.49, -12.75, -1.95, 7.77, -0.44, -0.36, -0.24, robot_mode, normal, 
