30/03/2022 10:39:26: File Created!
30/03/2022 10:39:26:257, robot_pos_w_timestamp, 1648629480834, 548.51, 323.33, 199.94, 2.25, 0.01, 3.04, tool_force, -0.19, -0.18, 0.13, actual_rep, 1, curr_step, 1, track_size, 84, robot_vel, 0.0, joints_pos, 41.46, 54.0, -17.66, -77.45, 19.94, 45.67, 69.17, tool_torque, 0.16, -0.163, 0.127, tool_momentum, 0.16, -0.163, 0.127, robot_mode, normal, 
30/03/2022 10:39:26:374, robot_pos_w_timestamp, 1648629480974, 548.51, 323.33, 199.95, 2.25, 0.01, 3.04, tool_force, -0.27, -0.22, 0.18, actual_rep, 1, curr_step, 1, track_size, 84, robot_vel, 0.0, joints_pos, 41.46, 53.99, -17.66, -77.45, 19.94, 45.67, 69.17, tool_torque, 0.156, -0.131, 0.084, tool_momentum, 0.16, -0.13, 0.083, robot_mode, normal, 
30/03/2022 10:39:26:667, robot_pos_w_timestamp, 1648629481277, 552.41, 317.03, 201.12, 2.24, 0.02, 3.04, tool_force, 1.07, -0.01, 0.23, actual_rep, 1, curr_step, 3, track_size, 84, robot_vel, 43.8, joints_pos, 41.2, 53.96, -18.18, -77.45, 19.73, 45.65, 69.05, tool_torque, 0.199, -0.379, 0.318, tool_momentum, 0.2, -0.374, 0.318, robot_mode, normal, 
30/03/2022 10:39:26:862, robot_pos_w_timestamp, 1648629481429, 555.98, 311.03, 202.35, 2.24, 0.03, 3.04, tool_force, 1.16, 0.49, 0.47, actual_rep, 1, curr_step, 4, track_size, 84, robot_vel, 40.33, joints_pos, 40.91, 53.91, -18.59, -77.46, 19.54, 45.63, 69.02, tool_torque, 0.358, -0.389, 0.328, tool_momentum, 0.36, -0.391, 0.33, robot_mode, normal, 
30/03/2022 10:39:26:968, robot_pos_w_timestamp, 1648629481578, 559.4, 305.48, 203.6, 2.23, 0.04, 3.04, tool_force, 0.88, 0.4, 0.08, actual_rep, 1, curr_step, 5, track_size, 84, robot_vel, 46.65, joints_pos, 40.7, 53.88, -19.06, -77.46, 19.46, 45.61, 69.03, tool_torque, 0.361, -0.37, 0.298, tool_momentum, 0.363, -0.37, 0.297, robot_mode, normal, 
30/03/2022 10:39:27:166, robot_pos_w_timestamp, 1648629481730, 562.94, 299.55, 205.09, 2.22, 0.05, 3.04, tool_force, 1.0, 0.34, 0.25, actual_rep, 1, curr_step, 6, track_size, 84, robot_vel, 46.23, joints_pos, 40.5, 53.84, -19.63, -77.47, 19.46, 45.61, 69.03, tool_torque, 0.36, -0.43, 0.335, tool_momentum, 0.364, -0.447, 0.335, robot_mode, normal, 
30/03/2022 10:39:27:281, robot_pos_w_timestamp, 1648629481879, 566.19, 293.97, 206.77, 2.21, 0.06, 3.04, tool_force, 0.93, 0.18, 0.01, actual_rep, 1, curr_step, 6, track_size, 84, robot_vel, 47.15, joints_pos, 40.31, 53.77, -20.14, -77.48, 19.48, 45.61, 69.03, tool_torque, 0.283, -0.35, 0.333, tool_momentum, 0.301, -0.388, 0.342, robot_mode, normal, 
30/03/2022 10:39:27:429, robot_pos_w_timestamp, 1648629482029, 569.32, 288.1, 208.42, 2.2, 0.06, 3.04, tool_force, 1.43, -0.13, 0.3, actual_rep, 1, curr_step, 7, track_size, 84, robot_vel, 44.81, joints_pos, 40.08, 53.7, -20.64, -77.51, 19.5, 45.64, 69.03, tool_torque, 0.191, -0.468, 0.324, tool_momentum, 0.185, -0.469, 0.324, robot_mode, normal, 
30/03/2022 10:39:27:580, robot_pos_w_timestamp, 1648629482181, 572.33, 282.24, 210.37, 2.19, 0.07, 3.04, tool_force, 1.67, -0.46, -0.07, actual_rep, 1, curr_step, 8, track_size, 84, robot_vel, 47.36, joints_pos, 39.83, 53.58, -21.08, -77.56, 19.5, 45.69, 69.01, tool_torque, 0.021, -0.536, 0.363, tool_momentum, 0.016, -0.532, 0.363, robot_mode, normal, 
30/03/2022 10:39:27:724, robot_pos_w_timestamp, 1648629482332, 574.55, 276.6, 212.04, 2.18, 0.07, 3.04, tool_force, 1.97, -0.22, 1.07, actual_rep, 1, curr_step, 8, track_size, 84, robot_vel, 40.67, joints_pos, 39.56, 53.46, -21.47, -77.61, 19.5, 45.94, 69.01, tool_torque, -0.023, -0.387, 0.335, tool_momentum, -0.016, -0.402, 0.333, robot_mode, normal, 
30/03/2022 10:39:28:036, robot_pos_w_timestamp, 1648629482644, 578.74, 264.46, 215.84, 2.16, 0.08, 3.05, tool_force, 1.45, 0.23, 0.96, actual_rep, 1, curr_step, 9, track_size, 84, robot_vel, 41.62, joints_pos, 39.0, 53.21, -22.28, -77.72, 19.54, 46.7, 69.0, tool_torque, 0.014, -0.592, 0.401, tool_momentum, 0.011, -0.59, 0.401, robot_mode, normal, 
30/03/2022 10:39:28:192, robot_pos_w_timestamp, 1648629482794, 580.48, 258.38, 217.77, 2.16, 0.08, 3.05, tool_force, 0.28, -0.63, 0.39, actual_rep, 1, curr_step, 10, track_size, 84, robot_vel, 40.6, joints_pos, 38.69, 53.06, -22.65, -77.76, 19.54, 47.21, 68.98, tool_torque, -0.04, -0.508, 0.444, tool_momentum, -0.036, -0.485, 0.444, robot_mode, normal, 
30/03/2022 10:39:28:338, robot_pos_w_timestamp, 1648629482944, 581.73, 252.42, 219.79, 2.15, 0.08, 3.06, tool_force, 0.11, -0.65, 0.2, actual_rep, 1, curr_step, 10, track_size, 84, robot_vel, 42.74, joints_pos, 38.38, 52.87, -22.96, -77.89, 19.54, 47.65, 68.95, tool_torque, -0.011, -0.685, 0.485, tool_momentum, -0.021, -0.67, 0.483, robot_mode, normal, 
30/03/2022 10:39:28:493, robot_pos_w_timestamp, 1648629483098, 582.9, 246.34, 221.76, 2.14, 0.08, 3.06, tool_force, -0.88, -0.42, 0.87, actual_rep, 1, curr_step, 11, track_size, 84, robot_vel, 43.96, joints_pos, 38.04, 52.67, -23.24, -78.02, 19.54, 48.12, 68.86, tool_torque, 0.028, -0.586, 0.37, tool_momentum, 0.031, -0.596, 0.37, robot_mode, normal, 
30/03/2022 10:39:28:643, robot_pos_w_timestamp, 1648629483243, 584.12, 240.44, 223.88, 2.13, 0.08, 3.07, tool_force, -1.97, -0.41, 0.1, actual_rep, 1, curr_step, 11, track_size, 84, robot_vel, 45.46, joints_pos, 37.65, 52.45, -23.45, -78.13, 19.54, 48.58, 68.7, tool_torque, -0.081, -0.548, 0.166, tool_momentum, -0.082, -0.537, 0.163, robot_mode, normal, 
30/03/2022 10:39:28:791, robot_pos_w_timestamp, 1648629483394, 585.18, 234.49, 225.9, 2.13, 0.08, 3.07, tool_force, -3.16, 0.16, 0.64, actual_rep, 1, curr_step, 12, track_size, 84, robot_vel, 43.79, joints_pos, 37.24, 52.22, -23.64, -78.26, 19.54, 49.0, 68.49, tool_torque, -0.04, -0.466, 0.058, tool_momentum, -0.03, -0.487, 0.058, robot_mode, normal, 
30/03/2022 10:39:28:943, robot_pos_w_timestamp, 1648629483543, 586.02, 228.58, 228.19, 2.12, 0.08, 3.08, tool_force, -2.29, -0.26, 0.27, actual_rep, 1, curr_step, 12, track_size, 84, robot_vel, 42.45, joints_pos, 36.85, 51.95, -23.8, -78.44, 19.54, 49.41, 68.27, tool_torque, -0.033, -0.659, 0.043, tool_momentum, -0.029, -0.654, 0.043, robot_mode, normal, 
30/03/2022 10:39:29:095, robot_pos_w_timestamp, 1648629483692, 587.3, 221.27, 229.23, 2.12, 0.08, 3.08, tool_force, -3.08, 0.78, 1.57, actual_rep, 1, curr_step, 13, track_size, 84, robot_vel, 53.45, joints_pos, 36.44, 51.79, -24.1, -78.7, 19.48, 49.47, 67.85, tool_torque, 0.139, -0.471, -0.036, tool_momentum, 0.124, -0.446, -0.04, robot_mode, impedance, 
