26/04/2022 13:44:13: File Created!
26/04/2022 13:44:13:664, robot_pos_w_timestamp, 1650976952271, 601.79, 292.06, 235.88, 2.44, -0.02, 3.06, tool_force, -0.39, -0.55, 0.53, actual_rep, 1, curr_step, 1, track_size, 77, robot_vel, 5.28, joints_pos, 49.44, 62.79, -46.45, -68.59, -130.5, -63.98, -139.81, tool_torque, 0.316, -0.246, 0.312, tool_momentum, 0.317, -0.247, 0.312, robot_mode, rotation_overlay, 
26/04/2022 13:44:13:749, robot_pos_w_timestamp, 1650976952405, 601.63, 291.78, 235.64, 2.44, -0.02, 3.06, tool_force, -0.37, -0.32, 0.29, actual_rep, 1, curr_step, 1, track_size, 77, robot_vel, 5.28, joints_pos, 49.44, 62.79, -46.45, -68.64, -130.5, -63.98, -139.8, tool_torque, 0.367, -0.208, 0.283, tool_momentum, 0.368, -0.204, 0.284, robot_mode, rotation_overlay, 
26/04/2022 13:44:14:050, robot_pos_w_timestamp, 1650976952705, 604.82, 285.03, 235.5, 2.44, -0.01, 3.06, tool_force, 0.99, 0.31, -0.02, actual_rep, 1, curr_step, 4, track_size, 77, robot_vel, 44.54, joints_pos, 49.2, 62.94, -46.97, -68.81, -130.58, -63.56, -140.67, tool_torque, 0.663, -0.175, 0.416, tool_momentum, 0.659, -0.16, 0.416, robot_mode, rotation_overlay, 
26/04/2022 13:44:14:391, robot_pos_w_timestamp, 1650976953006, 608.31, 273.49, 235.64, 2.45, 0.0, 3.07, tool_force, 1.28, -0.41, 0.18, actual_rep, 1, curr_step, 5, track_size, 77, robot_vel, 40.72, joints_pos, 48.58, 63.0, -47.48, -69.1, -130.81, -63.62, -141.9, tool_torque, 0.543, -0.264, 0.435, tool_momentum, 0.552, -0.279, 0.437, robot_mode, rotation_overlay, 
26/04/2022 13:44:14:506, robot_pos_w_timestamp, 1650976953157, 609.71, 267.75, 236.01, 2.45, 0.01, 3.07, tool_force, 0.76, 0.33, 0.54, actual_rep, 1, curr_step, 6, track_size, 77, robot_vel, 38.13, joints_pos, 48.27, 62.91, -47.59, -69.33, -131.01, -63.55, -142.18, tool_torque, 0.68, -0.273, 0.445, tool_momentum, 0.676, -0.274, 0.444, robot_mode, rotation_overlay, 
26/04/2022 13:44:14:694, robot_pos_w_timestamp, 1650976953309, 611.09, 261.87, 236.36, 2.44, 0.01, 3.08, tool_force, 0.66, -0.03, 0.67, actual_rep, 1, curr_step, 6, track_size, 77, robot_vel, 39.82, joints_pos, 47.88, 62.82, -47.63, -69.49, -131.32, -63.59, -142.35, tool_torque, 0.537, -0.357, 0.446, tool_momentum, 0.533, -0.351, 0.446, robot_mode, rotation_overlay, 
26/04/2022 13:44:14:806, robot_pos_w_timestamp, 1650976953459, 612.46, 256.2, 236.99, 2.44, 0.01, 3.08, tool_force, 0.91, 0.27, 0.26, actual_rep, 1, curr_step, 7, track_size, 77, robot_vel, 40.09, joints_pos, 47.49, 62.69, -47.66, -69.69, -131.62, -63.55, -142.46, tool_torque, 0.666, -0.353, 0.462, tool_momentum, 0.67, -0.346, 0.462, robot_mode, rotation_overlay, 
26/04/2022 13:44:14:994, robot_pos_w_timestamp, 1650976953611, 613.63, 250.39, 237.74, 2.43, 0.02, 3.08, tool_force, 0.74, 0.35, 0.42, actual_rep, 1, curr_step, 8, track_size, 77, robot_vel, 39.15, joints_pos, 47.17, 62.49, -47.69, -70.0, -131.89, -63.29, -142.59, tool_torque, 0.719, -0.202, 0.449, tool_momentum, 0.73, -0.21, 0.451, robot_mode, rotation_overlay, 
26/04/2022 13:44:15:107, robot_pos_w_timestamp, 1650976953759, 614.57, 244.61, 238.65, 2.43, 0.02, 3.08, tool_force, 1.51, 0.38, -0.08, actual_rep, 1, curr_step, 8, track_size, 77, robot_vel, 39.77, joints_pos, 46.87, 62.27, -47.73, -70.37, -132.18, -62.99, -142.7, tool_torque, 0.768, -0.329, 0.441, tool_momentum, 0.758, -0.305, 0.439, robot_mode, rotation_overlay, 
26/04/2022 13:44:15:407, robot_pos_w_timestamp, 1650976954061, 615.99, 232.9, 240.48, 2.41, 0.03, 3.09, tool_force, 0.96, -0.2, 0.7, actual_rep, 1, curr_step, 9, track_size, 77, robot_vel, 39.77, joints_pos, 46.21, 61.84, -47.8, -71.0, -132.83, -62.8, -142.85, tool_torque, 0.623, -0.345, 0.455, tool_momentum, 0.602, -0.326, 0.455, robot_mode, rotation_overlay, 
26/04/2022 13:44:15:567, robot_pos_w_timestamp, 1650976954211, 616.44, 227.03, 241.58, 2.41, 0.03, 3.09, tool_force, 0.25, -0.41, 0.44, actual_rep, 1, curr_step, 10, track_size, 77, robot_vel, 40.02, joints_pos, 45.85, 61.59, -47.8, -71.33, -133.06, -62.79, -142.99, tool_torque, 0.683, -0.398, 0.491, tool_momentum, 0.679, -0.391, 0.491, robot_mode, rotation_overlay, 
26/04/2022 13:44:15:708, robot_pos_w_timestamp, 1650976954361, 616.44, 221.19, 242.64, 2.4, 0.03, 3.09, tool_force, -0.09, -0.14, 0.3, actual_rep, 1, curr_step, 11, track_size, 77, robot_vel, 35.87, joints_pos, 45.53, 61.28, -47.8, -71.78, -133.26, -62.73, -143.13, tool_torque, 0.766, -0.366, 0.465, tool_momentum, 0.771, -0.373, 0.465, robot_mode, rotation_overlay, 
26/04/2022 13:44:15:903, robot_pos_w_timestamp, 1650976954513, 615.97, 215.33, 243.44, 2.39, 0.03, 3.1, tool_force, -0.08, -0.65, 0.28, actual_rep, 1, curr_step, 11, track_size, 77, robot_vel, 37.78, joints_pos, 45.25, 61.01, -47.82, -72.23, -133.57, -62.73, -142.99, tool_torque, 0.571, -0.312, 0.255, tool_momentum, 0.537, -0.306, 0.254, robot_mode, rotation_overlay, 
26/04/2022 13:44:16:012, robot_pos_w_timestamp, 1650976954660, 615.23, 209.27, 244.11, 2.38, 0.03, 3.1, tool_force, -1.85, -1.89, 0.47, actual_rep, 1, curr_step, 12, track_size, 77, robot_vel, 42.92, joints_pos, 44.95, 60.71, -47.83, -72.76, -133.75, -62.76, -143.15, tool_torque, 0.597, -0.41, 0.474, tool_momentum, 0.603, -0.406, 0.475, robot_mode, rotation_overlay, 
26/04/2022 13:44:16:201, robot_pos_w_timestamp, 1650976954810, 614.53, 201.28, 244.85, 2.38, 0.03, 3.1, tool_force, -8.7, -1.91, 0.87, actual_rep, 1, curr_step, 13, track_size, 77, robot_vel, 45.19, joints_pos, 44.48, 60.33, -47.8, -73.43, -133.83, -62.8, -143.84, tool_torque, 0.66, -0.547, 0.498, tool_momentum, 0.661, -0.553, 0.498, robot_mode, rotation_overlay, 
26/04/2022 13:44:16:314, robot_pos_w_timestamp, 1650976954960, 613.49, 195.87, 245.31, 2.38, 0.02, 3.11, tool_force, -12.12, -3.99, 0.34, actual_rep, 1, curr_step, 14, track_size, 77, robot_vel, 47.28, joints_pos, 44.22, 60.09, -47.8, -73.87, -134.11, -62.87, -144.17, tool_torque, 0.608, -0.699, 0.535, tool_momentum, 0.608, -0.698, 0.535, robot_mode, rotation_overlay, 
26/04/2022 13:44:16:506, robot_pos_w_timestamp, 1650976955108, 611.7, 189.37, 245.77, 2.38, 0.02, 3.11, tool_force, -15.49, -5.86, 0.24, actual_rep, 1, curr_step, 14, track_size, 77, robot_vel, 47.96, joints_pos, 43.87, 59.66, -47.72, -74.63, -134.14, -62.88, -144.91, tool_torque, 0.74, -0.693, 0.677, tool_momentum, 0.749, -0.693, 0.677, robot_mode, rotation_overlay, 
26/04/2022 13:44:16:610, robot_pos_w_timestamp, 1650976955256, 609.52, 183.32, 246.13, 2.38, 0.02, 3.11, tool_force, -16.49, -6.28, 0.08, actual_rep, 1, curr_step, 15, track_size, 77, robot_vel, 40.16, joints_pos, 43.65, 59.26, -47.71, -75.42, -134.17, -62.77, -145.59, tool_torque, 0.935, -0.508, 0.716, tool_momentum, 0.952, -0.514, 0.718, robot_mode, rotation_overlay, 
26/04/2022 13:44:16:806, robot_pos_w_timestamp, 1650976955406, 607.0, 177.03, 246.69, 2.38, 0.01, 3.11, tool_force, -17.46, -7.63, -0.5, actual_rep, 1, curr_step, 16, track_size, 77, robot_vel, 44.7, joints_pos, 43.49, 58.81, -47.78, -76.34, -134.19, -62.6, -146.34, tool_torque, 0.948, -0.372, 0.758, tool_momentum, 0.96, -0.373, 0.759, robot_mode, rotation_overlay, 
26/04/2022 13:44:16:914, robot_pos_w_timestamp, 1650976955554, 604.11, 170.99, 247.05, 2.38, 0.01, 3.12, tool_force, -20.3, -8.76, 0.34, actual_rep, 1, curr_step, 16, track_size, 77, robot_vel, 49.66, joints_pos, 43.3, 58.41, -47.81, -77.16, -134.28, -62.64, -147.27, tool_torque, 0.787, -0.4, 0.786, tool_momentum, 0.79, -0.403, 0.786, robot_mode, rotation_overlay, 
26/04/2022 13:44:17:112, robot_pos_w_timestamp, 1650976955704, 601.17, 164.9, 247.63, 2.39, 0.0, 3.12, tool_force, -22.11, -9.53, 0.83, actual_rep, 1, curr_step, 17, track_size, 77, robot_vel, 38.18, joints_pos, 43.04, 57.93, -47.79, -78.04, -134.33, -62.71, -148.39, tool_torque, 0.699, -0.521, 0.777, tool_momentum, 0.699, -0.524, 0.777, robot_mode, rotation_overlay, 
26/04/2022 13:44:17:217, robot_pos_w_timestamp, 1650976955853, 597.19, 159.79, 248.27, 2.39, -0.01, 3.12, tool_force, -16.17, -7.9, 1.29, actual_rep, 1, curr_step, 18, track_size, 77, robot_vel, 44.41, joints_pos, 42.87, 57.36, -47.67, -79.0, -134.33, -62.77, -149.44, tool_torque, 0.738, -0.58, 0.817, tool_momentum, 0.685, -0.559, 0.813, robot_mode, rotation_overlay, 
26/04/2022 13:44:17:414, robot_pos_w_timestamp, 1650976956005, 591.84, 155.38, 250.05, 2.4, -0.02, 3.12, tool_force, -5.26, -1.07, 1.54, actual_rep, 1, curr_step, 19, track_size, 77, robot_vel, 46.59, joints_pos, 42.94, 56.48, -47.6, -80.41, -134.38, -62.75, -150.34, tool_torque, 0.703, -0.168, 0.532, tool_momentum, 0.681, -0.167, 0.524, robot_mode, rotation_overlay, 
26/04/2022 13:44:17:521, robot_pos_w_timestamp, 1650976956152, 586.18, 151.48, 252.08, 2.4, -0.02, 3.12, tool_force, -1.2, 0.65, 0.26, actual_rep, 1, curr_step, 20, track_size, 77, robot_vel, 54.8, joints_pos, 43.09, 55.7, -47.65, -81.6, -134.58, -62.51, -150.93, tool_torque, 0.757, 0.017, 0.444, tool_momentum, 0.765, 0.015, 0.444, robot_mode, rotation_overlay, 
26/04/2022 13:44:17:714, robot_pos_w_timestamp, 1650976956302, 579.95, 148.07, 255.03, 2.4, -0.03, 3.12, tool_force, -1.24, 1.04, 0.38, actual_rep, 1, curr_step, 21, track_size, 77, robot_vel, 51.65, joints_pos, 43.26, 54.75, -47.63, -82.9, -134.73, -62.52, -151.44, tool_torque, 0.723, 0.075, 0.412, tool_momentum, 0.708, 0.073, 0.412, robot_mode, rotation_overlay, 
26/04/2022 13:44:17:819, robot_pos_w_timestamp, 1650976956450, 574.18, 145.84, 258.23, 2.39, -0.04, 3.12, tool_force, -1.82, 0.47, 0.99, actual_rep, 1, curr_step, 22, track_size, 77, robot_vel, 44.19, joints_pos, 43.42, 53.8, -47.57, -84.04, -134.88, -62.71, -151.46, tool_torque, 0.517, -0.108, 0.358, tool_momentum, 0.508, -0.108, 0.36, robot_mode, rotation_overlay, 
26/04/2022 13:44:18:006, robot_pos_w_timestamp, 1650976956598, 568.43, 144.55, 262.13, 2.39, -0.05, 3.12, tool_force, -1.71, 0.29, 1.25, actual_rep, 1, curr_step, 23, track_size, 77, robot_vel, 46.68, joints_pos, 43.63, 52.82, -47.52, -85.09, -134.99, -62.92, -151.55, tool_torque, 0.519, -0.146, 0.312, tool_momentum, 0.539, -0.154, 0.312, robot_mode, rotation_overlay, 
