30/03/2022 10:21:40: File Created!
30/03/2022 10:21:40:455, robot_pos_w_timestamp, 1648628414337, 546.47, 314.31, 210.68, 2.26, 0.02, 3.04, tool_force, -0.83, 0.04, 0.54, actual_rep, 1, curr_step, 1, track_size, 79, robot_vel, 0.0, joints_pos, 40.04, 52.07, -16.06, -78.83, 17.52, 45.8, 69.06, tool_torque, 0.01, -0.057, 0.121, tool_momentum, 0.011, -0.059, 0.121, robot_mode, normal, 
30/03/2022 10:21:40:545, robot_pos_w_timestamp, 1648628414466, 546.5, 314.32, 210.71, 2.26, 0.02, 3.04, tool_force, -0.83, -0.02, 0.57, actual_rep, 1, curr_step, 1, track_size, 79, robot_vel, 0.0, joints_pos, 40.04, 52.07, -16.06, -78.83, 17.52, 45.8, 69.06, tool_torque, 0.012, -0.065, 0.127, tool_momentum, 0.013, -0.066, 0.127, robot_mode, normal, 
30/03/2022 10:21:40:698, robot_pos_w_timestamp, 1648628414623, 546.52, 314.18, 209.07, 2.26, 0.02, 3.05, tool_force, -1.52, 0.68, 1.35, actual_rep, 1, curr_step, 2, track_size, 79, robot_vel, 16.08, joints_pos, 40.03, 52.23, -16.06, -78.82, 17.53, 45.67, 69.06, tool_torque, 0.304, 0.115, 0.101, tool_momentum, 0.315, 0.11, 0.101, robot_mode, normal, 
30/03/2022 10:21:40:857, robot_pos_w_timestamp, 1648628414772, 549.66, 308.64, 210.55, 2.26, 0.03, 3.05, tool_force, -0.98, 0.38, 0.9, actual_rep, 1, curr_step, 4, track_size, 79, robot_vel, 51.37, joints_pos, 39.93, 52.18, -16.67, -78.81, 17.3, 45.83, 69.02, tool_torque, 0.0060, -0.141, 0.212, tool_momentum, 0.01, -0.159, 0.215, robot_mode, normal, 
30/03/2022 10:21:41:002, robot_pos_w_timestamp, 1648628414920, 551.73, 302.97, 210.74, 2.25, 0.04, 3.05, tool_force, -0.43, 0.01, 0.47, actual_rep, 1, curr_step, 5, track_size, 79, robot_vel, 45.4, joints_pos, 39.8, 52.14, -17.11, -78.99, 17.02, 45.79, 69.07, tool_torque, 0.0040, -0.035, 0.091, tool_momentum, 0.018, -0.076, 0.103, robot_mode, normal, 
30/03/2022 10:21:41:153, robot_pos_w_timestamp, 1648628415070, 553.58, 297.26, 210.73, 2.25, 0.05, 3.05, tool_force, -0.48, 0.36, 0.63, actual_rep, 1, curr_step, 5, track_size, 79, robot_vel, 40.65, joints_pos, 39.66, 52.12, -17.57, -79.18, 16.81, 45.8, 69.08, tool_torque, 0.035, -0.048, 0.073, tool_momentum, 0.038, -0.051, 0.073, robot_mode, normal, 
30/03/2022 10:21:41:310, robot_pos_w_timestamp, 1648628415217, 555.19, 291.49, 210.57, 2.24, 0.05, 3.06, tool_force, 0.15, 0.37, 0.61, actual_rep, 1, curr_step, 6, track_size, 79, robot_vel, 41.34, joints_pos, 39.54, 52.1, -18.03, -79.4, 16.64, 45.8, 69.08, tool_torque, 0.058, -0.238, 0.108, tool_momentum, 0.056, -0.243, 0.108, robot_mode, normal, 
30/03/2022 10:21:41:452, robot_pos_w_timestamp, 1648628415369, 556.58, 285.71, 210.5, 2.24, 0.06, 3.06, tool_force, 0.49, 0.5, 0.49, actual_rep, 1, curr_step, 7, track_size, 79, robot_vel, 37.43, joints_pos, 39.43, 52.06, -18.51, -79.64, 16.5, 45.82, 69.09, tool_torque, 0.033, -0.319, 0.118, tool_momentum, 0.035, -0.325, 0.118, robot_mode, normal, 
30/03/2022 10:21:41:620, robot_pos_w_timestamp, 1648628415514, 557.78, 279.99, 210.37, 2.23, 0.07, 3.07, tool_force, 0.17, 0.49, 0.43, actual_rep, 1, curr_step, 8, track_size, 79, robot_vel, 39.49, joints_pos, 39.31, 52.02, -18.95, -79.9, 16.35, 45.82, 69.09, tool_torque, 0.029, -0.302, 0.115, tool_momentum, 0.025, -0.306, 0.115, robot_mode, normal, 
30/03/2022 10:21:41:748, robot_pos_w_timestamp, 1648628415663, 558.71, 274.14, 210.15, 2.22, 0.08, 3.07, tool_force, 0.27, 0.54, 0.62, actual_rep, 1, curr_step, 8, track_size, 79, robot_vel, 41.05, joints_pos, 39.17, 51.96, -19.37, -80.21, 16.25, 45.82, 69.09, tool_torque, 0.093, -0.29, 0.155, tool_momentum, 0.088, -0.291, 0.155, robot_mode, normal, 
30/03/2022 10:21:41:903, robot_pos_w_timestamp, 1648628415814, 559.49, 268.35, 210.13, 2.22, 0.08, 3.08, tool_force, 0.34, 0.35, 0.26, actual_rep, 1, curr_step, 9, track_size, 79, robot_vel, 41.74, joints_pos, 39.01, 51.87, -19.76, -80.54, 16.17, 45.82, 69.09, tool_torque, 0.063, -0.347, 0.14, tool_momentum, 0.062, -0.348, 0.14, robot_mode, normal, 
