05/04/2022 16:33:22: File Created!
05/04/2022 16:33:22:342, robot_pos_w_timestamp, 1649172710691, 612.9, 280.95, 203.72, 2.36, -0.03, 3.07, tool_force, -1.49, 0.81, 5.97, actual_rep, 1, curr_step, 1, track_size, 99, robot_vel, 41.39, joints_pos, 26.8, 57.53, -5.0, -66.97, 9.17, 52.72, 63.71, tool_torque, -0.134, 0.272, -0.0040, tool_momentum, -0.135, 0.272, -0.0040, robot_mode, normal, 
05/04/2022 16:33:22:526, robot_pos_w_timestamp, 1649172710831, 613.64, 279.04, 202.54, 2.36, -0.03, 3.07, tool_force, 1.53, 2.09, 6.27, actual_rep, 1, curr_step, 2, track_size, 99, robot_vel, 18.49, joints_pos, 26.7, 57.65, -5.11, -66.94, 9.17, 52.71, 63.61, tool_torque, 0.172, -0.247, 0.185, tool_momentum, -0.076, 0.171, 0.195, robot_mode, normal, 
05/04/2022 16:33:22:697, robot_pos_w_timestamp, 1649172711003, 615.37, 272.46, 201.84, 2.35, -0.02, 3.08, tool_force, 0.6, 2.12, 5.99, actual_rep, 1, curr_step, 3, track_size, 99, robot_vel, 12.06, joints_pos, 26.35, 57.63, -5.36, -67.12, 8.91, 52.76, 63.62, tool_torque, 0.117, -0.105, 0.155, tool_momentum, 0.0060, 0.153, 0.072, robot_mode, normal, 
05/04/2022 16:33:22:802, robot_pos_w_timestamp, 1649172711155, 616.32, 266.47, 201.28, 2.35, -0.02, 3.08, tool_force, -0.63, 1.62, 5.99, actual_rep, 1, curr_step, 3, track_size, 99, robot_vel, 42.48, joints_pos, 26.02, 57.54, -5.49, -67.4, 8.43, 52.73, 63.81, tool_torque, 0.034, 0.185, 0.0, tool_momentum, 0.041, 0.17, 0.0020, robot_mode, normal, 
05/04/2022 16:33:22:909, robot_pos_w_timestamp, 1649172711314, 617.2, 260.55, 200.63, 2.34, -0.01, 3.09, tool_force, -0.33, 2.0, 6.47, actual_rep, 1, curr_step, 4, track_size, 99, robot_vel, 37.89, joints_pos, 25.6, 57.47, -5.49, -67.65, 8.03, 52.79, 63.79, tool_torque, 0.087, -0.026, 0.189, tool_momentum, 0.103, -0.04, 0.193, robot_mode, normal, 
05/04/2022 16:33:23:114, robot_pos_w_timestamp, 1649172711464, 618.17, 254.75, 200.1, 2.34, -0.01, 3.1, tool_force, 0.27, 1.82, 5.92, actual_rep, 1, curr_step, 5, track_size, 99, robot_vel, 39.33, joints_pos, 25.12, 57.41, -5.44, -67.85, 7.7, 52.89, 63.65, tool_torque, 0.107, -0.218, 0.332, tool_momentum, 0.109, -0.212, 0.331, robot_mode, normal, 
05/04/2022 16:33:23:215, robot_pos_w_timestamp, 1649172711617, 618.83, 248.95, 199.56, 2.34, -0.01, 3.1, tool_force, 0.05, 2.68, 6.44, actual_rep, 1, curr_step, 5, track_size, 99, robot_vel, 38.65, joints_pos, 24.71, 57.28, -5.44, -68.21, 7.39, 52.7, 63.62, tool_torque, 0.351, -0.173, 0.352, tool_momentum, 0.342, -0.166, 0.353, robot_mode, normal, 
05/04/2022 16:33:23:418, robot_pos_w_timestamp, 1649172711768, 619.35, 243.07, 199.04, 2.33, 0.0, 3.1, tool_force, -0.13, 2.24, 5.59, actual_rep, 1, curr_step, 6, track_size, 99, robot_vel, 38.36, joints_pos, 24.27, 57.11, -5.44, -68.64, 7.09, 52.45, 63.6, tool_torque, 0.287, -0.131, 0.355, tool_momentum, 0.287, -0.118, 0.355, robot_mode, normal, 
05/04/2022 16:33:23:526, robot_pos_w_timestamp, 1649172711919, 619.67, 237.35, 198.66, 2.33, 0.0, 3.1, tool_force, -0.46, 2.06, 5.76, actual_rep, 1, curr_step, 6, track_size, 99, robot_vel, 39.91, joints_pos, 23.85, 56.98, -5.44, -68.97, 6.9, 52.43, 63.52, tool_torque, 0.268, -0.126, 0.38, tool_momentum, 0.272, -0.134, 0.38, robot_mode, normal, 
05/04/2022 16:33:23:725, robot_pos_w_timestamp, 1649172712088, 620.03, 230.92, 198.21, 2.32, 0.0, 3.11, tool_force, 0.05, 2.23, 5.77, actual_rep, 1, curr_step, 7, track_size, 99, robot_vel, 38.53, joints_pos, 23.36, 56.84, -5.42, -69.33, 6.67, 52.41, 63.45, tool_torque, 0.289, -0.232, 0.421, tool_momentum, 0.304, -0.245, 0.424, robot_mode, normal, 
05/04/2022 16:33:23:845, robot_pos_w_timestamp, 1649172712246, 620.08, 224.87, 197.97, 2.32, 0.0, 3.11, tool_force, 0.03, 2.46, 6.07, actual_rep, 1, curr_step, 7, track_size, 99, robot_vel, 39.28, joints_pos, 22.9, 56.67, -5.42, -69.72, 6.49, 52.42, 63.37, tool_torque, 0.253, -0.235, 0.436, tool_momentum, 0.249, -0.234, 0.436, robot_mode, normal, 
