30/03/2022 10:33:04: File Created!
30/03/2022 10:33:04:856, robot_pos_w_timestamp, 1648629099099, 545.78, 326.56, 201.21, 2.25, 0.01, 3.04, tool_force, -0.65, 0.0, 0.37, actual_rep, 1, curr_step, 1, track_size, 72, robot_vel, 0.0, joints_pos, 41.42, 53.71, -17.05, -77.6, 19.6, 45.69, 69.51, tool_torque, 0.094, -0.101, 0.112, tool_momentum, 0.094, -0.102, 0.112, robot_mode, normal, 
30/03/2022 10:33:04:949, robot_pos_w_timestamp, 1648629099236, 545.81, 326.56, 201.25, 2.25, 0.01, 3.04, tool_force, -0.66, -0.03, 0.52, actual_rep, 1, curr_step, 2, track_size, 72, robot_vel, 0.03, joints_pos, 41.42, 53.71, -17.05, -77.59, 19.6, 45.69, 69.51, tool_torque, 0.083, -0.097, 0.099, tool_momentum, 0.083, -0.097, 0.099, robot_mode, normal, 
30/03/2022 10:33:05:099, robot_pos_w_timestamp, 1648629099386, 547.94, 323.02, 201.72, 2.25, 0.02, 3.04, tool_force, -0.22, -0.37, 0.25, actual_rep, 1, curr_step, 3, track_size, 72, robot_vel, 46.37, joints_pos, 41.35, 53.72, -17.45, -77.61, 19.42, 45.68, 69.52, tool_torque, -0.017, 0.132, -0.0050, tool_momentum, -0.033, 0.17, -0.0050, robot_mode, normal, 
30/03/2022 10:33:05:296, robot_pos_w_timestamp, 1648629099537, 550.88, 317.44, 202.22, 2.24, 0.03, 3.04, tool_force, 0.97, 0.48, 0.54, actual_rep, 1, curr_step, 3, track_size, 72, robot_vel, 42.95, joints_pos, 41.16, 53.71, -17.87, -77.65, 19.12, 45.69, 69.5, tool_torque, 0.159, -0.202, 0.142, tool_momentum, 0.145, -0.198, 0.142, robot_mode, normal, 
30/03/2022 10:33:05:402, robot_pos_w_timestamp, 1648629099686, 553.62, 311.58, 202.59, 2.24, 0.04, 3.05, tool_force, 0.85, 0.31, 0.34, actual_rep, 1, curr_step, 4, track_size, 72, robot_vel, 40.21, joints_pos, 40.99, 53.71, -18.34, -77.74, 18.86, 45.69, 69.52, tool_torque, 0.136, -0.332, 0.167, tool_momentum, 0.143, -0.338, 0.168, robot_mode, normal, 
30/03/2022 10:33:05:555, robot_pos_w_timestamp, 1648629099835, 556.19, 305.87, 203.03, 2.23, 0.05, 3.05, tool_force, 0.36, 0.25, 0.18, actual_rep, 1, curr_step, 5, track_size, 72, robot_vel, 41.99, joints_pos, 40.85, 53.7, -18.84, -77.85, 18.65, 45.69, 69.52, tool_torque, 0.157, -0.295, 0.153, tool_momentum, 0.159, -0.297, 0.153, robot_mode, normal, 
30/03/2022 10:33:05:716, robot_pos_w_timestamp, 1648629099985, 558.37, 300.13, 203.33, 2.23, 0.05, 3.05, tool_force, 0.35, 0.53, 0.55, actual_rep, 1, curr_step, 5, track_size, 72, robot_vel, 40.71, joints_pos, 40.72, 53.68, -19.32, -78.0, 18.44, 45.69, 69.52, tool_torque, 0.176, -0.273, 0.169, tool_momentum, 0.177, -0.283, 0.17, robot_mode, normal, 
30/03/2022 10:33:05:855, robot_pos_w_timestamp, 1648629100132, 560.54, 294.44, 203.65, 2.22, 0.06, 3.05, tool_force, 0.8, 0.51, 0.24, actual_rep, 1, curr_step, 6, track_size, 72, robot_vel, 41.93, joints_pos, 40.57, 53.67, -19.78, -78.14, 18.22, 45.69, 69.51, tool_torque, 0.214, -0.335, 0.235, tool_momentum, 0.211, -0.318, 0.233, robot_mode, normal, 
30/03/2022 10:33:06:004, robot_pos_w_timestamp, 1648629100282, 562.51, 288.58, 204.01, 2.22, 0.07, 3.06, tool_force, 0.79, 0.62, 0.19, actual_rep, 1, curr_step, 6, track_size, 72, robot_vel, 37.86, joints_pos, 40.39, 53.62, -20.18, -78.32, 17.97, 45.68, 69.49, tool_torque, 0.264, -0.334, 0.256, tool_momentum, 0.262, -0.33, 0.255, robot_mode, normal, 
30/03/2022 10:33:06:154, robot_pos_w_timestamp, 1648629100430, 564.44, 282.94, 204.47, 2.21, 0.08, 3.06, tool_force, 0.87, 0.64, -0.09, actual_rep, 1, curr_step, 7, track_size, 72, robot_vel, 39.86, joints_pos, 40.2, 53.58, -20.58, -78.48, 17.72, 45.68, 69.48, tool_torque, 0.255, -0.335, 0.247, tool_momentum, 0.259, -0.341, 0.248, robot_mode, normal, 
30/03/2022 10:33:06:308, robot_pos_w_timestamp, 1648629100580, 566.14, 276.98, 204.85, 2.21, 0.09, 3.06, tool_force, 0.98, 0.67, 0.25, actual_rep, 1, curr_step, 7, track_size, 72, robot_vel, 39.9, joints_pos, 40.01, 53.52, -20.98, -78.69, 17.51, 45.66, 69.43, tool_torque, 0.392, -0.401, 0.316, tool_momentum, 0.386, -0.404, 0.318, robot_mode, normal, 
30/03/2022 10:33:06:456, robot_pos_w_timestamp, 1648629100729, 567.95, 271.39, 205.48, 2.2, 0.1, 3.07, tool_force, 1.49, 0.92, -0.17, actual_rep, 1, curr_step, 7, track_size, 72, robot_vel, 37.02, joints_pos, 39.84, 53.46, -21.37, -78.85, 17.25, 45.66, 69.42, tool_torque, 0.288, -0.442, 0.373, tool_momentum, 0.287, -0.434, 0.372, robot_mode, normal, 
30/03/2022 10:33:06:609, robot_pos_w_timestamp, 1648629100878, 569.71, 265.39, 205.85, 2.2, 0.1, 3.07, tool_force, 0.37, 1.14, 0.89, actual_rep, 1, curr_step, 8, track_size, 72, robot_vel, 40.61, joints_pos, 39.64, 53.42, -21.77, -79.03, 17.05, 45.66, 69.35, tool_torque, 0.42, -0.435, 0.394, tool_momentum, 0.41, -0.408, 0.391, robot_mode, normal, 
30/03/2022 10:33:06:761, robot_pos_w_timestamp, 1648629101026, 571.29, 259.37, 206.46, 2.19, 0.11, 3.07, tool_force, 0.17, 0.03, 0.4, actual_rep, 1, curr_step, 8, track_size, 72, robot_vel, 41.56, joints_pos, 39.42, 53.34, -22.15, -79.24, 16.85, 45.66, 69.26, tool_torque, 0.402, -0.431, 0.429, tool_momentum, 0.4, -0.421, 0.428, robot_mode, normal, 
30/03/2022 10:33:06:922, robot_pos_w_timestamp, 1648629101176, 572.8, 253.58, 207.36, 2.19, 0.12, 3.07, tool_force, 0.34, 0.2, -0.08, actual_rep, 1, curr_step, 9, track_size, 72, robot_vel, 41.95, joints_pos, 39.21, 53.23, -22.52, -79.46, 16.6, 45.64, 69.2, tool_torque, 0.405, -0.479, 0.408, tool_momentum, 0.391, -0.413, 0.396, robot_mode, normal, 
30/03/2022 10:33:07:058, robot_pos_w_timestamp, 1648629101325, 574.27, 247.64, 208.32, 2.18, 0.13, 3.08, tool_force, 0.11, 0.84, 0.29, actual_rep, 1, curr_step, 9, track_size, 72, robot_vel, 44.93, joints_pos, 39.0, 53.13, -22.86, -79.66, 16.41, 45.64, 69.14, tool_torque, 0.442, -0.522, 0.402, tool_momentum, 0.44, -0.527, 0.402, robot_mode, normal, 
30/03/2022 10:33:07:210, robot_pos_w_timestamp, 1648629101474, 575.74, 241.84, 209.15, 2.18, 0.13, 3.08, tool_force, -0.77, 0.43, 0.45, actual_rep, 1, curr_step, 10, track_size, 72, robot_vel, 39.91, joints_pos, 38.8, 53.03, -23.23, -79.85, 16.24, 45.64, 69.07, tool_torque, 0.329, -0.393, 0.308, tool_momentum, 0.327, -0.402, 0.308, robot_mode, normal, 
30/03/2022 10:33:07:362, robot_pos_w_timestamp, 1648629101625, 576.93, 235.99, 210.31, 2.17, 0.14, 3.08, tool_force, -0.49, 0.72, 0.22, actual_rep, 1, curr_step, 10, track_size, 72, robot_vel, 41.51, joints_pos, 38.57, 52.88, -23.57, -80.09, 16.07, 45.64, 69.01, tool_torque, 0.357, -0.44, 0.273, tool_momentum, 0.354, -0.429, 0.273, robot_mode, normal, 
30/03/2022 10:33:07:511, robot_pos_w_timestamp, 1648629101774, 578.33, 230.19, 211.25, 2.17, 0.14, 3.08, tool_force, -1.03, 1.43, 0.1, actual_rep, 1, curr_step, 11, track_size, 72, robot_vel, 39.36, joints_pos, 38.34, 52.79, -23.92, -80.27, 15.88, 45.65, 68.99, tool_torque, 0.288, -0.466, 0.169, tool_momentum, 0.287, -0.463, 0.169, robot_mode, impedance, 
30/03/2022 10:33:07:677, robot_pos_w_timestamp, 1648629101931, 581.1, 223.78, 211.65, 2.16, 0.15, 3.08, tool_force, -3.15, 3.24, 2.03, actual_rep, 1, curr_step, 11, track_size, 72, robot_vel, 44.03, joints_pos, 38.02, 52.87, -24.31, -80.23, 15.69, 45.61, 68.91, tool_torque, 0.3, -0.269, -0.078, tool_momentum, 0.309, -0.283, -0.077, robot_mode, impedance, 
30/03/2022 10:33:07:822, robot_pos_w_timestamp, 1648629102081, 584.87, 217.84, 212.45, 2.15, 0.16, 3.09, tool_force, -3.41, 3.01, 1.97, actual_rep, 1, curr_step, 11, track_size, 72, robot_vel, 45.27, joints_pos, 37.56, 53.0, -24.58, -79.95, 15.63, 45.76, 68.73, tool_torque, -0.156, -0.299, -0.229, tool_momentum, -0.17, -0.295, -0.23, robot_mode, impedance, 
30/03/2022 10:33:07:975, robot_pos_w_timestamp, 1648629102231, 588.6, 211.85, 213.87, 2.15, 0.16, 3.09, tool_force, -6.64, 3.22, 2.32, actual_rep, 1, curr_step, 11, track_size, 72, robot_vel, 47.64, joints_pos, 37.04, 53.05, -24.77, -79.66, 15.49, 45.95, 68.41, tool_torque, -0.313, -0.157, -0.414, tool_momentum, -0.318, -0.139, -0.418, robot_mode, impedance, 
30/03/2022 10:33:08:120, robot_pos_w_timestamp, 1648629102382, 592.66, 207.93, 215.01, 2.15, 0.16, 3.09, tool_force, -9.96, 5.07, 2.34, actual_rep, 1, curr_step, 11, track_size, 72, robot_vel, 39.6, joints_pos, 36.49, 53.19, -24.76, -79.15, 15.47, 46.17, 67.93, tool_torque, -0.184, -0.473, -0.517, tool_momentum, -0.184, -0.486, -0.516, robot_mode, impedance, 
30/03/2022 10:33:08:271, robot_pos_w_timestamp, 1648629102533, 596.52, 203.94, 216.24, 2.15, 0.16, 3.09, tool_force, -12.66, 3.06, 0.48, actual_rep, 1, curr_step, 11, track_size, 72, robot_vel, 35.39, joints_pos, 35.91, 53.35, -24.76, -78.57, 15.46, 46.72, 67.59, tool_torque, -0.153, -0.457, -0.409, tool_momentum, -0.158, -0.443, -0.409, robot_mode, impedance, 
30/03/2022 10:33:08:423, robot_pos_w_timestamp, 1648629102684, 599.26, 198.88, 218.04, 2.15, 0.16, 3.09, tool_force, -14.07, 0.56, -2.37, actual_rep, 1, curr_step, 11, track_size, 72, robot_vel, 44.22, joints_pos, 35.39, 53.34, -24.81, -78.27, 15.3, 47.2, 67.33, tool_torque, 0.0070, -0.651, -0.162, tool_momentum, 0.012, -0.652, -0.159, robot_mode, impedance, 
30/03/2022 10:33:08:569, robot_pos_w_timestamp, 1648629102833, 599.09, 195.27, 219.67, 2.15, 0.16, 3.1, tool_force, -13.16, -1.62, -4.64, actual_rep, 1, curr_step, 11, track_size, 72, robot_vel, 24.52, joints_pos, 35.09, 53.07, -24.79, -78.48, 15.27, 47.42, 67.18, tool_torque, 0.289, -0.844, 0.237, tool_momentum, 0.296, -0.844, 0.237, robot_mode, impedance, 
30/03/2022 10:33:08:873, robot_pos_w_timestamp, 1648629103135, 591.02, 199.15, 217.68, 2.15, 0.15, 3.09, tool_force, -7.02, -1.41, -2.06, actual_rep, 1, curr_step, 11, track_size, 72, robot_vel, 42.35, joints_pos, 35.55, 52.45, -24.32, -79.89, 15.38, 46.62, 67.36, tool_torque, 0.494, -0.282, 0.137, tool_momentum, 0.499, -0.29, 0.137, robot_mode, impedance, 
30/03/2022 10:33:09:027, robot_pos_w_timestamp, 1648629103287, 586.81, 203.09, 215.97, 2.15, 0.15, 3.09, tool_force, -4.31, -2.05, -1.47, actual_rep, 1, curr_step, 11, track_size, 72, robot_vel, 39.8, joints_pos, 36.12, 52.32, -24.3, -80.49, 15.46, 46.22, 67.72, tool_torque, 0.421, -0.086, 0.068, tool_momentum, 0.422, -0.089, 0.068, robot_mode, impedance, 
30/03/2022 10:33:09:175, robot_pos_w_timestamp, 1648629103435, 583.23, 206.88, 214.94, 2.15, 0.15, 3.09, tool_force, -2.21, -2.06, -0.77, actual_rep, 1, curr_step, 11, track_size, 72, robot_vel, 31.53, joints_pos, 36.67, 52.22, -24.37, -80.92, 15.48, 45.96, 68.13, tool_torque, 0.452, -0.033, 0.049, tool_momentum, 0.458, -0.044, 0.049, robot_mode, impedance, 
30/03/2022 10:33:09:332, robot_pos_w_timestamp, 1648629103587, 580.55, 210.16, 214.14, 2.15, 0.15, 3.09, tool_force, -1.59, -1.89, -0.49, actual_rep, 1, curr_step, 12, track_size, 72, robot_vel, 26.51, joints_pos, 37.16, 52.16, -24.45, -81.24, 15.48, 45.71, 68.5, tool_torque, 0.345, 0.2, -0.04, tool_momentum, 0.338, 0.229, -0.047, robot_mode, impedance, 
30/03/2022 10:33:09:477, robot_pos_w_timestamp, 1648629103734, 579.47, 208.49, 214.67, 2.14, 0.16, 3.09, tool_force, 0.46, -1.62, -0.02, actual_rep, 1, curr_step, 12, track_size, 72, robot_vel, 25.33, joints_pos, 37.39, 52.05, -24.84, -81.55, 15.48, 45.7, 68.84, tool_torque, 0.229, 0.129, -0.075, tool_momentum, 0.227, 0.139, -0.076, robot_mode, impedance, 
30/03/2022 10:33:09:630, robot_pos_w_timestamp, 1648629103886, 578.73, 204.42, 216.05, 2.13, 0.16, 3.1, tool_force, 0.42, -1.46, 0.07, actual_rep, 1, curr_step, 13, track_size, 72, robot_vel, 28.4, joints_pos, 37.41, 51.8, -25.22, -81.97, 15.48, 45.7, 68.97, tool_torque, 0.231, 0.155, -0.071, tool_momentum, 0.226, 0.155, -0.071, robot_mode, impedance, 
30/03/2022 10:33:09:781, robot_pos_w_timestamp, 1648629104034, 578.21, 199.64, 217.65, 2.12, 0.16, 3.1, tool_force, 1.15, -0.72, 0.08, actual_rep, 1, curr_step, 13, track_size, 72, robot_vel, 38.42, joints_pos, 37.34, 51.52, -25.58, -82.4, 15.48, 45.7, 69.02, tool_torque, 0.335, -0.092, 0.016, tool_momentum, 0.327, -0.082, 0.013, robot_mode, impedance, 
30/03/2022 10:33:09:932, robot_pos_w_timestamp, 1648629104185, 578.39, 194.22, 219.56, 2.12, 0.17, 3.1, tool_force, 0.84, -0.2, 0.12, actual_rep, 1, curr_step, 14, track_size, 72, robot_vel, 38.0, joints_pos, 37.2, 51.26, -25.96, -82.73, 15.47, 45.7, 69.03, tool_torque, 0.351, -0.188, 0.055, tool_momentum, 0.346, -0.187, 0.055, robot_mode, impedance, 
30/03/2022 10:33:10:082, robot_pos_w_timestamp, 1648629104341, 578.51, 188.87, 221.71, 2.11, 0.17, 3.1, tool_force, 1.4, -0.59, -0.66, actual_rep, 1, curr_step, 14, track_size, 72, robot_vel, 38.72, joints_pos, 37.02, 50.96, -26.28, -83.08, 15.45, 45.72, 69.03, tool_torque, 0.212, -0.408, 0.136, tool_momentum, 0.218, -0.431, 0.139, robot_mode, impedance, 
30/03/2022 10:33:10:240, robot_pos_w_timestamp, 1648629104492, 578.46, 183.45, 224.1, 2.1, 0.17, 3.1, tool_force, 0.66, -0.28, -0.08, actual_rep, 1, curr_step, 15, track_size, 72, robot_vel, 37.47, joints_pos, 36.84, 50.61, -26.62, -83.46, 15.41, 45.73, 69.02, tool_torque, 0.206, -0.404, 0.181, tool_momentum, 0.215, -0.424, 0.184, robot_mode, impedance, 
