29/04/2022 15:38:40: File Created!
29/04/2022 15:38:40:447, robot_pos_w_timestamp, 1651243018186, 612.92, 280.96, 203.72, 2.36, -0.03, 3.07, tool_force, -0.52, 0.42, 7.05, actual_rep, 1, curr_step, 1, track_size, 99, robot_vel, 0.0, joints_pos, 22.43, 57.47, 2.94, -66.97, 0.77, 52.39, 68.33, tool_torque, 0.078, 0.116, 0.305, robot_mode, normal, 
29/04/2022 15:38:40:537, robot_pos_w_timestamp, 1651243018317, 612.8, 280.89, 202.9, 2.36, -0.03, 3.07, tool_force, -0.61, 0.14, 7.36, actual_rep, 1, curr_step, 1, track_size, 99, robot_vel, 4.3, joints_pos, 22.43, 57.54, 2.94, -66.96, 0.77, 52.38, 68.33, tool_torque, 0.028, 0.33, 0.232, robot_mode, normal, 
29/04/2022 15:38:40:685, robot_pos_w_timestamp, 1651243018466, 614.61, 275.9, 201.94, 2.35, -0.03, 3.07, tool_force, -0.8, 0.96, 7.38, actual_rep, 1, curr_step, 2, track_size, 99, robot_vel, 50.37, joints_pos, 22.13, 57.59, 2.71, -67.0, 0.72, 52.42, 68.21, tool_torque, 0.102, 0.144, 0.361, robot_mode, normal, 
29/04/2022 15:38:40:836, robot_pos_w_timestamp, 1651243018613, 615.61, 270.34, 201.39, 2.35, -0.02, 3.08, tool_force, -0.79, 1.39, 7.6, actual_rep, 1, curr_step, 3, track_size, 99, robot_vel, 44.1, joints_pos, 21.8, 57.51, 2.62, -67.25, 0.2, 52.42, 68.4, tool_torque, 0.081, 0.239, 0.078, robot_mode, normal, 
29/04/2022 15:38:40:996, robot_pos_w_timestamp, 1651243018764, 616.67, 264.21, 200.75, 2.34, -0.01, 3.09, tool_force, -0.92, 1.05, 7.31, actual_rep, 1, curr_step, 4, track_size, 99, robot_vel, 40.09, joints_pos, 21.4, 57.44, 2.56, -67.5, -0.31, 52.46, 68.62, tool_torque, -0.0090, 0.303, -0.011, robot_mode, normal, 
29/04/2022 15:38:41:146, robot_pos_w_timestamp, 1651243018911, 617.51, 258.77, 200.21, 2.34, -0.01, 3.09, tool_force, 0.12, 1.73, 7.35, actual_rep, 1, curr_step, 4, track_size, 99, robot_vel, 41.65, joints_pos, 20.97, 57.38, 2.58, -67.71, -0.6, 52.56, 68.51, tool_torque, 0.141, -0.096, 0.262, robot_mode, normal, 
29/04/2022 15:38:41:291, robot_pos_w_timestamp, 1651243019060, 618.33, 252.93, 199.63, 2.34, -0.01, 3.1, tool_force, 0.09, 1.88, 7.64, actual_rep, 1, curr_step, 5, track_size, 99, robot_vel, 39.95, joints_pos, 20.48, 57.31, 2.63, -67.94, -0.92, 52.65, 68.42, tool_torque, 0.203, -0.123, 0.372, robot_mode, normal, 
29/04/2022 15:38:41:441, robot_pos_w_timestamp, 1651243019209, 618.86, 247.17, 199.06, 2.33, -0.01, 3.1, tool_force, 0.15, 2.46, 7.57, actual_rep, 1, curr_step, 5, track_size, 99, robot_vel, 36.34, joints_pos, 20.05, 57.15, 2.63, -68.36, -1.24, 52.4, 68.41, tool_torque, 0.389, -0.075, 0.371, robot_mode, normal, 
29/04/2022 15:38:41:591, robot_pos_w_timestamp, 1651243019356, 619.42, 241.42, 198.61, 2.33, 0.0, 3.1, tool_force, -0.29, 2.09, 7.48, actual_rep, 1, curr_step, 6, track_size, 99, robot_vel, 41.87, joints_pos, 19.61, 57.01, 2.63, -68.73, -1.49, 52.22, 68.4, tool_torque, 0.382, -0.064, 0.373, robot_mode, normal, 
29/04/2022 15:38:41:748, robot_pos_w_timestamp, 1651243019505, 619.77, 235.5, 198.23, 2.33, 0.0, 3.11, tool_force, 0.2, 2.21, 7.3, actual_rep, 1, curr_step, 6, track_size, 99, robot_vel, 40.8, joints_pos, 19.14, 56.87, 2.63, -69.07, -1.69, 52.22, 68.34, tool_torque, 0.33, -0.087, 0.408, robot_mode, normal, 
29/04/2022 15:38:41:917, robot_pos_w_timestamp, 1651243019651, 620.01, 229.9, 197.87, 2.32, 0.0, 3.11, tool_force, 0.57, 2.42, 7.39, actual_rep, 1, curr_step, 7, track_size, 99, robot_vel, 38.37, joints_pos, 18.7, 56.74, 2.64, -69.41, -1.89, 52.22, 68.27, tool_torque, 0.328, -0.182, 0.436, robot_mode, normal, 
