05/04/2022 16:08:45: File Created!
05/04/2022 16:08:45:489, robot_pos_w_timestamp, 1649171233743, 612.9, 280.93, 203.7, 2.36, -0.03, 3.07, tool_force, -1.01, -0.43, 0.02, actual_rep, 1, curr_step, 1, track_size, 99, robot_vel, 49.38, joints_pos, 23.2, 57.44, 1.54, -66.97, 2.25, 52.41, 67.51, tool_torque, -0.199, 0.369, 0.026, tool_momentum, -0.199, 0.37, 0.026, robot_mode, normal, 
05/04/2022 16:08:45:635, robot_pos_w_timestamp, 1649171233878, 612.79, 280.84, 202.87, 2.36, -0.03, 3.07, tool_force, -0.73, -0.96, -0.51, actual_rep, 1, curr_step, 1, track_size, 99, robot_vel, 49.38, joints_pos, 23.19, 57.52, 1.55, -66.97, 2.25, 52.39, 67.51, tool_torque, -0.084, 0.271, 0.062, tool_momentum, -0.0060, 0.28, 0.062, robot_mode, normal, 
05/04/2022 16:08:45:769, robot_pos_w_timestamp, 1649171234026, 613.92, 278.58, 202.41, 2.36, -0.03, 3.07, tool_force, 0.84, 0.83, 0.31, actual_rep, 1, curr_step, 2, track_size, 99, robot_vel, 11.04, joints_pos, 23.02, 57.57, 1.47, -66.93, 2.25, 52.4, 67.33, tool_torque, 0.058, -0.04, 0.235, tool_momentum, 0.049, -0.014, 0.235, robot_mode, normal, 
05/04/2022 16:08:45:919, robot_pos_w_timestamp, 1649171234175, 615.28, 272.66, 201.87, 2.35, -0.02, 3.08, tool_force, -0.1, 0.38, -0.12, actual_rep, 1, curr_step, 3, track_size, 99, robot_vel, 42.6, joints_pos, 22.64, 57.5, 1.34, -67.16, 1.96, 52.39, 67.38, tool_torque, -0.0080, 0.056, 0.174, tool_momentum, -0.0020, 0.048, 0.172, robot_mode, normal, 
05/04/2022 16:08:46:072, robot_pos_w_timestamp, 1649171234324, 616.23, 266.86, 201.34, 2.35, -0.02, 3.08, tool_force, -0.33, 0.52, 0.23, actual_rep, 1, curr_step, 3, track_size, 99, robot_vel, 40.97, joints_pos, 22.33, 57.41, 1.21, -67.41, 1.47, 52.42, 67.62, tool_torque, -0.068, 0.264, -0.041, tool_momentum, -0.075, 0.286, -0.041, robot_mode, normal, 
05/04/2022 16:08:46:232, robot_pos_w_timestamp, 1649171234474, 617.13, 260.88, 200.68, 2.34, -0.01, 3.09, tool_force, -0.06, 0.55, 0.16, actual_rep, 1, curr_step, 4, track_size, 99, robot_vel, 39.15, joints_pos, 21.91, 57.36, 1.16, -67.63, 1.07, 52.55, 67.67, tool_torque, -0.101, 0.171, 0.139, tool_momentum, -0.1, 0.173, 0.141, robot_mode, normal, 
05/04/2022 16:08:46:375, robot_pos_w_timestamp, 1649171234624, 618.05, 255.32, 200.11, 2.34, -0.01, 3.09, tool_force, -0.03, 0.67, 0.35, actual_rep, 1, curr_step, 5, track_size, 99, robot_vel, 41.2, joints_pos, 21.45, 57.3, 1.21, -67.84, 0.76, 52.64, 67.52, tool_torque, -0.034, -0.048, 0.299, tool_momentum, -0.05, -0.039, 0.299, robot_mode, normal, 
05/04/2022 16:08:46:522, robot_pos_w_timestamp, 1649171234772, 618.75, 249.65, 199.61, 2.34, -0.01, 3.1, tool_force, -0.42, 0.94, 0.15, actual_rep, 1, curr_step, 5, track_size, 99, robot_vel, 39.25, joints_pos, 21.01, 57.18, 1.23, -68.16, 0.43, 52.53, 67.52, tool_torque, 0.185, 0.089, 0.269, tool_momentum, 0.184, 0.097, 0.269, robot_mode, normal, 
05/04/2022 16:08:46:673, robot_pos_w_timestamp, 1649171234921, 619.39, 243.84, 199.1, 2.33, 0.0, 3.1, tool_force, -0.1, 0.99, -0.04, actual_rep, 1, curr_step, 6, track_size, 99, robot_vel, 37.68, joints_pos, 20.58, 57.02, 1.23, -68.57, 0.11, 52.23, 67.52, tool_torque, 0.259, 0.0050, 0.295, tool_momentum, 0.251, 0.0030, 0.295, robot_mode, normal, 
05/04/2022 16:08:46:824, robot_pos_w_timestamp, 1649171235074, 619.68, 237.91, 198.72, 2.33, 0.0, 3.1, tool_force, -0.29, 1.03, 0.02, actual_rep, 1, curr_step, 6, track_size, 99, robot_vel, 39.27, joints_pos, 20.12, 56.88, 1.23, -68.93, -0.08, 52.22, 67.47, tool_torque, 0.215, 0.024, 0.322, tool_momentum, 0.211, 0.032, 0.322, robot_mode, normal, 
05/04/2022 16:08:46:977, robot_pos_w_timestamp, 1649171235220, 620.06, 232.21, 198.27, 2.32, 0.0, 3.11, tool_force, -0.09, 1.07, 0.22, actual_rep, 1, curr_step, 7, track_size, 99, robot_vel, 38.87, joints_pos, 19.67, 56.76, 1.23, -69.25, -0.28, 52.22, 67.42, tool_torque, 0.216, -0.034, 0.344, tool_momentum, 0.214, -0.016, 0.341, robot_mode, normal, 
