30/03/2022 16:28:51: File Created!
30/03/2022 16:28:51:380, robot_pos_w_timestamp, 1648650445092, 621.29, 261.85, 185.55, 2.33, 0.09, 3.06, tool_force, 0.22, 0.11, 0.07, actual_rep, 1, curr_step, 1, track_size, 85, robot_vel, 41.94, joints_pos, 37.13, 60.98, -24.87, -68.35, 24.19, 49.55, 56.63, tool_torque, 0.194, -0.18, 0.151, tool_momentum, 0.195, -0.179, 0.151, robot_mode, normal, 
30/03/2022 16:28:51:547, robot_pos_w_timestamp, 1648650445264, 621.28, 261.86, 185.54, 2.33, 0.09, 3.06, tool_force, 0.15, 0.07, -0.05, actual_rep, 1, curr_step, 1, track_size, 85, robot_vel, 41.94, joints_pos, 37.13, 60.98, -24.87, -68.35, 24.19, 49.55, 56.63, tool_torque, 0.176, -0.143, 0.107, tool_momentum, 0.172, -0.145, 0.107, robot_mode, normal, 
30/03/2022 16:28:51:640, robot_pos_w_timestamp, 1648650445377, 621.46, 261.68, 185.67, 2.33, 0.09, 3.06, tool_force, 0.14, -0.13, 0.14, actual_rep, 1, curr_step, 3, track_size, 85, robot_vel, 2.89, joints_pos, 37.11, 60.98, -24.89, -68.33, 24.18, 49.55, 56.62, tool_torque, 0.177, -0.179, 0.167, tool_momentum, 0.189, -0.192, 0.167, robot_mode, normal, 
30/03/2022 16:28:51:791, robot_pos_w_timestamp, 1648650445526, 623.93, 256.92, 186.77, 2.34, 0.1, 3.07, tool_force, 0.95, 0.39, 0.16, actual_rep, 1, curr_step, 4, track_size, 85, robot_vel, 43.05, joints_pos, 36.83, 60.96, -25.14, -68.3, 24.05, 49.51, 55.63, tool_torque, 0.27, -0.274, 0.416, tool_momentum, 0.282, -0.301, 0.415, robot_mode, normal, 
30/03/2022 16:28:51:939, robot_pos_w_timestamp, 1648650445675, 626.29, 251.09, 187.71, 2.35, 0.1, 3.07, tool_force, 0.7, 0.55, 0.02, actual_rep, 1, curr_step, 5, track_size, 85, robot_vel, 43.77, joints_pos, 36.36, 60.87, -25.21, -68.35, 23.98, 49.51, 54.84, tool_torque, 0.253, -0.23, 0.412, tool_momentum, 0.243, -0.222, 0.412, robot_mode, normal, 
30/03/2022 16:28:52:091, robot_pos_w_timestamp, 1648650445824, 627.96, 245.35, 188.51, 2.35, 0.1, 3.07, tool_force, 1.73, 0.8, 0.84, actual_rep, 1, curr_step, 6, track_size, 85, robot_vel, 39.41, joints_pos, 35.93, 60.77, -25.29, -68.44, 23.92, 49.63, 54.39, tool_torque, 0.17, -0.33, 0.432, tool_momentum, 0.159, -0.306, 0.429, robot_mode, normal, 
30/03/2022 16:28:52:244, robot_pos_w_timestamp, 1648650445973, 629.53, 239.64, 189.13, 2.34, 0.1, 3.07, tool_force, 1.79, 0.9, 0.55, actual_rep, 1, curr_step, 7, track_size, 85, robot_vel, 42.71, joints_pos, 35.51, 60.68, -25.4, -68.57, 23.9, 49.68, 54.0, tool_torque, 0.171, -0.423, 0.4, tool_momentum, 0.167, -0.418, 0.4, robot_mode, normal, 
30/03/2022 16:28:52:392, robot_pos_w_timestamp, 1648650446124, 631.08, 233.76, 190.06, 2.34, 0.1, 3.07, tool_force, 0.86, 0.62, 0.74, actual_rep, 1, curr_step, 7, track_size, 85, robot_vel, 37.52, joints_pos, 35.11, 60.57, -25.53, -68.67, 23.91, 49.82, 53.69, tool_torque, 0.142, -0.384, 0.391, tool_momentum, 0.151, -0.409, 0.391, robot_mode, normal, 
30/03/2022 16:28:52:542, robot_pos_w_timestamp, 1648650446274, 632.58, 227.82, 191.01, 2.34, 0.1, 3.08, tool_force, 1.26, 0.52, 0.55, actual_rep, 1, curr_step, 8, track_size, 85, robot_vel, 40.0, joints_pos, 34.67, 60.44, -25.63, -68.82, 23.92, 49.86, 53.33, tool_torque, 0.163, -0.386, 0.42, tool_momentum, 0.169, -0.391, 0.422, robot_mode, normal, 
30/03/2022 16:28:52:690, robot_pos_w_timestamp, 1648650446421, 633.97, 222.12, 192.07, 2.34, 0.1, 3.08, tool_force, 1.04, 0.45, 0.62, actual_rep, 1, curr_step, 9, track_size, 85, robot_vel, 41.08, joints_pos, 34.27, 60.3, -25.73, -68.98, 23.92, 49.89, 52.98, tool_torque, 0.139, -0.326, 0.397, tool_momentum, 0.143, -0.322, 0.396, robot_mode, normal, 
30/03/2022 16:28:52:841, robot_pos_w_timestamp, 1648650446569, 635.43, 216.26, 193.21, 2.33, 0.1, 3.08, tool_force, 0.7, 0.62, 0.76, actual_rep, 1, curr_step, 10, track_size, 85, robot_vel, 40.46, joints_pos, 33.86, 60.16, -25.86, -69.12, 23.92, 49.92, 52.64, tool_torque, 0.148, -0.31, 0.384, tool_momentum, 0.154, -0.325, 0.384, robot_mode, normal, 
30/03/2022 16:28:53:008, robot_pos_w_timestamp, 1648650446721, 636.94, 210.51, 194.43, 2.33, 0.11, 3.08, tool_force, 1.26, 1.01, 0.77, actual_rep, 1, curr_step, 10, track_size, 85, robot_vel, 41.38, joints_pos, 33.45, 60.01, -25.98, -69.25, 23.93, 49.94, 52.3, tool_torque, 0.199, -0.423, 0.356, tool_momentum, 0.182, -0.4, 0.351, robot_mode, normal, 
30/03/2022 16:28:53:145, robot_pos_w_timestamp, 1648650446868, 638.42, 204.73, 195.64, 2.33, 0.11, 3.08, tool_force, 0.58, 1.4, 1.0, actual_rep, 1, curr_step, 11, track_size, 85, robot_vel, 39.34, joints_pos, 33.04, 59.88, -26.1, -69.37, 23.93, 49.95, 51.99, tool_torque, 0.174, -0.341, 0.324, tool_momentum, 0.191, -0.352, 0.326, robot_mode, normal, 
30/03/2022 16:28:53:299, robot_pos_w_timestamp, 1648650447019, 639.77, 198.9, 196.9, 2.32, 0.11, 3.08, tool_force, 0.75, 1.71, 1.09, actual_rep, 1, curr_step, 12, track_size, 85, robot_vel, 38.71, joints_pos, 32.64, 59.73, -26.24, -69.51, 23.93, 49.97, 51.7, tool_torque, 0.21, -0.379, 0.297, tool_momentum, 0.202, -0.353, 0.296, robot_mode, impedance, 
30/03/2022 16:28:53:473, robot_pos_w_timestamp, 1648650447167, 641.51, 193.98, 197.89, 2.32, 0.11, 3.08, tool_force, -0.49, 2.16, 1.4, actual_rep, 1, curr_step, 12, track_size, 85, robot_vel, 32.09, joints_pos, 32.3, 59.68, -26.39, -69.51, 23.93, 49.95, 51.57, tool_torque, 0.154, -0.158, 0.149, tool_momentum, 0.222, -0.275, 0.116, robot_mode, impedance, 
30/03/2022 16:28:53:601, robot_pos_w_timestamp, 1648650447318, 644.58, 188.69, 199.04, 2.31, 0.12, 3.08, tool_force, -2.73, 5.35, 3.53, actual_rep, 1, curr_step, 12, track_size, 85, robot_vel, 43.62, joints_pos, 31.87, 59.75, -26.59, -69.25, 23.93, 49.96, 51.25, tool_torque, 0.105, -0.117, -0.172, tool_momentum, 0.106, -0.116, -0.172, robot_mode, impedance, 
30/03/2022 16:28:53:745, robot_pos_w_timestamp, 1648650447466, 648.57, 183.14, 200.05, 2.31, 0.12, 3.08, tool_force, -5.27, 7.52, 5.25, actual_rep, 1, curr_step, 13, track_size, 85, robot_vel, 50.9, joints_pos, 31.26, 59.95, -26.68, -68.67, 23.99, 50.37, 51.02, tool_torque, -0.0040, -0.031, -0.393, tool_momentum, 0.017, -0.072, -0.393, robot_mode, impedance, 
30/03/2022 16:28:53:901, robot_pos_w_timestamp, 1648650447616, 653.2, 177.4, 201.08, 2.3, 0.12, 3.08, tool_force, -6.71, 9.75, 6.06, actual_rep, 1, curr_step, 13, track_size, 85, robot_vel, 46.22, joints_pos, 30.56, 60.25, -26.74, -67.86, 24.01, 50.95, 50.87, tool_torque, -0.077, 0.101, -0.593, tool_momentum, -0.095, 0.103, -0.594, robot_mode, impedance, 
30/03/2022 16:28:54:058, robot_pos_w_timestamp, 1648650447765, 657.64, 174.85, 201.74, 2.31, 0.11, 3.08, tool_force, -9.72, 11.96, 7.6, actual_rep, 1, curr_step, 13, track_size, 85, robot_vel, 28.06, joints_pos, 29.99, 60.6, -26.64, -66.94, 24.01, 51.48, 50.62, tool_torque, 0.0030, 0.045, -0.781, tool_momentum, -0.0030, 0.031, -0.781, robot_mode, impedance, 
30/03/2022 16:28:54:198, robot_pos_w_timestamp, 1648650447918, 662.01, 175.06, 201.39, 2.31, 0.11, 3.08, tool_force, -12.36, 14.36, 9.15, actual_rep, 1, curr_step, 13, track_size, 85, robot_vel, 23.99, joints_pos, 29.65, 61.15, -26.58, -65.79, 24.01, 52.06, 50.57, tool_torque, -0.082, 0.224, -1.05, tool_momentum, -0.074, 0.215, -1.048, robot_mode, impedance, 
30/03/2022 16:28:54:350, robot_pos_w_timestamp, 1648650448066, 665.04, 174.94, 201.24, 2.31, 0.11, 3.08, tool_force, -11.87, 12.86, 8.84, actual_rep, 1, curr_step, 13, track_size, 85, robot_vel, 16.17, joints_pos, 29.42, 61.6, -26.64, -64.88, 24.01, 52.77, 50.67, tool_torque, -0.197, 0.304, -1.06, tool_momentum, -0.215, 0.308, -1.06, robot_mode, impedance, 
