30/03/2022 11:57:13: File Created!
30/03/2022 11:57:13:297, robot_pos_w_timestamp, 1648634147845, 568.95, 342.5, 194.09, 2.29, 0.02, 3.07, tool_force, -0.05, 0.67, 5.76, actual_rep, 1, curr_step, 1, track_size, 67, robot_vel, 0.0, joints_pos, 55.86, 66.31, -46.77, -70.06, 50.13, 59.11, 53.61, tool_torque, -0.033, -0.348, 0.308, tool_momentum, -0.034, -0.348, 0.307, robot_mode, normal, 
30/03/2022 11:57:13:437, robot_pos_w_timestamp, 1648634148021, 569.07, 342.37, 192.44, 2.29, 0.02, 3.07, tool_force, -0.48, 0.23, 5.38, actual_rep, 1, curr_step, 1, track_size, 67, robot_vel, 0.0, joints_pos, 55.86, 66.48, -46.77, -70.02, 50.13, 58.99, 53.61, tool_torque, 0.012, -0.225, 0.273, tool_momentum, 0.01, -0.229, 0.273, robot_mode, normal, 
30/03/2022 11:57:13:539, robot_pos_w_timestamp, 1648634148128, 569.77, 341.61, 192.8, 2.29, 0.02, 3.07, tool_force, 1.8, 0.02, 5.44, actual_rep, 1, curr_step, 2, track_size, 67, robot_vel, 9.12, joints_pos, 55.79, 66.49, -46.86, -69.99, 50.14, 59.01, 53.63, tool_torque, -0.035, -0.61, 0.288, tool_momentum, -0.034, -0.63, 0.293, robot_mode, normal, 
30/03/2022 11:57:13:693, robot_pos_w_timestamp, 1648634148277, 572.83, 335.58, 193.96, 2.29, 0.03, 3.07, tool_force, 1.14, 0.66, 5.52, actual_rep, 1, curr_step, 3, track_size, 67, robot_vel, 39.01, joints_pos, 55.5, 66.5, -47.29, -70.16, 50.28, 59.0, 53.04, tool_torque, 0.102, -0.535, 0.426, tool_momentum, 0.104, -0.546, 0.426, robot_mode, normal, 
30/03/2022 11:57:13:842, robot_pos_w_timestamp, 1648634148427, 575.54, 329.94, 195.34, 2.28, 0.04, 3.07, tool_force, 0.66, 1.27, 5.85, actual_rep, 1, curr_step, 3, track_size, 67, robot_vel, 35.93, joints_pos, 55.27, 66.48, -47.69, -70.31, 50.16, 58.98, 52.9, tool_torque, 0.228, -0.438, 0.452, tool_momentum, 0.242, -0.436, 0.453, robot_mode, normal, 
30/03/2022 11:57:13:993, robot_pos_w_timestamp, 1648634148576, 578.21, 324.28, 196.72, 2.28, 0.04, 3.07, tool_force, 1.24, 1.23, 5.45, actual_rep, 1, curr_step, 4, track_size, 67, robot_vel, 42.88, joints_pos, 54.93, 66.36, -47.88, -70.49, 49.92, 58.86, 52.81, tool_torque, 0.243, -0.497, 0.473, tool_momentum, 0.246, -0.509, 0.473, robot_mode, normal, 
30/03/2022 11:57:14:143, robot_pos_w_timestamp, 1648634148724, 580.71, 318.48, 198.08, 2.27, 0.05, 3.07, tool_force, 1.33, 1.2, 5.53, actual_rep, 1, curr_step, 5, track_size, 67, robot_vel, 45.99, joints_pos, 54.54, 66.18, -47.94, -70.68, 49.54, 58.68, 52.77, tool_torque, 0.247, -0.5, 0.466, tool_momentum, 0.251, -0.503, 0.466, robot_mode, normal, 
30/03/2022 11:57:14:293, robot_pos_w_timestamp, 1648634148876, 583.14, 312.62, 199.49, 2.26, 0.05, 3.07, tool_force, 0.65, 1.67, 5.94, actual_rep, 1, curr_step, 5, track_size, 67, robot_vel, 43.38, joints_pos, 54.13, 65.96, -47.94, -70.89, 49.15, 58.48, 52.71, tool_torque, 0.302, -0.441, 0.468, tool_momentum, 0.299, -0.441, 0.468, robot_mode, normal, 
30/03/2022 11:57:14:447, robot_pos_w_timestamp, 1648634149023, 585.28, 306.76, 200.9, 2.26, 0.06, 3.07, tool_force, 2.15, 1.1, 5.41, actual_rep, 1, curr_step, 6, track_size, 67, robot_vel, 40.98, joints_pos, 53.72, 65.74, -47.94, -71.11, 48.71, 58.36, 52.76, tool_torque, 0.238, -0.61, 0.376, tool_momentum, 0.232, -0.615, 0.374, robot_mode, normal, 
30/03/2022 11:57:14:594, robot_pos_w_timestamp, 1648634149174, 587.2, 300.92, 202.22, 2.25, 0.07, 3.08, tool_force, 1.28, 0.56, 5.43, actual_rep, 1, curr_step, 6, track_size, 67, robot_vel, 41.2, joints_pos, 53.35, 65.57, -47.99, -71.27, 48.18, 58.36, 53.0, tool_torque, 0.085, -0.464, 0.149, tool_momentum, 0.083, -0.461, 0.148, robot_mode, normal, 
30/03/2022 11:57:14:749, robot_pos_w_timestamp, 1648634149322, 589.21, 295.01, 203.36, 2.24, 0.07, 3.08, tool_force, 0.84, 0.67, 5.77, actual_rep, 1, curr_step, 7, track_size, 67, robot_vel, 40.11, joints_pos, 52.9, 65.4, -48.01, -71.44, 47.85, 58.36, 53.16, tool_torque, 0.039, -0.428, 0.126, tool_momentum, 0.029, -0.424, 0.126, robot_mode, normal, 
30/03/2022 11:57:14:897, robot_pos_w_timestamp, 1648634149471, 591.06, 289.16, 204.63, 2.23, 0.07, 3.08, tool_force, 1.16, 0.53, 5.37, actual_rep, 1, curr_step, 7, track_size, 67, robot_vel, 40.59, joints_pos, 52.46, 65.19, -48.0, -71.65, 47.66, 58.36, 53.19, tool_torque, 0.068, -0.503, 0.143, tool_momentum, 0.075, -0.524, 0.143, robot_mode, normal, 
30/03/2022 11:57:15:051, robot_pos_w_timestamp, 1648634149619, 592.81, 283.48, 205.79, 2.22, 0.07, 3.08, tool_force, 1.24, 0.98, 5.46, actual_rep, 1, curr_step, 8, track_size, 67, robot_vel, 39.6, joints_pos, 52.05, 64.99, -48.0, -71.88, 47.41, 58.29, 53.25, tool_torque, 0.153, -0.396, 0.142, tool_momentum, 0.139, -0.386, 0.14, robot_mode, normal, 
30/03/2022 11:57:15:204, robot_pos_w_timestamp, 1648634149768, 594.11, 277.9, 207.05, 2.21, 0.08, 3.08, tool_force, 3.27, -0.07, 4.35, actual_rep, 1, curr_step, 8, track_size, 67, robot_vel, 40.48, joints_pos, 51.71, 64.74, -48.01, -72.18, 47.12, 58.15, 53.35, tool_torque, 0.121, -0.499, 0.214, tool_momentum, 0.115, -0.483, 0.214, robot_mode, normal, 
