30/03/2022 16:16:04: File Created!
30/03/2022 16:16:04:569, robot_pos_w_timestamp, 1648649679267, 550.55, 317.38, 236.86, 2.34, 0.03, 3.05, tool_force, 0.04, -0.5, 0.05, actual_rep, 1, curr_step, 1, track_size, 96, robot_vel, 0.0, joints_pos, 62.73, 65.38, -59.53, -77.62, 60.27, 63.9, 42.99, tool_torque, 0.036, -0.417, 0.151, tool_momentum, 0.035, -0.417, 0.151, robot_mode, normal, 
30/03/2022 16:16:04:673, robot_pos_w_timestamp, 1648649679405, 550.56, 317.4, 236.88, 2.34, 0.03, 3.05, tool_force, 0.03, -0.58, 0.11, actual_rep, 1, curr_step, 1, track_size, 96, robot_vel, 0.0, joints_pos, 62.73, 65.38, -59.53, -77.62, 60.27, 63.9, 42.99, tool_torque, 0.015, -0.414, 0.128, tool_momentum, 0.015, -0.414, 0.127, robot_mode, normal, 
30/03/2022 16:16:04:874, robot_pos_w_timestamp, 1648649679557, 551.08, 316.5, 237.12, 2.33, 0.03, 3.05, tool_force, 1.03, -0.54, 0.11, actual_rep, 1, curr_step, 2, track_size, 96, robot_vel, 7.59, joints_pos, 62.69, 65.38, -59.61, -77.66, 60.26, 63.83, 43.07, tool_torque, 0.028, -0.494, 0.069, tool_momentum, 0.024, -0.502, 0.069, robot_mode, normal, 
30/03/2022 16:16:04:976, robot_pos_w_timestamp, 1648649679705, 552.78, 310.7, 238.08, 2.32, 0.04, 3.05, tool_force, 0.87, -0.22, 0.32, actual_rep, 1, curr_step, 3, track_size, 96, robot_vel, 42.47, joints_pos, 62.48, 65.36, -59.95, -77.96, 60.19, 63.79, 43.06, tool_torque, 0.112, -0.418, 0.183, tool_momentum, 0.107, -0.42, 0.182, robot_mode, normal, 
30/03/2022 16:16:05:175, robot_pos_w_timestamp, 1648649679855, 554.34, 304.81, 239.05, 2.31, 0.04, 3.05, tool_force, 0.83, 0.07, 0.27, actual_rep, 1, curr_step, 4, track_size, 96, robot_vel, 39.04, joints_pos, 62.29, 65.33, -60.31, -78.32, 60.18, 63.7, 42.99, tool_torque, 0.196, -0.497, 0.284, tool_momentum, 0.19, -0.51, 0.285, robot_mode, normal, 
30/03/2022 16:16:05:282, robot_pos_w_timestamp, 1648649680007, 555.7, 299.0, 240.19, 2.31, 0.05, 3.05, tool_force, 1.51, -0.72, -0.91, actual_rep, 1, curr_step, 5, track_size, 96, robot_vel, 38.16, joints_pos, 62.13, 65.31, -60.71, -78.68, 60.17, 63.68, 42.86, tool_torque, 0.2, -0.607, 0.397, tool_momentum, 0.203, -0.606, 0.397, robot_mode, normal, 
30/03/2022 16:16:05:478, robot_pos_w_timestamp, 1648649680156, 557.03, 293.36, 240.99, 2.3, 0.05, 3.05, tool_force, 1.49, -0.12, -0.55, actual_rep, 1, curr_step, 6, track_size, 96, robot_vel, 42.67, joints_pos, 61.93, 65.29, -61.04, -79.02, 60.17, 63.61, 42.65, tool_torque, 0.288, -0.639, 0.436, tool_momentum, 0.298, -0.638, 0.436, robot_mode, normal, 
30/03/2022 16:16:05:580, robot_pos_w_timestamp, 1648649680304, 558.19, 287.87, 242.34, 2.29, 0.06, 3.05, tool_force, 2.42, 0.2, -0.85, actual_rep, 1, curr_step, 6, track_size, 96, robot_vel, 37.8, joints_pos, 61.77, 65.25, -61.41, -79.35, 60.17, 63.63, 42.35, tool_torque, 0.172, -0.768, 0.374, tool_momentum, 0.178, -0.761, 0.373, robot_mode, normal, 
30/03/2022 16:16:05:772, robot_pos_w_timestamp, 1648649680455, 559.54, 281.72, 242.89, 2.29, 0.06, 3.05, tool_force, 0.86, 0.31, 0.42, actual_rep, 1, curr_step, 7, track_size, 96, robot_vel, 38.34, joints_pos, 61.51, 65.25, -61.73, -79.69, 60.23, 63.6, 41.95, tool_torque, 0.292, -0.528, 0.412, tool_momentum, 0.295, -0.529, 0.412, robot_mode, normal, 
30/03/2022 16:16:05:883, robot_pos_w_timestamp, 1648649680604, 560.96, 275.96, 243.7, 2.29, 0.06, 3.05, tool_force, 0.2, 0.68, 0.39, actual_rep, 1, curr_step, 7, track_size, 96, robot_vel, 39.79, joints_pos, 61.27, 65.25, -62.05, -79.99, 60.3, 63.6, 41.51, tool_torque, 0.233, -0.492, 0.321, tool_momentum, 0.239, -0.494, 0.32, robot_mode, normal, 
30/03/2022 16:16:06:037, robot_pos_w_timestamp, 1648649680752, 562.21, 270.26, 244.59, 2.28, 0.07, 3.05, tool_force, 0.68, 0.63, 0.21, actual_rep, 1, curr_step, 8, track_size, 96, robot_vel, 37.88, joints_pos, 61.03, 65.24, -62.39, -80.29, 60.35, 63.64, 41.07, tool_torque, 0.142, -0.575, 0.31, tool_momentum, 0.142, -0.577, 0.311, robot_mode, normal, 
30/03/2022 16:16:06:190, robot_pos_w_timestamp, 1648649680902, 563.09, 264.38, 245.6, 2.28, 0.07, 3.05, tool_force, 1.02, 0.17, 0.21, actual_rep, 1, curr_step, 8, track_size, 96, robot_vel, 38.83, joints_pos, 60.84, 65.21, -62.74, -80.66, 60.4, 63.66, 40.56, tool_torque, 0.173, -0.676, 0.366, tool_momentum, 0.18, -0.679, 0.367, robot_mode, normal, 
30/03/2022 16:16:06:391, robot_pos_w_timestamp, 1648649681056, 563.94, 258.24, 246.54, 2.28, 0.07, 3.06, tool_force, 0.64, 0.28, 0.38, actual_rep, 1, curr_step, 9, track_size, 96, robot_vel, 42.69, joints_pos, 60.61, 65.15, -63.05, -81.04, 60.43, 63.66, 39.99, tool_torque, 0.206, -0.687, 0.361, tool_momentum, 0.208, -0.694, 0.361, robot_mode, normal, 
