05/04/2022 16:11:57: File Created!
05/04/2022 16:11:57:653, robot_pos_w_timestamp, 1649171426104, 612.9, 280.95, 203.72, 2.36, -0.03, 3.07, tool_force, -0.75, -0.48, -0.08, actual_rep, 1, curr_step, 1, track_size, 99, robot_vel, 38.82, joints_pos, 23.08, 57.44, 1.76, -66.97, 2.03, 52.41, 67.64, tool_torque, -0.12, 0.159, 0.268, tool_momentum, -0.119, 0.156, 0.269, robot_mode, normal, 
05/04/2022 16:11:57:760, robot_pos_w_timestamp, 1649171426237, 613.09, 280.43, 202.75, 2.36, -0.03, 3.07, tool_force, -0.58, -0.93, -0.58, actual_rep, 1, curr_step, 2, track_size, 99, robot_vel, 10.24, joints_pos, 23.03, 57.54, 1.75, -66.95, 2.03, 52.35, 67.64, tool_torque, 0.01, 0.0040, 0.271, tool_momentum, 0.038, 0.0, 0.273, robot_mode, normal, 
05/04/2022 16:11:57:972, robot_pos_w_timestamp, 1649171426422, 615.16, 273.59, 202.01, 2.35, -0.03, 3.08, tool_force, 0.01, 0.76, 0.34, actual_rep, 1, curr_step, 2, track_size, 99, robot_vel, 46.62, joints_pos, 22.62, 57.52, 1.53, -67.1, 1.77, 52.43, 67.53, tool_torque, 0.077, -0.053, 0.261, tool_momentum, 0.069, -0.045, 0.257, robot_mode, normal, 
05/04/2022 16:11:58:087, robot_pos_w_timestamp, 1649171426550, 616.0, 268.52, 201.5, 2.35, -0.02, 3.08, tool_force, 0.25, 0.51, -0.08, actual_rep, 1, curr_step, 3, track_size, 99, robot_vel, 41.7, joints_pos, 22.34, 57.44, 1.41, -67.33, 1.36, 52.43, 67.74, tool_torque, -0.015, 0.067, 0.07, tool_momentum, -0.03, 0.105, 0.066, robot_mode, normal, 
05/04/2022 16:11:58:208, robot_pos_w_timestamp, 1649171426689, 616.87, 263.15, 200.96, 2.34, -0.01, 3.09, tool_force, -0.49, 0.48, 0.29, actual_rep, 1, curr_step, 4, track_size, 99, robot_vel, 44.69, joints_pos, 21.99, 57.38, 1.34, -67.54, 0.95, 52.5, 67.88, tool_torque, -0.039, 0.142, 0.083, tool_momentum, -0.023, 0.13, 0.086, robot_mode, normal, 
05/04/2022 16:11:58:360, robot_pos_w_timestamp, 1649171426841, 617.74, 257.5, 200.35, 2.34, -0.01, 3.09, tool_force, -0.28, 0.6, 0.32, actual_rep, 1, curr_step, 4, track_size, 99, robot_vel, 40.04, joints_pos, 21.54, 57.33, 1.36, -67.75, 0.66, 52.61, 67.72, tool_torque, 0.026, -0.027, 0.316, tool_momentum, 0.027, -0.025, 0.316, robot_mode, normal, 
05/04/2022 16:11:58:509, robot_pos_w_timestamp, 1649171426990, 618.54, 251.7, 199.79, 2.34, -0.01, 3.1, tool_force, 0.23, 1.22, 0.35, actual_rep, 1, curr_step, 5, track_size, 99, robot_vel, 39.47, joints_pos, 21.07, 57.26, 1.41, -67.98, 0.33, 52.67, 67.65, tool_torque, 0.191, -0.181, 0.385, tool_momentum, 0.182, -0.156, 0.38, robot_mode, normal, 
05/04/2022 16:11:58:664, robot_pos_w_timestamp, 1649171427142, 619.25, 245.9, 199.24, 2.33, -0.01, 3.1, tool_force, 0.13, 0.99, -0.15, actual_rep, 1, curr_step, 5, track_size, 99, robot_vel, 37.33, joints_pos, 20.62, 57.09, 1.41, -68.41, 0.01, 52.34, 67.65, tool_torque, 0.264, -0.067, 0.37, tool_momentum, 0.256, -0.054, 0.367, robot_mode, normal, 
05/04/2022 16:11:58:819, robot_pos_w_timestamp, 1649171427302, 619.49, 239.79, 198.83, 2.33, 0.0, 3.1, tool_force, -0.04, 1.17, 0.03, actual_rep, 1, curr_step, 6, track_size, 99, robot_vel, 36.94, joints_pos, 20.16, 56.92, 1.41, -68.84, -0.24, 52.24, 67.62, tool_torque, 0.281, -0.074, 0.387, tool_momentum, 0.275, -0.058, 0.387, robot_mode, normal, 
05/04/2022 16:11:58:964, robot_pos_w_timestamp, 1649171427444, 619.9, 234.34, 198.41, 2.32, 0.0, 3.11, tool_force, -0.14, 1.2, 0.12, actual_rep, 1, curr_step, 6, track_size, 99, robot_vel, 42.42, joints_pos, 19.73, 56.81, 1.41, -69.13, -0.43, 52.24, 67.58, tool_torque, 0.262, -0.057, 0.398, tool_momentum, 0.256, -0.051, 0.397, robot_mode, normal, 
05/04/2022 16:11:59:109, robot_pos_w_timestamp, 1649171427594, 620.07, 228.6, 198.11, 2.32, 0.0, 3.11, tool_force, 0.07, 1.12, -0.14, actual_rep, 1, curr_step, 7, track_size, 99, robot_vel, 39.95, joints_pos, 19.28, 56.66, 1.42, -69.47, -0.59, 52.25, 67.52, tool_torque, 0.247, -0.122, 0.405, tool_momentum, 0.243, -0.115, 0.405, robot_mode, normal, 
