22/03/2022 15:02:50: File Created!
22/03/2022 15:02:50:640, robot_pos_w_timestamp, 1647957689193, 536.69, 303.06, 194.88, 2.29, 0.04, 3.08, tool_force, 0.15, 1.07, 5.93, actual_rep, 1, curr_step, 1, track_size, 95, robot_vel, 0.0, joints_pos, 43.55, 53.38, -21.48, -81.07, 21.91, 45.64, 64.49, tool_torque, 0.125, -0.084, 0.133, tool_momentum, 0.125, -0.082, 0.132, robot_mode, normal, 
22/03/2022 15:02:50:776, robot_pos_w_timestamp, 1647957689331, 536.79, 302.85, 194.54, 2.29, 0.04, 3.08, tool_force, 0.14, 1.04, 5.3, actual_rep, 1, curr_step, 2, track_size, 95, robot_vel, 5.74, joints_pos, 43.52, 53.41, -21.48, -81.07, 21.91, 45.56, 64.25, tool_torque, 0.311, -0.197, 0.298, tool_momentum, 0.314, -0.205, 0.298, robot_mode, normal, 
22/03/2022 15:02:50:924, robot_pos_w_timestamp, 1647957689481, 541.11, 301.69, 194.46, 2.3, 0.05, 3.07, tool_force, 0.93, 1.03, 5.35, actual_rep, 1, curr_step, 4, track_size, 95, robot_vel, 35.17, joints_pos, 43.25, 53.58, -21.48, -80.77, 21.78, 44.79, 63.47, tool_torque, 0.369, -0.318, 0.456, tool_momentum, 0.391, -0.352, 0.463, robot_mode, normal, 
22/03/2022 15:02:51:073, robot_pos_w_timestamp, 1647957689631, 545.34, 296.12, 195.07, 2.31, 0.06, 3.06, tool_force, 0.55, 1.43, 5.7, actual_rep, 1, curr_step, 6, track_size, 95, robot_vel, 50.17, joints_pos, 42.71, 53.57, -21.6, -80.72, 21.66, 44.5, 62.85, tool_torque, 0.382, -0.256, 0.447, tool_momentum, 0.38, -0.25, 0.447, robot_mode, normal, 
22/03/2022 15:02:51:225, robot_pos_w_timestamp, 1647957689782, 548.66, 290.55, 195.51, 2.31, 0.06, 3.06, tool_force, 1.6, 1.53, 5.74, actual_rep, 1, curr_step, 7, track_size, 95, robot_vel, 46.69, joints_pos, 42.18, 53.55, -21.67, -80.72, 21.65, 44.43, 62.21, tool_torque, 0.426, -0.443, 0.481, tool_momentum, 0.419, -0.441, 0.481, robot_mode, normal, 
22/03/2022 15:02:51:376, robot_pos_w_timestamp, 1647957689933, 551.28, 284.56, 195.47, 2.3, 0.07, 3.07, tool_force, 0.78, 1.22, 5.94, actual_rep, 1, curr_step, 7, track_size, 95, robot_vel, 43.95, joints_pos, 41.75, 53.56, -21.84, -80.77, 21.27, 44.47, 62.18, tool_torque, 0.183, -0.326, 0.306, tool_momentum, 0.19, -0.342, 0.306, robot_mode, normal, 
22/03/2022 15:02:51:529, robot_pos_w_timestamp, 1647957690085, 553.72, 279.19, 195.42, 2.3, 0.07, 3.07, tool_force, 1.61, 1.32, 5.92, actual_rep, 1, curr_step, 8, track_size, 95, robot_vel, 36.83, joints_pos, 41.33, 53.59, -21.93, -80.77, 21.0, 44.53, 62.05, tool_torque, 0.156, -0.532, 0.413, tool_momentum, 0.157, -0.525, 0.416, robot_mode, normal, 
22/03/2022 15:02:51:679, robot_pos_w_timestamp, 1647957690237, 556.39, 273.22, 195.19, 2.3, 0.07, 3.07, tool_force, 0.92, 1.63, 5.79, actual_rep, 1, curr_step, 9, track_size, 95, robot_vel, 44.42, joints_pos, 40.76, 53.58, -21.94, -80.83, 20.85, 44.45, 61.76, tool_torque, 0.318, -0.439, 0.45, tool_momentum, 0.323, -0.431, 0.448, robot_mode, normal, 
22/03/2022 15:02:51:831, robot_pos_w_timestamp, 1647957690386, 558.58, 267.54, 195.1, 2.29, 0.08, 3.07, tool_force, 1.27, 2.19, 6.0, actual_rep, 1, curr_step, 10, track_size, 95, robot_vel, 40.01, joints_pos, 40.28, 53.54, -21.95, -80.95, 20.51, 44.31, 61.73, tool_torque, 0.5, -0.408, 0.446, tool_momentum, 0.501, -0.407, 0.446, robot_mode, normal, 
22/03/2022 15:02:51:976, robot_pos_w_timestamp, 1647957690537, 560.48, 261.76, 194.79, 2.29, 0.08, 3.07, tool_force, 1.34, 1.86, 6.05, actual_rep, 1, curr_step, 10, track_size, 95, robot_vel, 46.43, joints_pos, 39.78, 53.52, -21.95, -81.05, 20.28, 44.32, 61.46, tool_torque, 0.313, -0.482, 0.476, tool_momentum, 0.315, -0.491, 0.476, robot_mode, normal, 
22/03/2022 15:02:52:127, robot_pos_w_timestamp, 1647957690688, 562.6, 255.94, 194.52, 2.29, 0.08, 3.08, tool_force, 1.28, 1.61, 6.03, actual_rep, 1, curr_step, 11, track_size, 95, robot_vel, 40.21, joints_pos, 39.21, 53.52, -21.93, -81.09, 20.11, 44.39, 61.2, tool_torque, 0.218, -0.617, 0.493, tool_momentum, 0.213, -0.606, 0.493, robot_mode, normal, 
