30/03/2022 11:35:30: File Created!
30/03/2022 11:35:30:113, robot_pos_w_timestamp, 1648632844867, 545.47, 311.61, 183.46, 2.3, 0.06, 3.04, tool_force, -0.43, 0.08, 0.34, actual_rep, 1, curr_step, 1, track_size, 71, robot_vel, 0.0, joints_pos, 46.02, 56.12, -25.34, -79.48, 27.44, 43.93, 60.98, tool_torque, 0.285, -0.303, 0.341, tool_momentum, 0.285, -0.303, 0.341, robot_mode, normal, 
30/03/2022 11:35:30:222, robot_pos_w_timestamp, 1648632845010, 545.47, 311.62, 183.48, 2.3, 0.06, 3.04, tool_force, -0.42, 0.07, 0.38, actual_rep, 1, curr_step, 1, track_size, 71, robot_vel, 0.0, joints_pos, 46.02, 56.12, -25.34, -79.48, 27.44, 43.93, 60.98, tool_torque, 0.291, -0.314, 0.351, tool_momentum, 0.292, -0.314, 0.351, robot_mode, normal, 
30/03/2022 11:35:30:381, robot_pos_w_timestamp, 1648632845165, 547.1, 308.75, 183.78, 2.3, 0.06, 3.04, tool_force, -0.23, -0.12, 0.6, actual_rep, 1, curr_step, 2, track_size, 71, robot_vel, 29.34, joints_pos, 46.0, 56.17, -25.69, -79.49, 27.25, 43.92, 61.1, tool_torque, 0.074, 0.026, 0.124, tool_momentum, 0.07, 0.034, 0.124, robot_mode, normal, 
30/03/2022 11:35:30:527, robot_pos_w_timestamp, 1648632845308, 549.24, 303.33, 184.95, 2.29, 0.07, 3.04, tool_force, 0.76, 0.16, 0.52, actual_rep, 1, curr_step, 3, track_size, 71, robot_vel, 38.68, joints_pos, 45.89, 56.09, -26.17, -79.66, 27.1, 43.93, 61.06, tool_torque, 0.199, -0.447, 0.263, tool_momentum, 0.187, -0.444, 0.261, robot_mode, normal, 
30/03/2022 11:35:30:674, robot_pos_w_timestamp, 1648632845455, 551.32, 297.54, 186.38, 2.28, 0.08, 3.05, tool_force, 0.25, 0.15, 0.74, actual_rep, 1, curr_step, 4, track_size, 71, robot_vel, 40.1, joints_pos, 45.84, 56.0, -26.76, -79.89, 26.91, 43.92, 61.12, tool_torque, 0.173, -0.262, 0.155, tool_momentum, 0.174, -0.261, 0.154, robot_mode, normal, 
30/03/2022 11:35:30:825, robot_pos_w_timestamp, 1648632845605, 553.41, 291.75, 187.79, 2.28, 0.09, 3.05, tool_force, -0.11, 0.09, 0.51, actual_rep, 1, curr_step, 5, track_size, 71, robot_vel, 38.43, joints_pos, 45.82, 55.94, -27.4, -80.1, 26.77, 43.92, 61.2, tool_torque, 0.154, -0.298, 0.119, tool_momentum, 0.159, -0.314, 0.119, robot_mode, normal, 
30/03/2022 11:35:30:982, robot_pos_w_timestamp, 1648632845756, 555.33, 285.85, 189.42, 2.27, 0.1, 3.05, tool_force, 0.03, -0.1, 0.63, actual_rep, 1, curr_step, 5, track_size, 71, robot_vel, 41.09, joints_pos, 45.79, 55.84, -28.05, -80.35, 26.65, 43.93, 61.27, tool_torque, 0.091, -0.273, 0.094, tool_momentum, 0.094, -0.288, 0.094, robot_mode, normal, 
30/03/2022 11:35:31:128, robot_pos_w_timestamp, 1648632845904, 557.08, 280.1, 191.01, 2.26, 0.11, 3.05, tool_force, -0.1, -0.04, 0.81, actual_rep, 1, curr_step, 6, track_size, 71, robot_vel, 41.33, joints_pos, 45.76, 55.74, -28.64, -80.57, 26.53, 43.96, 61.38, tool_torque, 0.088, -0.385, 0.107, tool_momentum, 0.098, -0.429, 0.111, robot_mode, normal, 
30/03/2022 11:35:31:283, robot_pos_w_timestamp, 1648632846054, 558.68, 274.26, 192.8, 2.25, 0.12, 3.06, tool_force, 0.99, -0.26, 0.45, actual_rep, 1, curr_step, 6, track_size, 71, robot_vel, 45.06, joints_pos, 45.72, 55.61, -29.22, -80.85, 26.39, 43.98, 61.51, tool_torque, 0.052, -0.488, 0.111, tool_momentum, 0.045, -0.484, 0.11, robot_mode, normal, 
30/03/2022 11:35:31:435, robot_pos_w_timestamp, 1648632846204, 559.97, 268.53, 194.65, 2.24, 0.12, 3.06, tool_force, 1.12, -0.05, 0.33, actual_rep, 1, curr_step, 7, track_size, 71, robot_vel, 42.5, joints_pos, 45.68, 55.45, -29.79, -81.15, 26.27, 44.01, 61.68, tool_torque, 0.039, -0.519, 0.111, tool_momentum, 0.029, -0.5, 0.109, robot_mode, normal, 
30/03/2022 11:35:31:579, robot_pos_w_timestamp, 1648632846352, 561.2, 262.7, 196.45, 2.23, 0.13, 3.06, tool_force, 0.68, -0.12, 0.72, actual_rep, 1, curr_step, 8, track_size, 71, robot_vel, 42.25, joints_pos, 45.61, 55.29, -30.32, -81.45, 26.17, 44.05, 61.81, tool_torque, 0.026, -0.487, 0.106, tool_momentum, 0.027, -0.497, 0.107, robot_mode, normal, 
30/03/2022 11:35:31:730, robot_pos_w_timestamp, 1648632846501, 562.04, 256.98, 198.34, 2.22, 0.14, 3.06, tool_force, 1.02, -0.31, 0.66, actual_rep, 1, curr_step, 8, track_size, 71, robot_vel, 42.54, joints_pos, 45.55, 55.09, -30.83, -81.8, 26.07, 44.1, 62.01, tool_torque, -0.032, -0.446, 0.089, tool_momentum, -0.039, -0.446, 0.089, robot_mode, normal, 
30/03/2022 11:35:31:890, robot_pos_w_timestamp, 1648632846651, 562.75, 251.08, 200.19, 2.21, 0.14, 3.06, tool_force, 0.94, -0.65, 0.27, actual_rep, 1, curr_step, 9, track_size, 71, robot_vel, 43.04, joints_pos, 45.47, 54.88, -31.31, -82.16, 25.97, 44.14, 62.17, tool_torque, -0.019, -0.489, 0.082, tool_momentum, 0.01, -0.511, 0.082, robot_mode, normal, 
30/03/2022 11:35:32:042, robot_pos_w_timestamp, 1648632846801, 563.28, 245.33, 202.02, 2.2, 0.15, 3.07, tool_force, 0.83, -0.5, 0.49, actual_rep, 1, curr_step, 9, track_size, 71, robot_vel, 43.87, joints_pos, 45.38, 54.66, -31.77, -82.56, 25.89, 44.15, 62.34, tool_torque, 0.0070, -0.53, 0.11, tool_momentum, 0.012, -0.533, 0.108, robot_mode, normal, 
30/03/2022 11:35:32:186, robot_pos_w_timestamp, 1648632846949, 563.64, 239.62, 203.12, 2.19, 0.15, 3.07, tool_force, 0.27, -0.12, 0.99, actual_rep, 1, curr_step, 10, track_size, 71, robot_vel, 38.69, joints_pos, 45.29, 54.51, -32.18, -82.93, 25.79, 44.14, 62.54, tool_torque, 0.049, -0.388, 0.128, tool_momentum, 0.062, -0.396, 0.13, robot_mode, impedance, 
30/03/2022 11:35:32:338, robot_pos_w_timestamp, 1648632847099, 564.13, 234.88, 203.14, 2.18, 0.16, 3.07, tool_force, 0.34, 0.4, 0.5, actual_rep, 1, curr_step, 10, track_size, 71, robot_vel, 29.66, joints_pos, 45.22, 54.51, -32.57, -83.2, 25.7, 44.05, 62.81, tool_torque, 0.249, -0.442, 0.168, tool_momentum, 0.246, -0.446, 0.169, robot_mode, impedance, 
30/03/2022 11:35:32:486, robot_pos_w_timestamp, 1648632847248, 565.54, 229.65, 204.54, 2.17, 0.17, 3.07, tool_force, -1.13, 1.02, 1.35, actual_rep, 1, curr_step, 11, track_size, 71, robot_vel, 39.81, joints_pos, 45.18, 54.48, -33.12, -83.34, 25.66, 44.12, 63.04, tool_torque, 0.166, -0.466, 0.267, tool_momentum, 0.177, -0.489, 0.267, robot_mode, impedance, 
30/03/2022 11:35:32:639, robot_pos_w_timestamp, 1648632847399, 567.57, 223.23, 206.32, 2.16, 0.17, 3.07, tool_force, -3.07, 1.78, 1.71, actual_rep, 1, curr_step, 11, track_size, 71, robot_vel, 47.95, joints_pos, 44.99, 54.45, -33.69, -83.44, 25.65, 44.28, 63.09, tool_torque, 0.191, -0.533, 0.415, tool_momentum, 0.191, -0.529, 0.415, robot_mode, impedance, 
30/03/2022 11:35:32:787, robot_pos_w_timestamp, 1648632847547, 570.41, 216.03, 208.27, 2.15, 0.18, 3.07, tool_force, -5.53, 3.69, 2.94, actual_rep, 1, curr_step, 11, track_size, 71, robot_vel, 58.75, joints_pos, 44.58, 54.41, -34.14, -83.43, 25.65, 44.47, 63.04, tool_torque, 0.279, -0.519, 0.692, tool_momentum, 0.268, -0.489, 0.689, robot_mode, impedance, 
30/03/2022 11:35:32:935, robot_pos_w_timestamp, 1648632847698, 574.31, 212.12, 209.82, 2.14, 0.18, 3.07, tool_force, -8.39, 5.2, 2.55, actual_rep, 1, curr_step, 11, track_size, 71, robot_vel, 29.48, joints_pos, 44.01, 54.46, -34.16, -83.0, 25.65, 44.69, 62.86, tool_torque, 0.282, -0.61, 1.146, tool_momentum, 0.275, -0.617, 1.15, robot_mode, impedance, 
