21/04/2022 10:22:21: File Created!
21/04/2022 10:22:21:388, robot_pos_w_timestamp, 1650532842678, 612.86, 280.92, 203.69, 2.36, -0.03, 3.07, tool_force, -0.46, 1.66, 7.5, actual_rep, 1, curr_step, 1, track_size, 99, robot_vel, 2.18, joints_pos, 31.87, 58.26, -14.27, -66.98, 18.9, 53.77, 58.44, tool_torque, 0.3, -0.089, 0.127, tool_momentum, 0.301, -0.089, 0.127, robot_mode, normal, 
21/04/2022 10:22:21:493, robot_pos_w_timestamp, 1650532842783, 612.68, 280.8, 202.83, 2.36, -0.03, 3.07, tool_force, -0.23, 1.24, 7.67, actual_rep, 1, curr_step, 1, track_size, 99, robot_vel, 2.18, joints_pos, 31.87, 58.33, -14.27, -66.98, 18.9, 53.77, 58.44, tool_torque, 0.263, -0.101, 0.128, tool_momentum, 0.259, -0.103, 0.128, robot_mode, normal, 
21/04/2022 10:22:21:617, robot_pos_w_timestamp, 1650532842931, 613.88, 279.0, 202.14, 2.36, -0.03, 3.07, tool_force, 2.31, 2.2, 7.22, actual_rep, 1, curr_step, 2, track_size, 99, robot_vel, 34.05, joints_pos, 31.76, 58.45, -14.41, -66.9, 18.9, 53.77, 58.38, tool_torque, 0.338, -0.381, 0.213, tool_momentum, 0.317, -0.309, 0.216, robot_mode, normal, 
21/04/2022 10:22:21:769, robot_pos_w_timestamp, 1650532843081, 615.17, 273.15, 201.6, 2.35, -0.02, 3.08, tool_force, 1.11, 2.2, 7.35, actual_rep, 1, curr_step, 3, track_size, 99, robot_vel, 27.47, joints_pos, 31.49, 58.42, -14.69, -67.12, 18.71, 53.78, 58.32, tool_torque, 0.295, -0.315, 0.291, tool_momentum, 0.297, -0.332, 0.29, robot_mode, normal, 
21/04/2022 10:22:21:903, robot_pos_w_timestamp, 1650532843230, 616.17, 267.37, 201.06, 2.35, -0.02, 3.08, tool_force, 0.08, 1.56, 7.26, actual_rep, 1, curr_step, 3, track_size, 99, robot_vel, 38.18, joints_pos, 31.21, 58.36, -14.86, -67.35, 18.31, 53.78, 58.45, tool_torque, 0.214, 0.0, 0.043, tool_momentum, 0.234, -0.012, 0.043, robot_mode, normal, 
21/04/2022 10:22:22:098, robot_pos_w_timestamp, 1650532843380, 617.14, 261.48, 200.43, 2.34, -0.01, 3.09, tool_force, 0.11, 2.3, 7.7, actual_rep, 1, curr_step, 4, track_size, 99, robot_vel, 39.22, joints_pos, 30.84, 58.31, -14.89, -67.58, 17.9, 53.79, 58.49, tool_torque, 0.296, -0.172, 0.158, tool_momentum, 0.285, -0.163, 0.157, robot_mode, normal, 
21/04/2022 10:22:22:206, robot_pos_w_timestamp, 1650532843530, 618.04, 255.58, 199.82, 2.34, -0.01, 3.1, tool_force, 0.12, 2.02, 7.84, actual_rep, 1, curr_step, 5, track_size, 99, robot_vel, 38.76, joints_pos, 30.37, 58.24, -14.82, -67.8, 17.55, 53.84, 58.31, tool_torque, 0.24, -0.346, 0.373, tool_momentum, 0.233, -0.353, 0.373, robot_mode, normal, 
21/04/2022 10:22:22:402, robot_pos_w_timestamp, 1650532843678, 618.78, 249.88, 199.35, 2.34, -0.01, 3.1, tool_force, 0.3, 2.84, 7.64, actual_rep, 1, curr_step, 5, track_size, 99, robot_vel, 40.38, joints_pos, 29.95, 58.11, -14.79, -68.17, 17.18, 53.66, 58.25, tool_torque, 0.539, -0.188, 0.415, tool_momentum, 0.557, -0.2, 0.417, robot_mode, normal, 
21/04/2022 10:22:22:511, robot_pos_w_timestamp, 1650532843829, 619.38, 244.09, 198.81, 2.33, 0.0, 3.1, tool_force, 0.6, 2.93, 7.25, actual_rep, 1, curr_step, 6, track_size, 99, robot_vel, 47.53, joints_pos, 29.56, 57.98, -14.79, -68.53, 16.93, 53.42, 58.17, tool_torque, 0.49, -0.129, 0.413, tool_momentum, 0.485, -0.127, 0.412, robot_mode, normal, 
21/04/2022 10:22:22:704, robot_pos_w_timestamp, 1650532843978, 619.67, 238.3, 198.4, 2.33, 0.0, 3.1, tool_force, -0.14, 2.6, 7.5, actual_rep, 1, curr_step, 6, track_size, 99, robot_vel, 35.62, joints_pos, 29.15, 57.83, -14.79, -68.88, 16.74, 53.37, 58.08, tool_torque, 0.509, -0.135, 0.416, tool_momentum, 0.508, -0.13, 0.415, robot_mode, normal, 
21/04/2022 10:22:22:812, robot_pos_w_timestamp, 1650532844125, 620.05, 232.49, 197.98, 2.32, 0.0, 3.11, tool_force, -0.14, 2.65, 7.29, actual_rep, 1, curr_step, 7, track_size, 99, robot_vel, 39.27, joints_pos, 28.74, 57.72, -14.79, -69.2, 16.53, 53.34, 58.0, tool_torque, 0.556, -0.215, 0.424, tool_momentum, 0.554, -0.217, 0.423, robot_mode, normal, 
