30/03/2022 16:18:19: File Created!
30/03/2022 16:18:19:761, robot_pos_w_timestamp, 1648649814119, 531.52, 310.16, 210.85, 2.31, 0.04, 3.04, tool_force, -0.38, -0.27, 0.31, actual_rep, 1, curr_step, 1, track_size, 81, robot_vel, 0.0, joints_pos, 66.78, 69.4, -63.95, -82.53, 67.95, 63.17, 40.01, tool_torque, 0.0, -0.453, 0.149, tool_momentum, 0.0, -0.453, 0.149, robot_mode, normal, 
30/03/2022 16:18:19:883, robot_pos_w_timestamp, 1648649814268, 531.53, 310.17, 210.87, 2.31, 0.04, 3.03, tool_force, -0.37, -0.32, 0.39, actual_rep, 1, curr_step, 1, track_size, 81, robot_vel, 0.0, joints_pos, 66.78, 69.39, -63.95, -82.53, 67.95, 63.17, 40.01, tool_torque, -0.0050, -0.456, 0.141, tool_momentum, -0.0050, -0.457, 0.141, robot_mode, normal, 
30/03/2022 16:18:20:023, robot_pos_w_timestamp, 1648649814408, 533.11, 307.7, 210.96, 2.31, 0.05, 3.03, tool_force, 1.15, -0.5, 0.33, actual_rep, 1, curr_step, 2, track_size, 81, robot_vel, 43.75, joints_pos, 66.68, 69.48, -64.13, -82.61, 67.88, 62.78, 40.04, tool_torque, 0.025, -0.428, 0.101, tool_momentum, 0.026, -0.415, 0.101, robot_mode, normal, 
30/03/2022 16:18:20:172, robot_pos_w_timestamp, 1648649814556, 536.58, 302.4, 212.69, 2.3, 0.06, 3.02, tool_force, 1.35, -0.31, -0.02, actual_rep, 1, curr_step, 3, track_size, 81, robot_vel, 39.91, joints_pos, 66.5, 69.48, -64.51, -82.88, 67.89, 61.96, 39.95, tool_torque, 0.102, -0.618, 0.231, tool_momentum, 0.102, -0.614, 0.231, robot_mode, normal, 
30/03/2022 16:18:20:320, robot_pos_w_timestamp, 1648649814706, 539.74, 296.44, 214.54, 2.29, 0.08, 3.02, tool_force, 0.54, -0.42, -0.21, actual_rep, 1, curr_step, 4, track_size, 81, robot_vel, 44.24, joints_pos, 66.31, 69.51, -64.95, -83.16, 67.83, 61.34, 39.88, tool_torque, 0.108, -0.471, 0.261, tool_momentum, 0.106, -0.481, 0.261, robot_mode, normal, 
30/03/2022 16:18:20:473, robot_pos_w_timestamp, 1648649814858, 542.68, 290.61, 216.05, 2.28, 0.09, 3.01, tool_force, 1.15, -0.34, -0.57, actual_rep, 1, curr_step, 4, track_size, 81, robot_vel, 42.85, joints_pos, 66.09, 69.57, -65.37, -83.39, 67.76, 60.88, 39.91, tool_torque, 0.107, -0.469, 0.206, tool_momentum, 0.105, -0.465, 0.206, robot_mode, normal, 
30/03/2022 16:18:20:621, robot_pos_w_timestamp, 1648649815005, 545.3, 284.9, 217.63, 2.27, 0.1, 3.01, tool_force, 1.22, -0.51, -0.98, actual_rep, 1, curr_step, 5, track_size, 81, robot_vel, 39.39, joints_pos, 65.88, 69.63, -65.78, -83.62, 67.71, 60.52, 39.97, tool_torque, 0.079, -0.475, 0.129, tool_momentum, 0.083, -0.485, 0.13, robot_mode, normal, 
30/03/2022 16:18:20:772, robot_pos_w_timestamp, 1648649815157, 547.74, 278.96, 218.59, 2.25, 0.11, 3.01, tool_force, 1.17, -0.81, -0.67, actual_rep, 1, curr_step, 5, track_size, 81, robot_vel, 43.61, joints_pos, 65.62, 69.7, -66.14, -83.88, 67.72, 60.14, 40.01, tool_torque, 0.02, -0.488, 0.089, tool_momentum, 0.018, -0.476, 0.089, robot_mode, normal, 
30/03/2022 16:18:20:928, robot_pos_w_timestamp, 1648649815308, 549.62, 273.02, 219.85, 2.24, 0.12, 3.0, tool_force, 0.86, -1.12, -0.61, actual_rep, 1, curr_step, 6, track_size, 81, robot_vel, 38.37, joints_pos, 65.43, 69.77, -66.56, -84.18, 67.74, 59.91, 40.08, tool_torque, -0.0010, -0.417, 0.052, tool_momentum, 0.0050, -0.429, 0.053, robot_mode, normal, 
30/03/2022 16:18:21:079, robot_pos_w_timestamp, 1648649815458, 551.68, 267.24, 220.69, 2.23, 0.13, 3.0, tool_force, 0.37, -0.6, -0.55, actual_rep, 1, curr_step, 6, track_size, 81, robot_vel, 42.6, joints_pos, 65.19, 69.89, -66.94, -84.44, 67.83, 59.68, 40.1, tool_torque, -0.0060, -0.457, -0.0080, tool_momentum, 0.0060, -0.464, -0.0080, robot_mode, normal, 
30/03/2022 16:18:21:231, robot_pos_w_timestamp, 1648649815608, 553.71, 261.31, 221.71, 2.22, 0.14, 3.0, tool_force, 0.16, -0.58, -0.54, actual_rep, 1, curr_step, 7, track_size, 81, robot_vel, 41.0, joints_pos, 64.93, 70.0, -67.33, -84.67, 67.87, 59.54, 40.18, tool_torque, -0.0040, -0.432, -0.048, tool_momentum, -0.0020, -0.436, -0.048, robot_mode, normal, 
30/03/2022 16:18:21:378, robot_pos_w_timestamp, 1648649815759, 555.1, 255.51, 222.43, 2.21, 0.14, 3.0, tool_force, 0.37, -0.92, -0.65, actual_rep, 1, curr_step, 7, track_size, 81, robot_vel, 40.74, joints_pos, 64.71, 70.09, -67.68, -84.99, 67.96, 59.39, 40.22, tool_torque, -0.011, -0.522, -0.026, tool_momentum, -0.0080, -0.532, -0.026, robot_mode, normal, 
