30/03/2022 11:59:04: File Created!
30/03/2022 11:59:04:260, robot_pos_w_timestamp, 1648634258765, 568.97, 342.48, 194.09, 2.29, 0.02, 3.07, tool_force, -0.47, 0.56, 5.89, actual_rep, 1, curr_step, 1, track_size, 67, robot_vel, 46.93, joints_pos, 56.14, 66.58, -47.43, -70.06, 50.81, 59.39, 53.32, tool_torque, -0.092, -0.216, 0.163, tool_momentum, -0.092, -0.216, 0.163, robot_mode, normal, 
30/03/2022 11:59:04:368, robot_pos_w_timestamp, 1648634258899, 568.8, 342.05, 193.81, 2.29, 0.02, 3.07, tool_force, -0.61, 1.01, 5.95, actual_rep, 1, curr_step, 1, track_size, 67, robot_vel, 46.93, joints_pos, 56.14, 66.58, -47.43, -70.13, 50.81, 59.39, 53.32, tool_torque, 0.0090, -0.175, 0.181, tool_momentum, 0.013, -0.175, 0.181, robot_mode, normal, 
30/03/2022 11:59:04:570, robot_pos_w_timestamp, 1648634259070, 571.31, 337.72, 193.58, 2.29, 0.03, 3.07, tool_force, -0.24, 1.23, 5.92, actual_rep, 1, curr_step, 3, track_size, 67, robot_vel, 33.5, joints_pos, 55.9, 66.71, -47.74, -70.19, 50.9, 59.26, 52.89, tool_torque, 0.186, -0.297, 0.388, tool_momentum, 0.138, -0.448, 0.389, robot_mode, normal, 
30/03/2022 11:59:04:657, robot_pos_w_timestamp, 1648634259199, 573.85, 333.19, 194.58, 2.29, 0.03, 3.07, tool_force, 1.85, 0.65, 5.6, actual_rep, 1, curr_step, 3, track_size, 67, robot_vel, 39.73, joints_pos, 55.68, 66.75, -48.09, -70.26, 50.93, 59.28, 52.65, tool_torque, 0.109, -0.645, 0.419, tool_momentum, 0.099, -0.637, 0.419, robot_mode, normal, 
30/03/2022 11:59:04:976, robot_pos_w_timestamp, 1648634259504, 579.36, 321.53, 197.34, 2.27, 0.05, 3.07, tool_force, 1.17, 1.02, 5.25, actual_rep, 1, curr_step, 4, track_size, 67, robot_vel, 38.85, joints_pos, 55.05, 66.58, -48.61, -70.58, 50.5, 59.08, 52.46, tool_torque, 0.216, -0.416, 0.41, tool_momentum, 0.223, -0.422, 0.412, robot_mode, normal, 
30/03/2022 11:59:05:111, robot_pos_w_timestamp, 1648634259652, 581.8, 315.85, 198.72, 2.27, 0.05, 3.07, tool_force, 1.02, 1.45, 6.17, actual_rep, 1, curr_step, 5, track_size, 67, robot_vel, 44.04, joints_pos, 54.65, 66.37, -48.61, -70.78, 50.09, 58.86, 52.42, tool_torque, 0.263, -0.522, 0.435, tool_momentum, 0.258, -0.528, 0.435, robot_mode, normal, 
30/03/2022 11:59:05:260, robot_pos_w_timestamp, 1648634259801, 584.1, 310.06, 200.08, 2.26, 0.06, 3.07, tool_force, 0.9, 1.35, 5.73, actual_rep, 1, curr_step, 6, track_size, 67, robot_vel, 48.41, joints_pos, 54.24, 66.16, -48.61, -71.0, 49.7, 58.69, 52.38, tool_torque, 0.288, -0.502, 0.445, tool_momentum, 0.302, -0.523, 0.449, robot_mode, normal, 
30/03/2022 11:59:05:412, robot_pos_w_timestamp, 1648634259953, 585.96, 304.27, 201.49, 2.25, 0.06, 3.07, tool_force, 1.69, 0.36, 5.11, actual_rep, 1, curr_step, 6, track_size, 67, robot_vel, 36.24, joints_pos, 53.86, 65.94, -48.62, -71.21, 49.19, 58.63, 52.53, tool_torque, 0.097, -0.438, 0.236, tool_momentum, 0.103, -0.457, 0.236, robot_mode, normal, 
30/03/2022 11:59:05:561, robot_pos_w_timestamp, 1648634260102, 587.95, 298.22, 202.83, 2.25, 0.07, 3.08, tool_force, 1.32, -0.06, 4.86, actual_rep, 1, curr_step, 7, track_size, 67, robot_vel, 41.95, joints_pos, 53.46, 65.77, -48.67, -71.37, 48.67, 58.65, 52.81, tool_torque, 0.05, -0.487, 0.2, tool_momentum, 0.047, -0.493, 0.2, robot_mode, normal, 
30/03/2022 11:59:05:708, robot_pos_w_timestamp, 1648634260252, 589.95, 292.46, 203.94, 2.24, 0.07, 3.08, tool_force, 1.21, 0.43, 5.71, actual_rep, 1, curr_step, 7, track_size, 67, robot_vel, 41.25, joints_pos, 53.0, 65.59, -48.66, -71.55, 48.47, 58.65, 52.86, tool_torque, 0.071, -0.522, 0.205, tool_momentum, 0.069, -0.512, 0.204, robot_mode, normal, 
30/03/2022 11:59:05:860, robot_pos_w_timestamp, 1648634260401, 591.79, 286.8, 205.22, 2.23, 0.07, 3.08, tool_force, 1.7, 0.49, 5.1, actual_rep, 1, curr_step, 8, track_size, 67, robot_vel, 36.79, joints_pos, 52.57, 65.38, -48.66, -71.75, 48.28, 58.64, 52.89, tool_torque, 0.093, -0.579, 0.19, tool_momentum, 0.099, -0.575, 0.19, robot_mode, normal, 
30/03/2022 11:59:06:011, robot_pos_w_timestamp, 1648634260552, 593.37, 280.95, 206.35, 2.22, 0.07, 3.08, tool_force, 1.7, 0.34, 5.07, actual_rep, 1, curr_step, 8, track_size, 67, robot_vel, 43.44, joints_pos, 52.19, 65.16, -48.67, -72.03, 47.99, 58.48, 52.97, tool_torque, 0.111, -0.502, 0.176, tool_momentum, 0.11, -0.483, 0.176, robot_mode, normal, 
30/03/2022 11:59:06:203, robot_pos_w_timestamp, 1648634260703, 594.9, 274.92, 207.49, 2.21, 0.08, 3.08, tool_force, 0.69, 0.11, 5.18, actual_rep, 1, curr_step, 8, track_size, 67, robot_vel, 42.11, joints_pos, 51.8, 64.94, -48.67, -72.33, 47.69, 58.33, 53.03, tool_torque, 0.154, -0.398, 0.203, tool_momentum, 0.155, -0.407, 0.203, robot_mode, normal, 
